GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,SeriesFirstDown,NextScore,Description,TeamWin,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards,Duration,KC,GB
2023120310,2023-12-03,1,7,13,KC,GB,0,0,65,1,0,17-A.CARLSON KICKS 63 YARDS FROM GB 35 TO KC 2. 17-R.JAMES TO KC 24 FOR 22 YARDS (58-I.MCDUFFIE).,0,2023,0,UNDER CENTER,KICK OFF,0,0,0,0,,0,0,0,,0,0,0,0,0,,35,OPP,0,,0,,0,467,0,0
2023120310,2023-12-03,1,7,13,GB,KC,0,0,85,1,0,"17-A.CARLSON EXTRA POINT IS GOOD, CENTER-42-M.ORZECH, HOLDER-19-D.WHELAN.",0,2023,0,UNDER CENTER,EXTRA POINT,0,0,0,0,,0,0,0,,0,0,0,0,0,,15,OPP,0,,0,,0,467,0,0
2023120310,2023-12-03,1,7,8,KC,GB,1,10,24,0,0,(7:08) (SHOTGUN) 15-P.MAHOMES PASS SHORT LEFT TO 4-R.RICE PUSHED OB AT KC 33 FOR 9 YARDS (34-J.OWENS).,0,2023,9,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,24,OWN,0,,0,,0,472,0,0
2023120310,2023-12-03,1,6,41,KC,GB,2,1,33,1,0,(6:41) (SHOTGUN) 10-I.PACHECO LEFT GUARD TO KC 41 FOR 8 YARDS (52-R.GARY; 7-Q.WALKER).,0,2023,8,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT GUARD,33,OWN,0,,0,,0,499,0,0
2023120310,2023-12-03,1,6,10,KC,GB,1,10,41,0,0,"(6:10) (SHOTGUN) 15-P.MAHOMES PASS SHORT RIGHT TO 10-I.PACHECO TO KC 48 FOR 7 YARDS (7-Q.WALKER, 59-D.CAMPBELL).",0,2023,7,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,41,OWN,0,,0,,0,530,0,0
2023120310,2023-12-03,1,5,35,KC,GB,2,3,48,0,0,"(5:35) (SHOTGUN) 15-P.MAHOMES PASS SHORT LEFT TO 10-I.PACHECO TO KC 49 FOR 1 YARD (35-C.BALLENTINE, 25-K.NIXON).",0,2023,1,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,48,OWN,0,,0,,0,565,0,0
2023120310,2023-12-03,1,4,51,KC,GB,3,2,49,1,0,(4:51) (SHOTGUN) 25-C.EDWARDS-HELAIRE LEFT GUARD TO GB 46 FOR 5 YARDS (7-Q.WALKER; 52-R.GARY).,0,2023,5,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT GUARD,49,OWN,0,,0,,0,609,0,0
2023120310,2023-12-03,1,4,18,KC,GB,1,10,54,0,0,(4:18) 15-P.MAHOMES PASS INCOMPLETE SHORT MIDDLE TO 87-T.KELCE (26-D.SAVAGE).,0,2023,0,UNDER CENTER,PASS,0,1,1,0,SHORT MIDDLE,0,0,0,,0,0,0,0,0,,46,OPP,0,,0,,0,642,0,0
2023120310,2023-12-03,1,4,11,KC,GB,2,10,54,0,0,"(4:11) (SHOTGUN) 15-P.MAHOMES PASS SHORT RIGHT TO 87-T.KELCE TO GB 35 FOR 11 YARDS (26-D.SAVAGE). PENALTY ON KC-87-T.KELCE, OFFENSIVE PASS INTERFERENCE, 10 YARDS, ENFORCED AT GB 46 - NO PLAY.",0,2023,11,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,1,0,0,,46,OPP,1,KC,1,OFFENSIVE PASS INTERFERENCE,10,649,0,0
2023120310,2023-12-03,1,3,43,KC,GB,2,20,44,0,0,(3:43) (SHOTGUN) 15-P.MAHOMES SCRAMBLES LEFT END RAN OB AT GB 47 FOR 9 YARDS (35-C.BALLENTINE).,0,2023,9,SHOTGUN,SCRAMBLE,1,0,0,0,,0,0,0,,0,0,0,0,0,,44,OWN,0,,0,,0,677,0,0
2023120310,2023-12-03,1,3,30,KC,GB,3,11,53,1,0,(3:30) (SHOTGUN) 15-P.MAHOMES PASS DEEP MIDDLE TO 11-M.VALDES-SCANTLING TO GB 31 FOR 16 YARDS (20-R.FORD) [97-K.CLARK].,0,2023,16,SHOTGUN,PASS,0,1,0,0,DEEP MIDDLE,0,0,0,,0,0,0,0,0,,47,OPP,0,,0,,0,690,0,0
2023120310,2023-12-03,1,2,50,KC,GB,1,10,69,1,0,(2:50) 10-I.PACHECO LEFT GUARD PUSHED OB AT GB 5 FOR 26 YARDS (36-A.JOHNSON; 35-C.BALLENTINE).,0,2023,26,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT GUARD,31,OPP,0,,0,,0,730,0,0
2023120310,2023-12-03,1,2,8,KC,GB,1,5,95,0,0,(2:08) (SHOTGUN) 15-P.MAHOMES SACKED AT GB 14 FOR -9 YARDS (90-L.VAN NESS).,0,2023,-9,SHOTGUN,SACK,0,0,0,0,,1,0,0,,0,0,0,0,0,,5,OPP,0,,0,,0,772,0,0
2023120310,2023-12-03,1,1,22,KC,GB,2,14,86,0,0,(1:22) 10-I.PACHECO LEFT TACKLE TO GB 9 FOR 5 YARDS (97-K.CLARK; 7-Q.WALKER).,0,2023,5,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT TACKLE,14,OPP,0,,0,,0,818,0,0
2023120310,2023-12-03,1,0,43,KC,GB,3,9,91,0,0,(:43) (SHOTGUN) 15-P.MAHOMES SACKED AT GB 16 FOR -7 YARDS (SACK SPLIT BY 52-R.GARY AND 97-K.CLARK).,0,2023,-7,SHOTGUN,SACK,0,0,0,0,,1,0,0,,0,0,0,0,0,,9,OPP,0,,0,,0,857,0,0
2023120310,2023-12-03,1,0,1,KC,GB,4,16,84,0,0,"(:01) 7-H.BUTKER 34 YARD FIELD GOAL IS GOOD, CENTER-41-J.WINCHESTER, HOLDER-5-T.TOWNSEND.",0,2023,0,FIELD GOAL,FIELD GOAL,0,0,0,0,,0,0,0,,0,0,0,0,0,,16,OPP,0,,0,,0,899,0,0
2023120310,2023-12-03,2,15,0,GB,KC,0,0,65,1,0,"7-H.BUTKER KICKS 65 YARDS FROM KC 35 TO END ZONE, TOUCHBACK.",0,2023,0,UNDER CENTER,KICK OFF,0,0,0,0,,0,0,0,,0,0,0,0,0,,35,OPP,0,,0,,0,900,0,0
2023120310,2023-12-03,1,0,0,GB,KC,0,0,100,1,0,END QUARTER 1,0,2023,0,,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,900,0,0
2023120310,2023-12-03,2,15,0,GB,KC,1,10,25,1,0,(15:00) (SHOTGUN) 10-J.LOVE PASS SHORT LEFT TO 85-T.KRAFT PUSHED OB AT GB 44 FOR 19 YARDS (6-B.COOK).,0,2023,19,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,25,OWN,0,,0,,0,900,0,0
