GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,SeriesFirstDown,NextScore,Description,TeamWin,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards,Week,Duration,ATL,NYJ
2023120302,2023-12-03,1,9,35,ATL,NYJ,1,10,45,0,0,(9:35) (SHOTGUN) 9-D.RIDDER PASS INCOMPLETE SHORT LEFT TO 7-B.ROBINSON [95-Q.WILLIAMS].,0,2023,0,SHOTGUN,PASS,0,1,1,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,45,OWN,0,,0,,0,13,325,0,0
2023120302,2023-12-03,1,9,30,ATL,NYJ,2,10,45,0,0,(9:30) (SHOTGUN) 9-D.RIDDER PASS INCOMPLETE DEEP LEFT TO 8-K.PITTS.,0,2023,0,SHOTGUN,PASS,0,1,1,0,DEEP LEFT,0,0,0,,0,0,0,0,0,,45,OWN,0,,0,,0,13,330,0,0
2023120302,2023-12-03,1,9,26,ATL,NYJ,3,10,45,0,0,(9:26) (SHOTGUN) 9-D.RIDDER SACKED AT ATL 40 FOR -5 YARDS (SACK SPLIT BY 11-J.JOHNSON AND 70-Q.JEFFERSON).,0,2023,-5,SHOTGUN,SACK,0,0,0,0,,1,0,0,,0,0,0,0,0,,45,OWN,0,,0,,0,13,334,0,0
2023120302,2023-12-03,1,8,50,ATL,NYJ,4,15,40,0,0,"(8:50) 13-B.PINION PUNTS 51 YARDS TO NYJ 9, CENTER-49-L.MCCULLOUGH, FAIR CATCH BY 82-X.GIPSON.",0,2023,0,PUNT,PUNT,0,0,0,0,,0,0,0,,0,0,0,0,0,,40,OWN,0,,0,,0,13,370,0,0
2023120302,2023-12-03,1,8,43,NYJ,ATL,1,10,9,0,0,(8:43) 76-D.BROWN REPORTED IN AS ELIGIBLE.  33-D.COOK UP THE MIDDLE TO NYJ 13 FOR 4 YARDS (94-A.HUGGINS).,0,2023,4,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,CENTER,9,OWN,0,,0,,0,13,377,0,0
2023120302,2023-12-03,1,8,43,NYJ,ATL,0,0,100,1,0,TIMEOUT AT 08:43.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,13,377,0,0
2023120302,2023-12-03,1,8,6,NYJ,ATL,2,6,13,1,0,(8:06) 7-T.BOYLE PASS SHORT LEFT TO 33-D.COOK TO NYJ 24 FOR 11 YARDS (53-N.LANDMAN).,0,2023,11,UNDER CENTER,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,13,OWN,0,,0,,0,13,414,0,0
2023120302,2023-12-03,1,7,28,NYJ,ATL,1,10,24,0,0,(7:28) 82-X.GIPSON RIGHT END TO NYJ 25 FOR 1 YARD (55-K.ELLISS).,0,2023,1,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT END,24,OWN,0,,0,,0,13,452,0,0
2023120302,2023-12-03,1,6,48,NYJ,ATL,2,9,25,1,0,(6:48) 33-D.COOK RIGHT GUARD TO NYJ 39 FOR 14 YARDS (20-D.ALFORD).,0,2023,14,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT GUARD,25,OWN,0,,0,,0,13,492,0,0
2023120302,2023-12-03,1,6,3,NYJ,ATL,1,10,39,0,0,(6:03) 33-D.COOK RIGHT TACKLE TO NYJ 43 FOR 4 YARDS (1-J.OKUDAH).,0,2023,4,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT TACKLE,39,OWN,0,,0,,0,13,537,0,0
