GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,SeriesFirstDown,NextScore,Description,TeamWin,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards,Week,Duration,DEN,HOU
2023120307,2023-12-03,3,0,0,HOU,DEN,0,0,100,1,0,END QUARTER 3,0,2023,0,,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,13,2700,0,0
2023120307,2023-12-03,4,14,21,HOU,DEN,2,3,97,1,0,"(14:21) 7-C.STROUD PASS SHORT LEFT TO 12-N.COLLINS FOR 3 YARDS, TOUCHDOWN.",0,2023,3,UNDER CENTER,PASS,0,1,0,1,SHORT LEFT,0,0,0,,0,0,0,0,0,,3,OPP,0,,0,,0,13,2739,0,0
2023120307,2023-12-03,4,14,16,DEN,HOU,1,10,25,0,0,"(14:16) (SHOTGUN) 3-R.WILSON LEFT END TO DEN 32 FOR 7 YARDS (1-J.WARD). PENALTY ON HOU-1-J.WARD, UNNECESSARY ROUGHNESS, 15 YARDS, ENFORCED AT DEN 32.",0,2023,7,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,1,0,0,LEFT END,25,OWN,1,HOU,0,UNNECESSARY ROUGHNESS,15,13,2744,0,0
2023120307,2023-12-03,4,14,16,DEN,HOU,0,0,65,1,0,"16-M.AMMENDOLA KICKS 65 YARDS FROM HOU 35 TO END ZONE, TOUCHBACK.",0,2023,0,UNDER CENTER,KICK OFF,0,0,0,0,,0,0,0,,0,0,0,0,0,,35,OPP,0,,0,,0,13,2744,0,0
2023120307,2023-12-03,4,14,16,HOU,DEN,0,0,100,1,0,TIMEOUT AT 14:16.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,13,2744,0,0
2023120307,2023-12-03,4,14,16,HOU,DEN,0,0,98,1,0,TWO-POINT CONVERSION ATTEMPT. 7-C.STROUD PASS TO 85-N.BROWN IS INCOMPLETE. ATTEMPT FAILS. DEFENSIVE TWO-POINT ATTEMPT. 23-F.MOREAU INTERCEPTED THE TRY ATTEMPT. ATTEMPT FAILS.,0,2023,0,UNDER CENTER,TWO-POINT CONVERSION,0,0,0,0,,0,0,0,,1,0,0,1,0,,2,OPP,0,,0,,0,13,2744,0,0
2023120307,2023-12-03,4,13,54,DEN,HOU,1,10,47,0,0,(13:54) 38-J.MCLAUGHLIN RIGHT GUARD TO HOU 45 FOR 8 YARDS (6-D.PERRYMAN). HOU-1-J.WARD WAS INJURED DURING THE PLAY.,0,2023,8,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT GUARD,47,OWN,0,,0,,0,13,2766,0,0
2023120307,2023-12-03,4,13,15,DEN,HOU,2,2,55,1,0,(13:15) 33-J.WILLIAMS UP THE MIDDLE TO HOU 42 FOR 3 YARDS (6-D.PERRYMAN).,0,2023,3,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,CENTER,45,OPP,0,,0,,0,13,2805,0,0
2023120307,2023-12-03,4,12,40,DEN,HOU,1,10,58,1,0,"(12:40) 3-R.WILSON PASS DEEP LEFT TO 10-J.JEUDY TO HOU 1 FOR 41 YARDS (21-S.NELSON, 30-D.HOUSTON-CARSON).",0,2023,41,UNDER CENTER,PASS,0,1,0,0,DEEP LEFT,0,0,0,,0,0,0,0,0,,42,OPP,0,,0,,0,13,2840,0,0
2023120307,2023-12-03,4,12,6,DEN,HOU,1,1,99,1,0,"(12:06) 3-R.WILSON RIGHT GUARD FOR 1 YARD, TOUCHDOWN.",0,2023,1,UNDER CENTER,RUSH,1,0,0,1,,0,0,0,,0,0,0,0,0,RIGHT GUARD,1,OPP,0,,0,,0,13,2874,0,0
