GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,SeriesFirstDown,NextScore,Description,TeamWin,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards,Week,Duration,LA,CLE
2023120308,2023-12-03,1,8,44,LA,CLE,1,10,100,0,0,"(8:44) 23-K.WILLIAMS LEFT END PUSHED OB AT CLE 44 FOR 6 YARDS (5-A.WALKER). PENALTY ON CLE-1-J.THORNHILL, UNNECESSARY ROUGHNESS, 15 YARDS, ENFORCED AT CLE 44.",0,2023,6,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,1,0,0,LEFT END,0,OPP,1,CLE,0,UNNECESSARY ROUGHNESS,15,13,376,0,0
2023120308,2023-12-03,1,8,7,LA,CLE,1,10,71,0,0,(8:07) 23-K.WILLIAMS UP THE MIDDLE TO CLE 29 FOR NO GAIN (94-D.TOMLINSON).,0,2023,0,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,CENTER,29,OPP,0,,0,,0,13,413,0,0
2023120308,2023-12-03,1,7,22,LA,CLE,2,10,71,0,0,(7:22) (SHOTGUN) 9-M.STAFFORD PASS SHORT RIGHT TO 15-D.ROBINSON PUSHED OB AT CLE 26 FOR 3 YARDS (28-M.FORD).,0,2023,3,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,29,OPP,0,,0,,0,13,458,0,0
2023120308,2023-12-03,1,6,36,LA,CLE,3,7,74,0,0,(6:36) (SHOTGUN) 9-M.STAFFORD PASS INCOMPLETE SHORT RIGHT TO 17-P.NACUA.,0,2023,0,SHOTGUN,PASS,0,1,1,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,26,OPP,0,,0,,0,13,504,0,0
2023120308,2023-12-03,1,6,33,LA,CLE,4,7,74,0,0,"(6:33) 8-L.HAVRISIK 44 YARD FIELD GOAL IS GOOD, CENTER-47-A.WARD, HOLDER-42-E.EVANS.",0,2023,0,FIELD GOAL,FIELD GOAL,0,0,0,0,,0,0,0,,0,0,0,0,0,,26,OPP,0,,0,,0,13,507,0,0
2023120308,2023-12-03,1,6,28,LA,CLE,0,0,100,1,0,TIMEOUT AT 06:28.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,13,512,0,0
2023120308,2023-12-03,1,6,28,CLE,LA,1,10,25,0,0,"(6:28) 68-M.DUNN REPORTED IN AS ELIGIBLE.  27-K.HUNT RIGHT END TO CLE 29 FOR 4 YARDS (99-A.DONALD, 53-E.JONES).",0,2023,4,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT END,25,OWN,0,,0,,0,13,512,0,0
2023120308,2023-12-03,1,6,28,CLE,LA,0,0,65,1,0,"42-E.EVANS KICKS 65 YARDS FROM LAR 35 TO END ZONE, TOUCHBACK.",0,2023,0,UNDER CENTER,KICK OFF,0,0,0,0,,0,0,0,,0,0,0,0,0,,35,OPP,0,,0,,0,13,512,0,0
2023120308,2023-12-03,1,5,48,CLE,LA,2,6,29,0,0,"(5:48) 27-K.HUNT LEFT TACKLE TO CLE 32 FOR 3 YARDS (0-B.YOUNG, 53-E.JONES).",0,2023,3,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT TACKLE,29,OWN,0,,0,,0,13,552,0,0
2023120308,2023-12-03,1,5,7,CLE,LA,3,3,32,0,0,(5:07) (SHOTGUN) 15-J.FLACCO PASS INCOMPLETE SHORT MIDDLE TO 19-C.TILLMAN (43-J.JOHNSON).,0,2023,0,SHOTGUN,PASS,0,1,1,0,SHORT MIDDLE,0,0,0,,0,0,0,0,0,,32,OWN,0,,0,,0,13,593,0,0
2023120308,2023-12-03,1,5,2,CLE,LA,4,3,32,0,0,"(5:02) 13-C.BOJORQUEZ PUNTS 62 YARDS TO LAR 6, CENTER-47-C.HUGHLETT. 81-A.TRAMMELL TO LAR 21 FOR 15 YARDS (88-H.BRYANT).",0,2023,0,PUNT,PUNT,0,0,0,0,,0,0,0,,0,0,0,0,0,,32,OWN,0,,0,,0,13,598,0,0
2023120308,2023-12-03,1,4,48,LA,CLE,0,0,100,1,0,TIMEOUT AT 04:48.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,13,612,0,0
2023120308,2023-12-03,1,4,48,LA,CLE,1,10,79,0,0,(4:48) (SHOTGUN) 9-M.STAFFORD PASS SHORT LEFT TO 5-T.ATWELL RAN OB AT LAR 30 FOR 9 YARDS (23-M.EMERSON).,0,2023,9,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,21,OPP,0,,0,,0,13,612,0,0
2023120308,2023-12-03,1,4,8,LA,CLE,2,1,70,1,0,"(4:08) (SHOTGUN) 9-M.STAFFORD PASS DEEP MIDDLE TO 17-P.NACUA FOR 70 YARDS, TOUCHDOWN.",0,2023,70,SHOTGUN,PASS,0,1,0,1,DEEP MIDDLE,0,0,0,,0,0,0,0,0,,30,OPP,0,,0,,0,13,652,0,0
2023120308,2023-12-03,1,3,59,LA,CLE,0,0,85,1,0,"8-L.HAVRISIK EXTRA POINT IS GOOD, CENTER-47-A.WARD, HOLDER-42-E.EVANS.",0,2023,0,UNDER CENTER,EXTRA POINT,0,0,0,0,,0,0,0,,0,0,0,0,0,,15,OPP,0,,0,,0,13,661,0,0
2023120308,2023-12-03,1,3,59,LA,CLE,0,0,100,1,0,TIMEOUT AT 03:59.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,13,661,0,0
2023120308,2023-12-03,1,3,59,CLE,LA,0,0,65,1,0,"42-E.EVANS KICKS 65 YARDS FROM LAR 35 TO END ZONE, TOUCHBACK.",0,2023,0,UNDER CENTER,KICK OFF,0,0,0,0,,0,0,0,,0,0,0,0,0,,35,OPP,0,,0,,0,13,661,0,0
2023120308,2023-12-03,1,3,59,CLE,LA,1,10,25,1,0,(3:59) 15-J.FLACCO PASS DEEP MIDDLE TO 88-H.BRYANT TO CLE 48 FOR 23 YARDS (59-T.REEDER).,0,2023,23,UNDER CENTER,PASS,0,1,0,0,DEEP MIDDLE,0,0,0,,0,0,0,0,0,,25,OWN,0,,0,,0,13,661,0,0
2023120308,2023-12-03,1,3,14,CLE,LA,1,10,48,0,0,(3:14) 15-J.FLACCO PASS INCOMPLETE SHORT LEFT TO 2-A.COOPER.,0,2023,0,UNDER CENTER,PASS,0,1,1,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,48,OWN,0,,0,,0,13,706,0,0
2023120308,2023-12-03,1,3,9,CLE,LA,2,10,48,0,0,(3:09) (SHOTGUN) 15-J.FLACCO PASS SHORT LEFT TO 34-J.FORD TO CLE 44 FOR -4 YARDS (1-D.KENDRICK).,0,2023,-4,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,48,OWN,0,,0,,0,13,711,0,0
2023120308,2023-12-03,1,2,26,CLE,LA,3,14,44,0,0,(2:26) (SHOTGUN) 15-J.FLACCO PASS INCOMPLETE DEEP MIDDLE TO 19-C.TILLMAN.,0,2023,0,SHOTGUN,PASS,0,1,1,0,DEEP MIDDLE,0,0,0,,0,0,0,0,0,,44,OWN,0,,0,,0,13,754,0,0
2023120308,2023-12-03,1,2,19,CLE,LA,4,9,49,0,0,"(2:19) 13-C.BOJORQUEZ PUNTS 51 YARDS TO END ZONE, CENTER-47-C.HUGHLETT, TOUCHBACK.",0,2023,0,PUNT,PUNT,0,0,0,0,,0,0,0,,0,0,0,0,0,,49,OWN,0,,0,,0,13,761,0,0
2023120308,2023-12-03,1,2,12,LA,CLE,1,10,80,0,0,(2:12) (SHOTGUN) 9-M.STAFFORD PASS SHORT RIGHT TO 10-C.KUPP TO LAR 25 FOR 5 YARDS (28-M.FORD).,0,2023,5,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,20,OPP,0,,0,,0,13,768,0,0
2023120308,2023-12-03,1,2,12,LA,CLE,0,0,100,1,0,TIMEOUT AT 02:12.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,13,768,0,0
2023120308,2023-12-03,1,1,33,LA,CLE,2,5,75,0,0,"(1:33) (NO HUDDLE, SHOTGUN) 9-M.STAFFORD PASS INCOMPLETE DEEP RIGHT TO 5-T.ATWELL.",0,2023,0,NO HUDDLE SHOTGUN,PASS,0,1,1,0,DEEP RIGHT,0,0,0,,0,0,0,0,0,,25,OPP,0,,0,,0,13,807,0,0
