GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,SeriesFirstDown,NextScore,Description,TeamWin,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards,Duration,SF,PHI
2023120309,2023-12-03,1,9,1,SF,PHI,3,12,25,0,0,(9:01) (SHOTGUN) 13-B.PURDY PASS INCOMPLETE SHORT RIGHT TO 23-C.MCCAFFREY [94-J.SWEAT].,0,2023,0,SHOTGUN,PASS,0,1,1,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,25,OWN,0,,0,,0,359,0,0
2023120309,2023-12-03,1,8,56,SF,PHI,4,12,25,0,0,"(8:56) 18-M.WISHNOWSKY PUNTS 49 YARDS TO PHI 26, CENTER-46-T.PEPPER, FAIR CATCH BY 18-B.COVEY.",0,2023,0,PUNT,PUNT,0,0,0,0,,0,0,0,,0,0,0,0,0,,25,OWN,0,,0,,0,364,0,0
2023120309,2023-12-03,1,8,49,PHI,SF,0,0,100,1,0,TIMEOUT AT 08:49.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,371,0,0
2023120309,2023-12-03,1,8,49,PHI,SF,1,10,26,0,0,"(8:49) (SHOTGUN) 1-J.HURTS TO PHI 20 FOR -6 YARDS. FUMBLES, AND RECOVERS AT PHI 20. 1-J.HURTS PASS INCOMPLETE SHORT RIGHT.",0,2023,-6,SHOTGUN,PASS,0,1,1,0,SHORT RIGHT,0,0,0,,0,1,0,0,0,,26,OWN,0,,0,,0,371,0,0
2023120309,2023-12-03,1,8,42,PHI,SF,2,10,26,0,0,(8:42) (SHOTGUN) 1-J.HURTS SCRAMBLES LEFT END RAN OB AT PHI 33 FOR 7 YARDS (57-D.GREENLAW).,0,2023,7,SHOTGUN,SCRAMBLE,1,0,0,0,,0,0,0,,0,0,0,0,0,,26,OWN,0,,0,,0,378,0,0
2023120309,2023-12-03,1,8,0,PHI,SF,3,3,33,1,0,(8:00) (SHOTGUN) 1-J.HURTS PASS SHORT RIGHT TO 11-A.BROWN TO 50 FOR 17 YARDS (7-C.WARD).,0,2023,17,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,33,OWN,0,,0,,0,420,0,0
2023120309,2023-12-03,1,8,0,PHI,SF,0,0,100,1,0,TIMEOUT #1 BY PHI AT 08:00.,0,2023,0,UNDER CENTER,TIMEOUT,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,420,0,0
2023120309,2023-12-03,1,7,28,PHI,SF,1,10,100,1,0,"(7:28) (NO HUDDLE, SHOTGUN) 1-J.HURTS PASS SHORT LEFT TO 6-D.SMITH RAN OB AT SF 40 FOR 10 YARDS (20-A.THOMAS).",0,2023,10,NO HUDDLE SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,452,0,0
2023120309,2023-12-03,1,6,52,PHI,SF,1,10,60,0,0,(6:52) (SHOTGUN) 35-B.SCOTT LEFT GUARD TO SF 38 FOR 2 YARDS (97-N.BOSA; 98-J.HARGRAVE).,0,2023,2,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT GUARD,40,OPP,0,,0,,0,488,0,0
2023120309,2023-12-03,1,6,13,PHI,SF,2,8,62,0,0,(6:13) (SHOTGUN) 1-J.HURTS PASS SHORT MIDDLE TO 0-D.SWIFT TO SF 35 FOR 3 YARDS (97-N.BOSA; 57-D.GREENLAW).,0,2023,3,SHOTGUN,PASS,0,1,0,0,SHORT MIDDLE,0,0,0,,0,0,0,0,0,,38,OPP,0,,0,,0,527,0,0
2023120309,2023-12-03,1,5,29,PHI,SF,3,5,65,1,0,(5:29) (SHOTGUN) 1-J.HURTS PASS SHORT RIGHT TO 6-D.SMITH PUSHED OB AT SF 29 FOR 6 YARDS (20-A.THOMAS) [92-C.YOUNG].,0,2023,6,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,35,OPP,0,,0,,0,571,0,0
2023120309,2023-12-03,1,4,50,PHI,SF,1,10,71,1,0,(4:50) (SHOTGUN) 1-J.HURTS PASS SHORT RIGHT TO 6-D.SMITH PUSHED OB AT SF 18 FOR 11 YARDS (7-C.WARD).,0,2023,11,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,29,OPP,0,,0,,0,610,0,0
2023120309,2023-12-03,1,4,11,PHI,SF,1,10,82,0,0,(4:11) (SHOTGUN) 1-J.HURTS PASS SHORT RIGHT TO 11-A.BROWN TO SF 14 FOR 4 YARDS (54-F.WARNER).,0,2023,4,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,18,OPP,0,,0,,0,649,0,0
2023120309,2023-12-03,1,3,33,PHI,SF,2,6,86,0,0,(3:33) (SHOTGUN) 1-J.HURTS SACKED AT SF 29 FOR -15 YARDS (99-J.KINLAW).,0,2023,-15,SHOTGUN,SACK,0,0,0,0,,1,0,0,,0,0,0,0,0,,14,OPP,0,,0,,0,687,0,0
2023120309,2023-12-03,1,2,44,PHI,SF,3,21,71,0,0,(2:44) (SHOTGUN) 1-J.HURTS PASS SHORT LEFT TO 14-K.GAINWELL TO SF 21 FOR 8 YARDS (20-A.THOMAS).,0,2023,8,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,29,OPP,0,,0,,0,736,0,0
2023120309,2023-12-03,1,2,5,PHI,SF,4,13,79,0,0,"(2:05) 4-J.ELLIOTT 39 YARD FIELD GOAL IS GOOD, CENTER-45-R.LOVATO, HOLDER-10-B.MANN. PENALTY ON SF-5-R.GREGORY, DEFENSIVE OFFSIDE, DECLINED.",0,2023,0,FIELD GOAL,FIELD GOAL,0,0,0,0,,0,0,0,,0,0,1,0,0,,21,OPP,0,SF,0,DEFENSIVE OFFSIDE,0,775,0,0
2023120309,2023-12-03,1,2,1,SF,PHI,1,10,25,0,0,(2:01) (SHOTGUN) 19-D.SAMUEL RIGHT END TO SF 21 FOR -4 YARDS (53-C.ELLISS).,0,2023,-4,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT END,25,OWN,0,,0,,0,779,0,0
2023120309,2023-12-03,1,2,1,PHI,SF,0,0,100,1,0,TIMEOUT AT 02:01.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,779,0,0
2023120309,2023-12-03,1,2,1,SF,PHI,0,0,65,1,0,"4-J.ELLIOTT KICKS 65 YARDS FROM PHI 35 TO END ZONE, TOUCHBACK.",0,2023,0,UNDER CENTER,KICK OFF,0,0,0,0,,0,0,0,,0,0,0,0,0,,35,OPP,0,,0,,0,779,0,0
2023120309,2023-12-03,1,1,23,SF,PHI,2,14,21,0,0,(1:23) (SHOTGUN) 13-B.PURDY PASS INCOMPLETE SHORT MIDDLE TO 85-G.KITTLE.,0,2023,0,SHOTGUN,PASS,0,1,1,0,SHORT MIDDLE,0,0,0,,0,0,0,0,0,,21,OWN,0,,0,,0,817,0,0
2023120309,2023-12-03,1,1,17,SF,PHI,3,14,21,0,0,(1:17) (SHOTGUN) 13-B.PURDY PASS INCOMPLETE DEEP RIGHT.,0,2023,0,SHOTGUN,PASS,0,1,1,0,DEEP RIGHT,0,0,0,,0,0,0,0,0,,21,OWN,0,,0,,0,823,0,0
2023120309,2023-12-03,1,1,10,SF,PHI,4,14,21,0,0,"(1:10) 18-M.WISHNOWSKY PUNTS 46 YARDS TO PHI 33, CENTER-46-T.PEPPER. 18-B.COVEY TO PHI 33 FOR NO GAIN (0-S.WOMACK).",0,2023,0,PUNT,PUNT,0,0,0,0,,0,0,0,,0,0,0,0,0,,21,OWN,0,,0,,0,830,0,0
2023120309,2023-12-03,1,1,0,PHI,SF,0,0,100,1,0,TIMEOUT AT 01:00.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,840,0,0
2023120309,2023-12-03,1,1,0,PHI,SF,1,10,33,0,0,(1:00) 0-D.SWIFT RIGHT END TO PHI 33 FOR NO GAIN (31-T.GIPSON).,0,2023,0,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT END,33,OWN,0,,0,,0,840,0,0
2023120309,2023-12-03,1,0,25,PHI,SF,2,10,33,0,0,(:25) (SHOTGUN) 1-J.HURTS PASS SHORT LEFT TO 11-A.BROWN TO PHI 37 FOR 4 YARDS (27-J.BROWN).,0,2023,4,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,33,OWN,0,,0,,0,875,0,0
2023120309,2023-12-03,2,15,0,PHI,SF,3,11,32,0,0,(15:00) (SHOTGUN) 1-J.HURTS SCRAMBLES LEFT END RAN OB AT PHI 36 FOR 4 YARDS (98-J.HARGRAVE; 27-J.BROWN).,0,2023,4,SHOTGUN,SCRAMBLE,1,0,0,0,,0,0,0,,0,0,0,0,0,,32,OWN,0,,0,,0,900,0,0
2023120309,2023-12-03,2,15,0,PHI,SF,3,6,37,0,0,"(15:00) (SHOTGUN) PENALTY ON PHI-1-J.HURTS, FALSE START, 5 YARDS, ENFORCED AT PHI 37 - NO PLAY.",0,2023,0,SHOTGUN,NO PLAY,0,0,0,0,,0,0,0,,0,0,1,0,0,,37,OWN,1,PHI,1,FALSE START,5,900,0,0
2023120309,2023-12-03,1,0,0,PHI,SF,0,0,100,1,0,END QUARTER 1,0,2023,0,,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,900,0,0
2023120309,2023-12-03,2,14,24,PHI,SF,4,7,36,0,0,"(14:24) 10-B.MANN PUNTS 52 YARDS TO SF 12, CENTER-45-R.LOVATO. 10-R.BELL TO SF 15 FOR 3 YARDS (48-P.JOHNSON, 57-B.VANSUMEREN).",0,2023,0,PUNT,PUNT,0,0,0,0,,0,0,0,,0,0,0,0,0,,36,OWN,0,,0,,0,936,0,0
2023120309,2023-12-03,2,14,11,SF,PHI,1,10,15,0,0,(14:11) (SHOTGUN) 23-C.MCCAFFREY RIGHT TACKLE TO SF 15 FOR NO GAIN (21-S.BROWN).,0,2023,0,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT TACKLE,15,OWN,0,,0,,0,949,0,0
2023120309,2023-12-03,2,13,25,SF,PHI,2,10,15,0,0,"(13:25) (SHOTGUN) PENALTY ON SF-74-S.BURFORD, FALSE START, 5 YARDS, ENFORCED AT SF 15 - NO PLAY.",0,2023,0,SHOTGUN,NO PLAY,0,0,0,0,,0,0,0,,0,0,1,0,0,,15,OWN,1,SF,1,FALSE START,5,995,0,0
2023120309,2023-12-03,2,13,5,SF,PHI,2,15,10,0,0,(13:05) (SHOTGUN) 13-B.PURDY PASS SHORT RIGHT TO 11-B.AIYUK PUSHED OB AT SF 22 FOR 12 YARDS (2-D.SLAY).,0,2023,12,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,10,OWN,0,,0,,0,1015,0,0
2023120309,2023-12-03,2,12,27,SF,PHI,3,3,22,1,0,(12:27) (SHOTGUN) 13-B.PURDY PASS SHORT LEFT TO 85-G.KITTLE TO SF 25 FOR 3 YARDS (33-B.ROBY).,0,2023,3,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,22,OWN,0,,0,,0,1053,0,0
2023120309,2023-12-03,2,11,45,SF,PHI,1,10,25,0,0,"(11:45) (SHOTGUN) 13-B.PURDY PASS SHORT LEFT TO 11-B.AIYUK TO SF 34 FOR 9 YARDS (2-D.SLAY, 53-C.ELLISS).",0,2023,9,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,25,OWN,0,,0,,0,1095,0,0
2023120309,2023-12-03,2,11,3,SF,PHI,2,1,34,0,0,(11:03) 23-C.MCCAFFREY UP THE MIDDLE TO SF 34 FOR NO GAIN (98-J.CARTER; 93-M.WILLIAMS).,0,2023,0,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,CENTER,34,OWN,0,,0,,0,1137,0,0
2023120309,2023-12-03,2,10,21,SF,PHI,3,1,34,1,0,"(10:21) 13-B.PURDY PASS SHORT MIDDLE TO 19-D.SAMUEL TO SF 47 FOR 13 YARDS (41-N.MORROW, 33-B.ROBY).",0,2023,13,UNDER CENTER,PASS,0,1,0,0,SHORT MIDDLE,0,0,0,,0,0,0,0,0,,34,OWN,0,,0,,0,1179,0,0
