GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,SeriesFirstDown,NextScore,Description,TeamWin,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards,Week,Duration,TB,CAR
2023120304,2023-12-03,1,9,51,CAR,TB,3,10,15,0,0,"(9:51) (SHOTGUN) 9-B.YOUNG PASS INCOMPLETE DEEP LEFT TO 15-J.MINGO. CAROLINA CHALLENGED THE INCOMPLETE PASS RULING, AND THE PLAY WAS UPHELD. THE RULING ON THE FIELD STANDS. (TIMEOUT #1.)",0,2023,0,SHOTGUN,PASS,0,1,1,0,DEEP LEFT,0,1,0,,0,0,0,0,0,,15,OWN,0,,0,,0,13,309,0,0
2023120304,2023-12-03,1,9,46,CAR,TB,4,10,15,0,0,"(9:46) 10-J.HEKKER PUNTS 57 YARDS TO TB 28, CENTER-44-J.JANSEN. 83-D.THOMPKINS TO TB 43 FOR 15 YARDS (54-K.GRUGIER-HILL).",0,2023,0,PUNT,PUNT,0,0,0,0,,0,0,0,,0,0,0,0,0,,15,OWN,0,,0,,0,13,314,0,0
2023120304,2023-12-03,1,9,34,TB,CAR,1,10,43,0,0,(9:34) (SHOTGUN) 6-B.MAYFIELD PASS SHORT RIGHT TO 13-M.EVANS TO TB 48 FOR 5 YARDS (25-X.WOODS; 8-J.HORN).,0,2023,5,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,43,OWN,0,,0,,0,13,326,0,0
2023120304,2023-12-03,1,8,58,TB,CAR,2,5,48,0,0,(8:58) (SHOTGUN) 1-R.WHITE LEFT GUARD TO TB 49 FOR 1 YARD (98-M.HAYNES; 99-S.TUTTLE).,0,2023,1,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT GUARD,48,OWN,0,,0,,0,13,362,0,0
2023120304,2023-12-03,1,8,21,TB,CAR,3,4,49,1,0,(8:21) (SHOTGUN) 6-B.MAYFIELD PASS SHORT RIGHT TO 10-T.PALMER TO CAR 45 FOR 6 YARDS (8-J.HORN).,0,2023,6,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,49,OWN,0,,0,,0,13,399,0,0
2023120304,2023-12-03,1,7,42,TB,CAR,1,10,55,0,0,(7:42) (SHOTGUN) 6-B.MAYFIELD PASS INCOMPLETE SHORT MIDDLE TO 1-R.WHITE (49-F.LUVU).,0,2023,0,SHOTGUN,PASS,0,1,1,0,SHORT MIDDLE,0,0,0,,0,0,0,0,0,,45,OPP,0,,0,,0,13,438,0,0
2023120304,2023-12-03,1,7,38,TB,CAR,2,10,55,0,0,(7:38) (SHOTGUN) 6-B.MAYFIELD PASS INCOMPLETE SHORT LEFT TO 10-T.PALMER (26-D.JACKSON) [95-DER.BROWN].,0,2023,0,SHOTGUN,PASS,0,1,1,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,45,OPP,0,,0,,0,13,442,0,0
2023120304,2023-12-03,1,7,34,TB,CAR,3,10,55,1,0,(7:34) (SHOTGUN) 6-B.MAYFIELD PASS DEEP RIGHT TO 13-M.EVANS PUSHED OB AT CAR 5 FOR 40 YARDS (27-A.COOK).,0,2023,40,SHOTGUN,PASS,0,1,0,0,DEEP RIGHT,0,0,0,,0,0,0,0,0,,45,OPP,0,,0,,0,13,446,0,0
2023120304,2023-12-03,1,7,0,TB,CAR,1,5,95,0,0,(7:00) (SHOTGUN) 1-R.WHITE UP THE MIDDLE TO CAR 3 FOR 2 YARDS (91-N.THURMAN; 49-F.LUVU).,0,2023,2,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,CENTER,5,OPP,0,,0,,0,13,480,0,0
2023120304,2023-12-03,1,6,21,TB,CAR,2,3,97,0,0,"(6:21) 6-B.MAYFIELD PASS INCOMPLETE SHORT RIGHT TO 13-M.EVANS. PENALTY ON CAR-25-X.WOODS, DEFENSIVE PASS INTERFERENCE, 2 YARDS, ENFORCED AT CAR 3 - NO PLAY.",0,2023,0,UNDER CENTER,PASS,0,1,1,0,SHORT RIGHT,0,0,0,,0,0,1,0,0,,3,OPP,1,CAR,1,DEFENSIVE PASS INTERFERENCE,2,13,519,0,0
