GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,SeriesFirstDown,NextScore,Description,TeamWin,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards,Duration,CLE,HOU
2023122404,2023-12-24,1,15,0,CLE,HOU,0,0,65,1,0,15-K.FAIRBAIRN KICKS 60 YARDS FROM HOU 35 TO CLE 5. 20-P.STRONG PUSHED OB AT CLE 41 FOR 36 YARDS (15-K.FAIRBAIRN).,0,2023,0,UNDER CENTER,KICK OFF,0,0,0,0,,0,0,0,,0,0,0,0,0,,35,OPP,0,,0,,0,0,0,0
2023122404,2023-12-24,1,14,53,CLE,HOU,1,10,41,1,0,(14:53) 15-J.FLACCO PASS DEEP MIDDLE TO 2-A.COOPER TO HOU 6 FOR 53 YARDS (1-J.WARD).,0,2023,53,UNDER CENTER,PASS,0,1,0,0,DEEP MIDDLE,0,0,0,,0,0,0,0,0,,41,OWN,0,,0,,0,7,0,0
2023122404,2023-12-24,1,14,7,CLE,HOU,0,0,100,1,0,TIMEOUT #1 BY CLE AT 14:07.,0,2023,0,UNDER CENTER,TIMEOUT,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,53,0,0
2023122404,2023-12-24,1,14,7,CLE,HOU,1,6,94,0,0,"(14:07) (SHOTGUN) DIRECT SNAP TO 27-K.HUNT.  27-K.HUNT LEFT TACKLE TO HOU 4 FOR 2 YARDS (5-J.PITRE, 25-D.KING).",0,2023,0,SHOTGUN,,0,0,0,0,,0,0,0,,0,0,0,0,0,,6,OPP,0,,0,,0,53,0,0
2023122404,2023-12-24,1,13,27,CLE,HOU,2,4,96,0,0,(13:27) (SHOTGUN) 15-J.FLACCO PASS INCOMPLETE SHORT MIDDLE TO 85-D.NJOKU (6-D.PERRYMAN).,0,2023,0,SHOTGUN,PASS,0,1,1,0,SHORT MIDDLE,0,0,0,,0,0,0,0,0,,4,OPP,0,,0,,0,93,0,0
2023122404,2023-12-24,1,13,23,CLE,HOU,3,4,96,0,0,"(13:23) (SHOTGUN) DIRECT SNAP TO 34-J.FORD.  34-J.FORD RIGHT END FOR 4 YARDS, TOUCHDOWN.",0,2023,0,SHOTGUN,,0,0,0,1,,0,0,0,,0,0,0,0,0,,4,OPP,0,,0,,0,97,0,0
2023122404,2023-12-24,1,13,18,CLE,HOU,0,0,85,1,0,"7-D.HOPKINS EXTRA POINT IS GOOD, CENTER-47-C.HUGHLETT, HOLDER-13-C.BOJORQUEZ.",0,2023,0,UNDER CENTER,EXTRA POINT,0,0,0,0,,0,0,0,,0,0,0,0,0,,15,OPP,0,,0,,0,102,0,0
2023122404,2023-12-24,1,13,18,HOU,CLE,0,0,65,1,0,7-D.HOPKINS KICKS 57 YARDS FROM CLE 35 TO HOU 8. 31-D.PIERCE TO HOU 27 FOR 19 YARDS (35-C.THOMAS).,0,2023,0,UNDER CENTER,KICK OFF,0,0,0,0,,0,0,0,,0,0,0,0,0,,35,OPP,0,,0,,0,102,0,0
2023122404,2023-12-24,1,13,18,HOU,CLE,0,0,100,1,0,TIMEOUT AT 13:18.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,102,0,0
2023122404,2023-12-24,1,13,12,HOU,CLE,1,10,27,0,0,(13:12) 18-C.KEENUM PASS SHORT MIDDLE TO 26-D.SINGLETARY TO HOU 34 FOR 7 YARDS (6-J.OWUSU-KORAMOAH).,0,2023,7,UNDER CENTER,PASS,0,1,0,0,SHORT MIDDLE,0,0,0,,0,0,0,0,0,,27,OWN,0,,0,,0,108,0,0
2023122404,2023-12-24,1,12,37,HOU,CLE,2,3,34,0,0,"(12:37) 26-D.SINGLETARY UP THE MIDDLE TO HOU 39 FOR 5 YARDS (44-S.TAKITAKI; 42-T.FIELDS). PENALTY ON CLE-93-S.HARRIS, DEFENSIVE HOLDING, 5 YARDS, ENFORCED AT HOU 39.",0,2023,5,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,1,0,0,CENTER,34,OWN,1,CLE,0,DEFENSIVE HOLDING,5,143,0,0
2023122404,2023-12-24,1,12,14,HOU,CLE,1,10,44,0,0,"(12:14) 18-C.KEENUM PASS INCOMPLETE DEEP LEFT TO 12-N.COLLINS. PENALTY ON CLE-23-M.EMERSON, DEFENSIVE HOLDING, 5 YARDS, ENFORCED AT HOU 44 - NO PLAY.",0,2023,0,UNDER CENTER,PASS,0,1,1,0,DEEP LEFT,0,0,0,,0,0,1,0,0,,44,OWN,1,CLE,1,DEFENSIVE HOLDING,5,166,0,0
2023122404,2023-12-24,1,12,7,HOU,CLE,1,10,49,0,0,(12:07) 10-MILLS AT QB (SHOTGUN) 10-D.MILLS RIGHT END TO HOU 49 FOR NO GAIN (44-S.TAKITAKI).,0,2023,0,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT END,49,OWN,0,,0,,0,173,0,0
