GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,SeriesFirstDown,NextScore,Description,TeamWin,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards,Week,Duration,DAL,MIA
2023122410,2023-12-24,1,9,22,DAL,MIA,4,2,69,1,0,(9:22) (SHOTGUN) 4-D.PRESCOTT PASS SHORT RIGHT TO 87-J.FERGUSON TO MIA 11 FOR 20 YARDS (29-B.JONES).,0,2023,20,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,31,OPP,0,,0,,0,16,338,0,0
2023122410,2023-12-24,1,8,44,DAL,MIA,1,10,89,0,0,(8:44) 3-B.COOKS LEFT END PUSHED OB AT MIA 2 FOR 9 YARDS (5-J.RAMSEY).,0,2023,9,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT END,11,OPP,0,,0,,0,16,376,0,0
2023122410,2023-12-24,1,8,6,DAL,MIA,2,1,98,1,0,(8:06) (SHOTGUN) 20-T.POLLARD LEFT END TO MIA 1 FOR 1 YARD (21-D.ELLIOTT).,0,2023,1,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT END,2,OPP,0,,0,,0,16,414,0,0
2023122410,2023-12-24,1,7,22,DAL,MIA,1,1,99,0,0,"(7:22) 66-T.BASS REPORTED IN AS ELIGIBLE.  4-D.PRESCOTT FUMBLES (ABORTED) AT MIA 2, RECOVERED BY MIA-29-B.JONES AT MIA 2.",0,2023,0,UNDER CENTER,FUMBLES,0,0,0,0,,0,0,0,,0,1,0,0,0,,1,OPP,0,,0,,0,16,458,0,0
2023122410,2023-12-24,1,7,17,MIA,DAL,0,0,100,1,0,TIMEOUT AT 07:17.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,16,463,0,0
2023122410,2023-12-24,1,7,17,MIA,DAL,1,10,2,0,0,(7:17) (SHOTGUN) 31-R.MOSTERT UP THE MIDDLE TO MIA 8 FOR 6 YARDS (58-M.SMITH).,0,2023,6,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,CENTER,2,OWN,0,,0,,0,16,463,0,0
2023122410,2023-12-24,1,6,37,MIA,DAL,2,4,8,0,0,(6:37) (SHOTGUN) 1-T.TAGOVAILOA PASS INCOMPLETE DEEP LEFT TO 10-T.HILL [11-M.PARSONS].,0,2023,0,SHOTGUN,PASS,0,1,1,0,DEEP LEFT,0,0,0,,0,0,0,0,0,,8,OWN,0,,0,,0,16,503,0,0
2023122410,2023-12-24,1,6,32,MIA,DAL,3,9,3,1,0,(6:32) (SHOTGUN) 1-T.TAGOVAILOA PASS DEEP RIGHT TO 17-J.WADDLE RAN OB AT DAL 47 FOR 50 YARDS.,0,2023,50,SHOTGUN,PASS,0,1,0,0,DEEP RIGHT,0,0,0,,0,0,0,0,0,,3,OWN,0,,0,,0,16,508,0,0
2023122410,2023-12-24,1,6,32,MIA,DAL,3,4,8,0,0,"(6:32) (SHOTGUN) PENALTY ON MIA, DELAY OF GAME, 5 YARDS, ENFORCED AT MIA 8 - NO PLAY.",0,2023,0,SHOTGUN,NO PLAY,0,0,0,0,,0,0,0,,0,0,1,0,0,,8,OWN,1,MIA,1,DELAY OF GAME,5,16,508,0,0
2023122410,2023-12-24,1,5,47,MIA,DAL,1,10,53,0,0,(5:47) 31-R.MOSTERT LEFT END TO DAL 45 FOR 2 YARDS (11-M.PARSONS; 33-D.CLARK).,0,2023,2,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT END,47,OPP,0,,0,,0,16,553,0,0
2023122410,2023-12-24,1,5,7,MIA,DAL,2,8,55,0,0,"(5:07) (SHOTGUN) 31-R.MOSTERT LEFT END TO DAL 40 FOR 5 YARDS (6-D.WILSON, 28-M.HOOKER).",0,2023,5,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT END,45,OPP,0,,0,,0,16,593,0,0
2023122410,2023-12-24,1,4,24,MIA,DAL,3,3,60,1,0,(4:24) (SHOTGUN) 1-T.TAGOVAILOA PASS SHORT LEFT TO 23-J.WILSON PUSHED OB AT DAL 36 FOR 4 YARDS (14-M.BELL).,0,2023,4,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,40,OPP,0,,0,,0,16,636,0,0
2023122410,2023-12-24,1,3,46,MIA,DAL,1,10,64,0,0,(3:46) 1-T.TAGOVAILOA PASS INCOMPLETE SHORT RIGHT TO 17-J.WADDLE.,0,2023,0,UNDER CENTER,PASS,0,1,1,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,36,OPP,0,,0,,0,16,674,0,0
2023122410,2023-12-24,1,3,42,MIA,DAL,2,10,64,0,0,(3:42) (SHOTGUN) 31-R.MOSTERT RIGHT END TO DAL 39 FOR -3 YARDS (2-J.LEWIS).,0,2023,-3,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT END,36,OPP,0,,0,,0,16,678,0,0
2023122410,2023-12-24,1,2,59,MIA,DAL,3,13,61,0,0,(2:59) (SHOTGUN) 1-T.TAGOVAILOA PASS INCOMPLETE SHORT RIGHT TO 17-J.WADDLE.,0,2023,0,SHOTGUN,PASS,0,1,1,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,39,OPP,0,,0,,0,16,721,0,0
