GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,SeriesFirstDown,NextScore,Description,TeamWin,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards,Duration,MIN,DET
2023122405,2023-12-24,1,7,17,DET,MIN,3,1,99,1,0,"(7:17) 70-D.SKIPPER REPORTED IN AS ELIGIBLE.  5-D.MONTGOMERY RIGHT GUARD FOR 1 YARD, TOUCHDOWN.",0,2023,1,UNDER CENTER,RUSH,1,0,0,1,,0,0,0,,0,0,0,0,0,RIGHT GUARD,1,OPP,0,,0,,0,463,0,0
2023122405,2023-12-24,1,7,13,MIN,DET,0,0,100,1,0,TIMEOUT AT 07:13.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,467,0,0
2023122405,2023-12-24,1,7,13,MIN,DET,1,10,25,1,0,(7:13) 12-N.MULLENS PASS SHORT RIGHT TO 84-J.OLIVER PUSHED OB AT DET 42 FOR 33 YARDS (31-K.JOSEPH).,0,2023,33,UNDER CENTER,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,25,OWN,0,,0,,0,467,0,0
2023122405,2023-12-24,1,7,13,DET,MIN,0,0,85,1,0,"17-M.BADGLEY EXTRA POINT IS GOOD, CENTER-43-J.MCQUAIDE, HOLDER-3-J.FOX.",0,2023,0,UNDER CENTER,EXTRA POINT,0,0,0,0,,0,0,0,,0,0,0,0,0,,15,OPP,0,,0,,0,467,0,0
2023122405,2023-12-24,1,7,13,MIN,DET,0,0,65,1,0,"3-J.FOX KICKS 65 YARDS FROM DET 35 TO END ZONE, TOUCHBACK.",0,2023,0,UNDER CENTER,KICK OFF,0,0,0,0,,0,0,0,,0,0,0,0,0,,35,OPP,0,,0,,0,467,0,0
2023122405,2023-12-24,1,6,35,MIN,DET,1,10,58,1,0,(6:35) 12-N.MULLENS PASS SHORT LEFT TO 17-K.OSBORN PUSHED OB AT DET 28 FOR 14 YARDS (31-K.JOSEPH; 34-A.ANZALONE).,0,2023,14,UNDER CENTER,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,42,OPP,0,,0,,0,505,0,0
2023122405,2023-12-24,1,5,58,MIN,DET,1,10,72,0,0,(5:58) (SHOTGUN) 12-N.MULLENS PASS SHORT RIGHT TO 18-J.JEFFERSON TO DET 20 FOR 8 YARDS (32-B.BRANCH; 1-C.SUTTON).,0,2023,8,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,28,OPP,0,,0,,0,542,0,0
2023122405,2023-12-24,1,5,21,MIN,DET,2,2,80,0,0,(5:21) 32-T.CHANDLER UP THE MIDDLE TO DET 20 FOR NO GAIN (44-M.RODRIGUEZ).,0,2023,0,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,CENTER,20,OPP,0,,0,,0,579,0,0
2023122405,2023-12-24,1,4,36,MIN,DET,3,2,80,1,0,(4:36) (SHOTGUN) 12-N.MULLENS PASS SHORT MIDDLE TO 17-K.OSBORN TO DET 6 FOR 14 YARDS (31-K.JOSEPH).,0,2023,14,SHOTGUN,PASS,0,1,0,0,SHORT MIDDLE,0,0,0,,0,0,0,0,0,,20,OPP,0,,0,,0,624,0,0
2023122405,2023-12-24,1,3,55,MIN,DET,1,6,94,0,0,(3:55) (SHOTGUN) 12-N.MULLENS PASS INCOMPLETE SHORT RIGHT TO 3-J.ADDISON.,0,2023,0,SHOTGUN,PASS,0,1,1,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,6,OPP,0,,0,,0,665,0,0
