GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,SeriesFirstDown,NextScore,Description,TeamWin,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards,Week,Duration,WAS,NYJ
2023122406,2023-12-24,1,11,33,NYJ,WAS,2,8,92,0,0,(11:33) (NO HUDDLE) 14-T.SIEMIAN PASS INCOMPLETE SHORT RIGHT.,0,2023,0,NO HUDDLE,PASS,0,1,1,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,8,OPP,0,,0,,0,16,207,0,0
2023122406,2023-12-24,1,11,29,NYJ,WAS,3,8,92,1,0,"(11:29) (SHOTGUN) 14-T.SIEMIAN PASS SHORT LEFT TO 16-J.BROWNLEE FOR 8 YARDS, TOUCHDOWN.",0,2023,8,SHOTGUN,PASS,0,1,0,1,SHORT LEFT,0,0,0,,0,0,0,0,0,,8,OPP,0,,0,,0,16,211,0,0
2023122406,2023-12-24,1,11,26,NYJ,WAS,0,0,85,1,0,"9-G.ZUERLEIN EXTRA POINT IS GOOD, CENTER-42-T.HENNESSY, HOLDER-5-T.MORSTEAD.",0,2023,0,UNDER CENTER,EXTRA POINT,0,0,0,0,,0,0,0,,0,0,0,0,0,,15,OPP,0,,0,,0,16,214,0,0
2023122406,2023-12-24,1,11,26,NYJ,WAS,0,0,100,1,0,TIMEOUT AT 11:26.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,16,214,0,0
2023122406,2023-12-24,1,11,26,WAS,NYJ,0,0,65,1,0,"9-G.ZUERLEIN KICKS 65 YARDS FROM NYJ 35 TO WAS 0. 3-B.PRINGLE MUFFS CATCH, AND RECOVERS AT WAS 3. 3-B.PRINGLE TO WAS 9 FOR 6 YARDS (19-I.CHARLES; 34-J.HARDEE).",0,2023,0,UNDER CENTER,KICK OFF,0,0,0,0,,0,0,0,,0,0,0,0,0,,35,OPP,0,,0,,0,16,214,0,0
2023122406,2023-12-24,1,11,20,WAS,NYJ,1,10,9,0,0,(11:20) 24-A.GIBSON RIGHT TACKLE TO WAS 11 FOR 2 YARDS (56-QU.WILLIAMS; 47-B.HUFF).,0,2023,2,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT TACKLE,9,OWN,0,,0,,0,16,220,0,0
2023122406,2023-12-24,1,10,44,WAS,NYJ,2,8,11,0,0,(10:44) (SHOTGUN) 14-S.HOWELL PASS INCOMPLETE DEEP RIGHT.,0,2023,0,SHOTGUN,PASS,0,1,1,0,DEEP RIGHT,0,0,0,,0,0,0,0,0,,11,OWN,0,,0,,0,16,256,0,0
2023122406,2023-12-24,1,10,37,WAS,NYJ,3,8,11,0,0,(10:37) (SHOTGUN) 14-S.HOWELL PASS INCOMPLETE SHORT LEFT TO 3-B.PRINGLE (11-J.JOHNSON) [11-J.JOHNSON].,0,2023,0,SHOTGUN,PASS,0,1,1,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,11,OWN,0,,0,,0,16,263,0,0
2023122406,2023-12-24,1,10,28,WAS,NYJ,4,8,11,0,0,"(10:28) 5-T.WAY PUNTS 36 YARDS TO WAS 47, CENTER-58-T.ADDINGTON, DOWNED BY WAS-34-C.HOLMES. PENALTY ON WAS-34-C.HOLMES, ILLEGAL TOUCH KICK, 5 YARDS, ENFORCED AT WAS 47.",0,2023,0,PUNT,PUNT,0,0,0,0,,0,0,0,,0,0,1,0,0,,11,OWN,1,WAS,0,ILLEGAL TOUCH KICK,5,16,272,0,0
2023122406,2023-12-24,1,10,18,NYJ,WAS,1,10,58,0,0,(10:18) (SHOTGUN) 14-T.SIEMIAN PASS SHORT LEFT TO 17-G.WILSON TO WAS 36 FOR 6 YARDS (98-P.MATHIS).,0,2023,6,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,42,OPP,0,,0,,0,16,282,0,0
2023122406,2023-12-24,1,10,18,NYJ,WAS,0,0,100,1,0,TIMEOUT AT 10:18.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,16,282,0,0
2023122406,2023-12-24,1,9,44,NYJ,WAS,2,4,64,1,0,"(9:44) 20-BRE.HALL LEFT TACKLE FOR 36 YARDS, TOUCHDOWN.",0,2023,36,UNDER CENTER,RUSH,1,0,0,1,,0,0,0,,0,0,0,0,0,LEFT TACKLE,36,OPP,0,,0,,0,16,316,0,0
2023122406,2023-12-24,1,9,37,WAS,NYJ,1,10,25,1,0,(9:37) (SHOTGUN) 14-S.HOWELL PASS SHORT RIGHT TO 4-C.SAMUEL TO WAS 41 FOR 16 YARDS (1-A.GARDNER).,0,2023,16,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,25,OWN,0,,0,,0,16,323,0,0
2023122406,2023-12-24,1,9,37,WAS,NYJ,0,0,65,1,0,"9-G.ZUERLEIN KICKS 65 YARDS FROM NYJ 35 TO END ZONE, TOUCHBACK.",0,2023,0,UNDER CENTER,KICK OFF,0,0,0,0,,0,0,0,,0,0,0,0,0,,35,OPP,0,,0,,0,16,323,0,0
2023122406,2023-12-24,1,9,37,NYJ,WAS,0,0,100,1,0,TIMEOUT AT 09:37.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,16,323,0,0
2023122406,2023-12-24,1,9,37,NYJ,WAS,0,0,85,1,0,"9-G.ZUERLEIN EXTRA POINT IS GOOD, CENTER-42-T.HENNESSY, HOLDER-5-T.MORSTEAD.",0,2023,0,UNDER CENTER,EXTRA POINT,0,0,0,0,,0,0,0,,0,0,0,0,0,,15,OPP,0,,0,,0,16,323,0,0
2023122406,2023-12-24,1,9,0,WAS,NYJ,1,10,41,0,0,(9:00) 23-C.RODRIGUEZ RIGHT TACKLE TO WAS 44 FOR 3 YARDS (95-Q.WILLIAMS). NYJ-11-J.JOHNSON WAS INJURED DURING THE PLAY.,0,2023,3,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT TACKLE,41,OWN,0,,0,,0,16,360,0,0
2023122406,2023-12-24,1,8,42,WAS,NYJ,0,0,100,1,0,TIMEOUT AT 08:42.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,16,378,0,0
2023122406,2023-12-24,1,8,26,WAS,NYJ,2,7,44,1,0,(8:26) (SHOTGUN) 23-C.RODRIGUEZ RIGHT END PUSHED OB AT NYJ 45 FOR 11 YARDS (99-W.MCDONALD; 22-T.ADAMS).,0,2023,11,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT END,44,OWN,0,,0,,0,16,394,0,0
2023122406,2023-12-24,1,7,51,WAS,NYJ,1,10,55,0,0,(7:51) 14-S.HOWELL PASS INCOMPLETE SHORT LEFT TO 87-J.BATES.,0,2023,0,UNDER CENTER,PASS,0,1,1,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,45,OPP,0,,0,,0,16,429,0,0
2023122406,2023-12-24,1,7,46,WAS,NYJ,2,10,55,0,0,(7:46) (SHOTGUN) 14-S.HOWELL PASS INCOMPLETE DEEP RIGHT TO 3-B.PRINGLE.,0,2023,0,SHOTGUN,PASS,0,1,1,0,DEEP RIGHT,0,0,0,,0,0,0,0,0,,45,OPP,0,,0,,0,16,434,0,0
2023122406,2023-12-24,1,7,40,WAS,NYJ,3,10,55,0,0,(7:40) (SHOTGUN) 14-S.HOWELL PASS INCOMPLETE SHORT RIGHT TO 4-C.SAMUEL (47-B.HUFF).,0,2023,0,SHOTGUN,PASS,0,1,1,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,45,OPP,0,,0,,0,16,440,0,0
2023122406,2023-12-24,1,7,36,WAS,NYJ,4,10,55,0,0,"(7:36) 5-T.WAY PUNTS 34 YARDS TO NYJ 11, CENTER-58-T.ADDINGTON, FAIR CATCH BY 82-X.GIPSON.",0,2023,0,PUNT,PUNT,0,0,0,0,,0,0,0,,0,0,0,0,0,,45,OPP,0,,0,,0,16,444,0,0
2023122406,2023-12-24,1,7,31,NYJ,WAS,1,10,11,0,0,(7:31) 20-BRE.HALL RIGHT TACKLE TO NYJ 19 FOR 8 YARDS (35-P.BUTLER; 91-J.RIDGEWAY).,0,2023,8,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT TACKLE,11,OWN,0,,0,,0,16,449,0,0
2023122406,2023-12-24,1,6,46,NYJ,WAS,2,2,19,1,0,"(6:46) 20-BRE.HALL UP THE MIDDLE TO NYJ 22 FOR 3 YARDS (57-C.BARTON, 94-D.PAYNE).",0,2023,3,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,CENTER,19,OWN,0,,0,,0,16,494,0,0
2023122406,2023-12-24,1,6,11,NYJ,WAS,1,10,22,1,0,(6:11) 14-T.SIEMIAN PASS SHORT LEFT TO 83-T.CONKLIN TO NYJ 32 FOR 10 YARDS (51-D.MAYO).,0,2023,10,UNDER CENTER,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,22,OWN,0,,0,,0,16,529,0,0
