GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,SeriesFirstDown,NextScore,Description,TeamWin,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards,Duration,IND,ATL
2023122402,2023-12-24,1,9,24,IND,ATL,0,0,85,1,0,"7-M.GAY EXTRA POINT IS GOOD, CENTER-46-L.RHODES, HOLDER-8-R.SANCHEZ.",0,2023,0,UNDER CENTER,EXTRA POINT,0,0,0,0,,0,0,0,,0,0,0,0,0,,15,OPP,0,,0,,0,336,0,0
2023122402,2023-12-24,1,9,24,ATL,IND,0,0,65,1,0,"7-M.GAY KICKS 65 YARDS FROM IND 35 TO END ZONE, TOUCHBACK.",0,2023,0,UNDER CENTER,KICK OFF,0,0,0,0,,0,0,0,,0,0,0,0,0,,35,OPP,0,,0,,0,336,0,0
2023122402,2023-12-24,1,9,24,ATL,IND,1,10,25,0,0,(9:24) (SHOTGUN) 4-T.HEINICKE PASS SHORT MIDDLE TO 7-B.ROBINSON TO ATL 29 FOR 4 YARDS (44-Z.FRANKLIN).,0,2023,4,SHOTGUN,PASS,0,1,0,0,SHORT MIDDLE,0,0,0,,0,0,0,0,0,,25,OWN,0,,0,,0,336,0,0
2023122402,2023-12-24,1,9,24,ATL,IND,0,0,100,1,0,TIMEOUT AT 09:24.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,336,0,0
2023122402,2023-12-24,1,9,1,ATL,IND,2,6,29,0,0,"(9:01) (NO HUDDLE, SHOTGUN) 4-T.HEINICKE PASS INCOMPLETE SHORT LEFT TO 5-D.LONDON (40-J.JONES).",0,2023,0,NO HUDDLE SHOTGUN,PASS,0,1,1,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,29,OWN,0,,0,,0,359,0,0
2023122402,2023-12-24,1,8,57,ATL,IND,3,6,29,1,0,(8:57) (SHOTGUN) 4-T.HEINICKE PASS SHORT RIGHT TO 16-S.MILLER TO ATL 44 FOR 15 YARDS (29-J.BRENTS).,0,2023,15,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,29,OWN,0,,0,,0,363,0,0
2023122402,2023-12-24,1,8,14,ATL,IND,1,10,44,1,0,(8:14) (SHOTGUN) 7-B.ROBINSON LEFT END PUSHED OB AT IND 24 FOR 32 YARDS (25-R.THOMAS).,0,2023,32,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT END,44,OWN,0,,0,,0,406,0,0
2023122402,2023-12-24,1,7,46,ATL,IND,1,10,76,1,0,"(7:46) (NO HUDDLE, SHOTGUN) 4-T.HEINICKE PASS DEEP LEFT TO 8-K.PITTS FOR 24 YARDS, TOUCHDOWN.",0,2023,24,NO HUDDLE SHOTGUN,PASS,0,1,0,1,DEEP LEFT,0,0,0,,0,0,0,0,0,,24,OPP,0,,0,,0,434,0,0
2023122402,2023-12-24,1,7,42,IND,ATL,0,0,65,1,0,"13-B.PINION KICKS 65 YARDS FROM ATL 35 TO END ZONE, TOUCHBACK.",0,2023,0,UNDER CENTER,KICK OFF,0,0,0,0,,0,0,0,,0,0,0,0,0,,35,OPP,0,,0,,0,438,0,0
2023122402,2023-12-24,1,7,42,ATL,IND,0,0,85,1,0,"6-Y.KOO EXTRA POINT IS GOOD, CENTER-49-L.MCCULLOUGH, HOLDER-13-B.PINION.",0,2023,0,UNDER CENTER,EXTRA POINT,0,0,0,0,,0,0,0,,0,0,0,0,0,,15,OPP,0,,0,,0,438,0,0
