GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,SeriesFirstDown,NextScore,Description,TeamWin,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards,Week,Duration,NE,DEN
2023122411,2023-12-24,1,15,0,NE,DEN,0,0,65,1,0,"16-W.LUTZ KICKS 65 YARDS FROM DEN 35 TO END ZONE, TOUCHBACK.",0,2023,0,UNDER CENTER,KICK OFF,0,0,0,0,,0,0,0,,0,0,0,0,0,,35,OPP,0,,0,,0,16,0,0,0
2023122411,2023-12-24,1,15,0,NE,DEN,1,10,25,0,0,"(15:00) 4-B.ZAPPE SACKED AT NE 15 FOR -10 YARDS (93-D.JONES). FUMBLES (93-D.JONES) [93-D.JONES], RECOVERED BY DEN-93-D.JONES AT NE 9. 93-D.JONES TO NE 6 FOR 3 YARDS (86-P.BROWN).",0,2023,-10,UNDER CENTER,SACK,0,0,0,0,,1,0,0,,0,1,0,0,0,,25,OWN,0,,0,,0,16,0,0,0
2023122411,2023-12-24,1,14,53,DEN,NE,1,6,94,0,0,(14:53) 33-J.WILLIAMS RIGHT TACKLE TO NE 4 FOR 2 YARDS (91-D.WISE; 90-C.BARMORE).,0,2023,2,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT TACKLE,6,OPP,0,,0,,0,16,7,0,0
2023122411,2023-12-24,1,14,10,DEN,NE,2,4,96,0,0,(14:10) 75-Q.BAILEY REPORTED IN AS ELIGIBLE.  33-J.WILLIAMS UP THE MIDDLE TO NE 2 FOR 2 YARDS (99-K.WHITE; 90-C.BARMORE).,0,2023,2,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,CENTER,4,OPP,0,,0,,0,16,50,0,0
2023122411,2023-12-24,1,13,29,DEN,NE,3,2,98,0,0,"(13:29) 3-R.WILSON PASS SHORT RIGHT INTENDED FOR 82-A.TRAUTMAN INTERCEPTED BY 3-M.WILSON [48-JA.TAVAI] AT NE -6. TOUCHBACK. THE REPLAY OFFICIAL REVIEWED THE INTERCEPTION RULING, AND THE PLAY WAS REVERSED. 3-R.WILSON PASS INCOMPLETE SHORT RIGHT TO 82-A.TRAUTMAN [48-JA.TAVAI].",0,2023,0,UNDER CENTER,PASS,0,1,1,0,SHORT RIGHT,0,0,0,,1,0,0,0,0,,2,OPP,0,,0,,0,16,91,0,0
2023122411,2023-12-24,1,13,23,DEN,NE,4,2,98,0,0,(13:23) (SHOTGUN) 33-J.WILLIAMS RIGHT GUARD TO NE 1 FOR 1 YARD (33-A.JENNINGS).,0,2023,1,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT GUARD,2,OPP,0,,0,,0,16,97,0,0
2023122411,2023-12-24,1,13,18,DEN,NE,0,0,100,1,0,TIMEOUT AT 13:18.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,16,102,0,0
2023122411,2023-12-24,1,13,18,NE,DEN,1,10,2,0,0,(13:18) 15-E.ELLIOTT UP THE MIDDLE TO NE 5 FOR 3 YARDS (93-D.JONES; 99-Z.ALLEN).,0,2023,3,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,CENTER,2,OWN,0,,0,,0,16,102,0,0
2023122411,2023-12-24,1,12,43,NE,DEN,2,7,5,0,0,(12:43) 15-E.ELLIOTT UP THE MIDDLE TO NE 5 FOR NO GAIN (49-A.SINGLETON).,0,2023,0,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,CENTER,5,OWN,0,,0,,0,16,137,0,0
2023122411,2023-12-24,1,12,0,NE,DEN,3,7,5,0,0,(12:00) (SHOTGUN) 4-B.ZAPPE PASS INCOMPLETE SHORT RIGHT TO 81-D.DOUGLAS.,0,2023,0,SHOTGUN,PASS,0,1,1,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,5,OWN,0,,0,,0,16,180,0,0
