GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,SeriesFirstDown,NextScore,Description,TeamWin,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards,Week,Duration,JAX,TB
2023122408,2023-12-24,1,15,0,TB,JAX,0,0,65,1,0,"10-B.MCMANUS KICKS 65 YARDS FROM JAX 35 TO END ZONE, TOUCHBACK.",0,2023,0,UNDER CENTER,KICK OFF,0,0,0,0,,0,0,0,,0,0,0,0,0,,35,OPP,0,,0,,0,16,0,0,0
2023122408,2023-12-24,1,15,0,TB,JAX,1,10,25,0,0,(15:00) (SHOTGUN) 6-B.MAYFIELD PASS SHORT LEFT TO 10-T.PALMER TO TB 33 FOR 8 YARDS (23-F.OLUOKUN).,0,2023,8,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,25,OWN,0,,0,,0,16,0,0,0
2023122408,2023-12-24,1,14,27,TB,JAX,2,2,33,0,0,(14:27) (SHOTGUN) 6-B.MAYFIELD SACKED AT TB 28 FOR -5 YARDS (95-R.ROBERTSON-HARRIS).,0,2023,-5,SHOTGUN,SACK,0,0,0,0,,1,0,0,,0,0,0,0,0,,33,OWN,0,,0,,0,16,33,0,0
2023122408,2023-12-24,1,13,45,TB,JAX,3,7,28,1,0,(13:45) (SHOTGUN) 6-B.MAYFIELD PASS SHORT MIDDLE TO 10-T.PALMER PUSHED OB AT TB 46 FOR 18 YARDS (5-A.CISCO).,0,2023,18,SHOTGUN,PASS,0,1,0,0,SHORT MIDDLE,0,0,0,,0,0,0,0,0,,28,OWN,0,,0,,0,16,75,0,0
2023122408,2023-12-24,1,13,8,TB,JAX,1,10,46,0,0,(13:08) (SHOTGUN) 1-R.WHITE RIGHT GUARD TO 50 FOR 4 YARDS (99-J.LEDBETTER; 32-TY.CAMPBELL).,0,2023,4,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT GUARD,46,OWN,0,,0,,0,16,112,0,0
2023122408,2023-12-24,1,12,30,TB,JAX,2,6,100,0,0,(12:30) 14-C.GODWIN LEFT END PUSHED OB AT JAX 49 FOR 1 YARD (32-TY.CAMPBELL).,0,2023,1,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT END,0,OPP,0,,0,,0,16,150,0,0
2023122408,2023-12-24,1,11,53,TB,JAX,3,5,51,1,0,(11:53) (SHOTGUN) 6-B.MAYFIELD PASS SHORT RIGHT TO 1-R.WHITE TO JAX 44 FOR 5 YARDS (37-T.HERNDON; 23-F.OLUOKUN).,0,2023,5,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,49,OPP,0,,0,,0,16,187,0,0
2023122408,2023-12-24,1,11,28,TB,JAX,1,10,56,0,0,"(11:28) (NO HUDDLE, SHOTGUN) 1-R.WHITE UP THE MIDDLE TO JAX 43 FOR 1 YARD (23-F.OLUOKUN; 45-K.CHAISSON).",0,2023,1,NO HUDDLE SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,CENTER,44,OPP,0,,0,,0,16,212,0,0
2023122408,2023-12-24,1,10,47,TB,JAX,2,9,57,0,0,(10:47) (SHOTGUN) 1-R.WHITE UP THE MIDDLE TO JAX 41 FOR 2 YARDS (93-T.LACY).,0,2023,2,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,CENTER,43,OPP,0,,0,,0,16,253,0,0
2023122408,2023-12-24,1,10,11,TB,JAX,3,7,59,1,0,(10:11) (SHOTGUN) 6-B.MAYFIELD PASS DEEP RIGHT TO 14-C.GODWIN TO JAX 19 FOR 22 YARDS (37-T.HERNDON).,0,2023,22,SHOTGUN,PASS,0,1,0,0,DEEP RIGHT,0,0,0,,0,0,0,0,0,,41,OPP,0,,0,,0,16,289,0,0
2023122408,2023-12-24,1,9,28,TB,JAX,1,10,81,1,0,(9:28) (SHOTGUN) 1-R.WHITE RIGHT TACKLE TO JAX 8 FOR 11 YARDS (2-R.JENKINS).,0,2023,11,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT TACKLE,19,OPP,0,,0,,0,16,332,0,0
2023122408,2023-12-24,1,8,44,TB,JAX,1,8,92,0,0,(8:44) (SHOTGUN) 1-R.WHITE UP THE MIDDLE TO JAX 12 FOR -4 YARDS (52-D.HAMILTON).,0,2023,-4,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,CENTER,8,OPP,0,,0,,0,16,376,0,0
2023122408,2023-12-24,1,8,5,TB,JAX,2,12,88,0,0,(8:05) (SHOTGUN) 6-B.MAYFIELD PASS SHORT RIGHT TO 1-R.WHITE PUSHED OB AT JAX 6 FOR 6 YARDS (23-F.OLUOKUN).,0,2023,6,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,12,OPP,0,,0,,0,16,415,0,0
