GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,SeriesFirstDown,NextScore,Description,TeamWin,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards,Week,Duration,TEN,SEA
2023122407,2023-12-24,2,1,5,SEA,TEN,2,10,61,0,0,(1:05) (SHOTGUN) 7-G.SMITH PASS INCOMPLETE SHORT RIGHT TO 26-Z.CHARBONNET.,0,2023,0,SHOTGUN,PASS,0,1,1,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,39,OPP,0,,0,,0,16,1735,0,0
2023122407,2023-12-24,2,1,0,SEA,TEN,3,10,61,0,0,(1:00) (SHOTGUN) 7-G.SMITH PASS SHORT LEFT TO 26-Z.CHARBONNET PUSHED OB AT TEN 43 FOR -4 YARDS (2-A.AL-SHAAIR).,0,2023,-4,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,39,OPP,0,,0,,0,16,1740,0,0
2023122407,2023-12-24,2,0,54,SEA,TEN,4,19,52,0,0,"(:54) 4-M.DICKSON PUNTS 42 YARDS TO TEN 6, CENTER-41-C.STOLL, FAIR CATCH BY 12-M.KINSEY.",0,2023,0,PUNT,PUNT,0,0,0,0,,0,0,0,,0,0,0,0,0,,48,OPP,0,,0,,0,16,1746,0,0
2023122407,2023-12-24,2,0,48,TEN,SEA,0,0,100,1,0,TIMEOUT AT 00:48.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,16,1752,0,0
2023122407,2023-12-24,2,0,48,TEN,SEA,1,10,6,0,0,(:48) (SHOTGUN) 17-R.TANNEHILL PASS SHORT RIGHT TO 10-D.HOPKINS PUSHED OB AT TEN 13 FOR 7 YARDS (30-M.JACKSON).,0,2023,7,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,6,OWN,0,,0,,0,16,1752,0,0
2023122407,2023-12-24,2,0,44,TEN,SEA,2,3,13,1,0,(:44) (SHOTGUN) 17-R.TANNEHILL SCRAMBLES RIGHT END TO TEN 27 FOR 14 YARDS (8-C.BRYANT).,0,2023,14,SHOTGUN,SCRAMBLE,1,0,0,0,,0,0,0,,0,0,0,0,0,,13,OWN,0,,0,,0,16,1756,0,0
2023122407,2023-12-24,2,0,35,TEN,SEA,0,0,100,1,0,TIMEOUT #2 BY TEN AT 00:35.,0,2023,0,UNDER CENTER,TIMEOUT,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,16,1765,0,0
2023122407,2023-12-24,2,0,35,TEN,SEA,1,10,27,0,0,(:35) (SHOTGUN) 17-R.TANNEHILL PASS SHORT LEFT TO 85-C.OKONKWO TO TEN 29 FOR 2 YARDS (23-A.BURNS).,0,2023,2,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,27,OWN,0,,0,,0,16,1765,0,0
2023122407,2023-12-24,2,0,30,TEN,SEA,0,0,100,1,0,TIMEOUT #3 BY TEN AT 00:30.,0,2023,0,UNDER CENTER,TIMEOUT,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,16,1770,0,0
2023122407,2023-12-24,2,0,30,TEN,SEA,2,8,29,0,0,(:30) (SHOTGUN) 17-R.TANNEHILL PASS SHORT MIDDLE TO 85-C.OKONKWO TO TEN 34 FOR 5 YARDS (54-B.WAGNER) [53-B.MAFE].,0,2023,5,SHOTGUN,PASS,0,1,0,0,SHORT MIDDLE,0,0,0,,0,0,0,0,0,,29,OWN,0,,0,,0,16,1770,0,0
