GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,SeriesFirstDown,NextScore,Description,TeamWin,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards,Week,Duration,CHI,ARI
2023122409,2023-12-24,3,1,59,CHI,ARI,2,6,69,0,0,(1:59) (SHOTGUN) 1-J.FIELDS PASS INCOMPLETE SHORT RIGHT.,0,2023,0,SHOTGUN,PASS,0,1,1,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,31,OPP,0,,0,,0,16,2581,0,0
2023122409,2023-12-24,3,1,51,CHI,ARI,3,6,69,0,0,(1:51) (SHOTGUN) 1-J.FIELDS PASS SHORT LEFT TO 23-R.JOHNSON TO ARI 31 FOR NO GAIN (18-B.OJULARI).,0,2023,0,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,31,OPP,0,,0,,0,16,2589,0,0
2023122409,2023-12-24,3,1,8,CHI,ARI,4,6,69,0,0,"(1:08) 8-C.SANTOS 49 YARD FIELD GOAL IS GOOD, CENTER-48-P.SCALES, HOLDER-16-T.GILL.",0,2023,0,FIELD GOAL,FIELD GOAL,0,0,0,0,,0,0,0,,0,0,0,0,0,,31,OPP,0,,0,,0,16,2632,0,0
2023122409,2023-12-24,3,1,4,ARI,CHI,1,10,25,0,0,(1:04) (SHOTGUN) 1-K.MURRAY SACKED AT ARI 17 FOR -8 YARDS (6-K.GORDON).,0,2023,-8,SHOTGUN,SACK,0,0,0,0,,1,0,0,,0,0,0,0,0,,25,OWN,0,,0,,0,16,2636,0,0
2023122409,2023-12-24,3,1,4,ARI,CHI,0,0,65,1,0,"8-C.SANTOS KICKS 65 YARDS FROM CHI 35 TO END ZONE, TOUCHBACK.",0,2023,0,UNDER CENTER,KICK OFF,0,0,0,0,,0,0,0,,0,0,0,0,0,,35,OPP,0,,0,,0,16,2636,0,0
2023122409,2023-12-24,3,1,4,CHI,ARI,0,0,100,1,0,TIMEOUT AT 01:04.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,16,2636,0,0
2023122409,2023-12-24,3,0,21,ARI,CHI,2,18,17,0,0,(:21) (SHOTGUN) 1-K.MURRAY PASS INCOMPLETE DEEP RIGHT TO 83-G.DORTCH (9-J.BRISKER).,0,2023,0,SHOTGUN,PASS,0,1,1,0,DEEP RIGHT,0,0,0,,0,0,0,0,0,,17,OWN,0,,0,,0,16,2679,0,0
2023122409,2023-12-24,3,0,16,ARI,CHI,3,18,17,0,0,(:16) (SHOTGUN) 1-K.MURRAY PASS SHORT MIDDLE TO 85-T.MCBRIDE TO ARI 26 FOR 9 YARDS (4-E.JACKSON).,0,2023,9,SHOTGUN,PASS,0,1,0,0,SHORT MIDDLE,0,0,0,,0,0,0,0,0,,17,OWN,0,,0,,0,16,2684,0,0
2023122409,2023-12-24,3,0,0,ARI,CHI,0,0,100,1,0,END QUARTER 3,0,2023,0,,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,16,2700,0,0
2023122409,2023-12-24,4,15,0,ARI,CHI,4,9,26,0,0,"(15:00) 12-B.GILLIKIN PUNTS 54 YARDS TO CHI 20, CENTER-46-A.BREWER, FAIR CATCH BY 15-T.TAYLOR.",0,2023,0,PUNT,PUNT,0,0,0,0,,0,0,0,,0,0,0,0,0,,26,OWN,0,,0,,0,16,2700,0,0
2023122409,2023-12-24,4,14,53,CHI,ARI,1,10,20,1,0,(14:53) 23-R.JOHNSON LEFT END TO CHI 30 FOR 10 YARDS (36-A.CHACHERE). ARI-93-J.LEDBETTER WAS INJURED DURING THE PLAY. HE IS OUT.,0,2023,10,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT END,20,OWN,0,,0,,0,16,2707,0,0
2023122409,2023-12-24,4,14,36,CHI,ARI,0,0,100,1,0,TIMEOUT AT 14:36.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,16,2724,0,0
2023122409,2023-12-24,4,14,30,CHI,ARI,1,10,30,0,0,(14:30) 1-J.FIELDS PASS INCOMPLETE DEEP LEFT TO 12-V.JONES.,0,2023,0,UNDER CENTER,PASS,0,1,1,0,DEEP LEFT,0,0,0,,0,0,0,0,0,,30,OWN,0,,0,,0,16,2730,0,0
2023122409,2023-12-24,4,14,23,CHI,ARI,2,10,30,0,0,(14:23) 23-R.JOHNSON LEFT END TO CHI 35 FOR 5 YARDS (55-D.STILLS; 92-K.STRONG).,0,2023,5,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT END,30,OWN,0,,0,,0,16,2737,0,0
2023122409,2023-12-24,4,13,44,CHI,ARI,3,5,35,1,0,(13:44) (SHOTGUN) 24-K.HERBERT LEFT GUARD TO CHI 47 FOR 12 YARDS (44-O.PAPPOE).,0,2023,12,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT GUARD,35,OWN,0,,0,,0,16,2776,0,0
2023122409,2023-12-24,4,13,1,CHI,ARI,1,10,47,0,0,(13:01) (SHOTGUN) 1-J.FIELDS LEFT END RAN OB AT ARI 49 FOR 4 YARDS (24-S.THOMAS).,0,2023,4,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT END,47,OWN,0,,0,,0,16,2819,0,0
2023122409,2023-12-24,4,12,17,CHI,ARI,2,6,51,0,0,(12:17) 1-J.FIELDS SCRAMBLES LEFT END TO ARI 48 FOR 1 YARD (24-S.THOMAS).,0,2023,1,UNDER CENTER,SCRAMBLE,1,0,0,0,,0,0,0,,0,0,0,0,0,,49,OPP,0,,0,,0,16,2863,0,0
2023122409,2023-12-24,4,11,22,CHI,ARI,3,10,47,1,0,(11:22) (SHOTGUN) 1-J.FIELDS SCRAMBLES RIGHT END TO ARI 14 FOR 39 YARDS (3-B.BAKER). ARI-51-K.BARNES WAS INJURED DURING THE PLAY.,0,2023,39,SHOTGUN,SCRAMBLE,1,0,0,0,,0,0,0,,0,0,0,0,0,,47,OWN,0,,0,,0,16,2918,0,0
2023122409,2023-12-24,4,11,22,CHI,ARI,0,0,100,1,0,TIMEOUT #1 BY CHI AT 11:22.,0,2023,0,UNDER CENTER,TIMEOUT,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,16,2918,0,0
2023122409,2023-12-24,4,11,22,CHI,ARI,3,5,52,0,0,"(11:22) (SHOTGUN) PENALTY ON CHI-64-N.DAVIS, FALSE START, 5 YARDS, ENFORCED AT ARI 48 - NO PLAY.",0,2023,0,SHOTGUN,NO PLAY,0,0,0,0,,0,0,0,,0,0,1,0,0,,48,OPP,1,CHI,1,FALSE START,5,16,2918,0,0
2023122409,2023-12-24,4,10,30,CHI,ARI,1,10,86,0,0,(10:30) (SHOTGUN) 1-J.FIELDS PASS DEEP LEFT INTENDED FOR 24-K.HERBERT INTERCEPTED BY 34-J.THOMPSON AT ARI -4. TOUCHBACK.,0,2023,0,SHOTGUN,PASS,0,1,0,0,DEEP LEFT,0,0,0,,1,0,0,0,0,,14,OPP,0,,0,,0,16,2970,0,0
