GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,SeriesFirstDown,NextScore,Description,TeamWin,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards,Week,Duration,BAL,SF
2023122502,2023-12-25,1,10,55,BAL,SF,3,5,13,1,0,(10:55) (SHOTGUN) 8-L.JACKSON PASS SHORT LEFT TO 4-Z.FLOWERS TO BAL 20 FOR 7 YARDS (20-A.THOMAS).,0,2023,7,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,13,OWN,0,,0,,0,16,245,0,0
2023122502,2023-12-25,1,10,31,BAL,SF,1,10,20,0,0,"(10:31) (NO HUDDLE, SHOTGUN) 8-L.JACKSON PASS INCOMPLETE SHORT LEFT. PENALTY ON BAL-8-L.JACKSON, INTENTIONAL GROUNDING, 20 YARDS, ENFORCED IN END ZONE, SAFETY.",0,2023,0,NO HUDDLE SHOTGUN,PASS,0,1,1,0,SHORT LEFT,0,0,0,,0,0,1,0,0,,20,OWN,1,BAL,0,INTENTIONAL GROUNDING,20,16,269,0,0
2023122502,2023-12-25,1,10,24,SF,BAL,0,0,80,1,0,"11-J.STOUT KICKS 60 YARDS FROM BAL 20 TO SF 20. 10-R.BELL MUFFS CATCH, BALL OUT OF BOUNDS AT SF 21.",0,2023,0,UNDER CENTER,KICK OFF,0,0,0,0,,0,0,0,,0,0,0,0,0,,20,OPP,0,,0,,0,16,276,0,0
2023122502,2023-12-25,1,10,23,SF,BAL,1,10,21,1,0,"(10:23) (SHOTGUN) 23-C.MCCAFFREY LEFT TACKLE TO SF 35 FOR 14 YARDS (32-M.WILLIAMS, 0-R.SMITH).",0,2023,14,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT TACKLE,21,OWN,0,,0,,0,16,277,0,0
2023122502,2023-12-25,1,9,42,SF,BAL,1,10,35,0,0,(9:42) 23-C.MCCAFFREY LEFT TACKLE TO SF 40 FOR 5 YARDS (0-R.SMITH).,0,2023,5,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT TACKLE,35,OWN,0,,0,,0,16,318,0,0
2023122502,2023-12-25,1,9,0,SF,BAL,2,5,40,1,0,(9:00) 13-B.PURDY PASS DEEP LEFT TO 11-B.AIYUK RAN OB AT BAL 42 FOR 18 YARDS [97-B.URBAN].,0,2023,18,UNDER CENTER,PASS,0,1,0,0,DEEP LEFT,0,0,0,,0,0,0,0,0,,40,OWN,0,,0,,0,16,360,0,0
2023122502,2023-12-25,1,8,27,SF,BAL,1,10,58,0,0,(8:27) (SHOTGUN) 13-B.PURDY PASS INCOMPLETE DEEP LEFT TO 85-G.KITTLE.,0,2023,0,SHOTGUN,PASS,0,1,1,0,DEEP LEFT,0,0,0,,0,0,0,0,0,,42,OPP,0,,0,,0,16,393,0,0
2023122502,2023-12-25,1,8,21,SF,BAL,2,10,58,0,0,(8:21) 23-C.MCCAFFREY LEFT TACKLE TO BAL 38 FOR 4 YARDS (92-J.MADUBUIKE).,0,2023,4,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT TACKLE,42,OPP,0,,0,,0,16,399,0,0
2023122502,2023-12-25,1,7,39,SF,BAL,3,6,62,0,0,(7:39) (SHOTGUN) 23-C.MCCAFFREY RIGHT GUARD TO BAL 33 FOR 5 YARDS (98-T.JONES).,0,2023,5,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT GUARD,38,OPP,0,,0,,0,16,441,0,0
2023122502,2023-12-25,1,6,57,SF,BAL,4,1,67,0,0,"(6:57) 13-B.PURDY SACKED AT BAL 46 FOR -13 YARDS (44-M.HUMPHREY). PENALTY ON BAL-28-R.DARBY, DEFENSIVE HOLDING, 5 YARDS, ENFORCED AT BAL 33 - NO PLAY.",0,2023,-13,UNDER CENTER,SACK,0,0,0,0,,1,0,0,,0,0,1,0,0,,33,OPP,1,BAL,1,DEFENSIVE HOLDING,5,16,483,0,0
