GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,SeriesFirstDown,NextScore,Description,TeamWin,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards,Duration,KC,LV
2023122500,2023-12-25,1,10,42,KC,LV,3,8,56,0,0,"(10:42) (SHOTGUN) 15-P.MAHOMES SACKED AT KC 47 FOR -9 YARDS (51-M.KOONCE). PENALTY ON KC-11-M.VALDES-SCANTLING, OFFENSIVE OFFSIDE, DECLINED.",0,2023,-9,SHOTGUN,SACK,0,0,0,0,,1,0,0,,0,0,1,0,0,,44,OPP,0,KC,0,OFFENSIVE OFFSIDE,0,258,0,0
2023122500,2023-12-25,1,10,13,KC,LV,4,17,47,0,0,"(10:13) 5-T.TOWNSEND PUNTS 46 YARDS TO LV 7, CENTER-41-J.WINCHESTER, DOWNED BY KC-2-J.WILLIAMS.",0,2023,0,PUNT,PUNT,0,0,0,0,,0,0,0,,0,0,0,0,0,,47,OWN,0,,0,,0,287,0,0
2023122500,2023-12-25,1,10,2,LV,KC,1,10,7,0,0,"(10:02) 35-Z.WHITE RIGHT GUARD TO LV 12 FOR 5 YARDS (20-J.REID, 54-L.CHENAL).",0,2023,5,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT GUARD,7,OWN,0,,0,,0,298,0,0
2023122500,2023-12-25,1,10,2,KC,LV,0,0,100,1,0,TIMEOUT AT 10:02.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,298,0,0
2023122500,2023-12-25,1,9,30,LV,KC,2,5,12,1,0,(9:30) 35-Z.WHITE RIGHT END TO LV 18 FOR 6 YARDS (22-T.MCDUFFIE).,0,2023,6,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT END,12,OWN,0,,0,,0,330,0,0
2023122500,2023-12-25,1,8,44,LV,KC,1,10,18,0,0,"(8:44) 4-A.O'CONNELL PASS SHORT RIGHT TO 85-C.FOTHERINGHAM TO LV 24 FOR 6 YARDS (98-T.WHARTON, 69-M.PENNEL).",0,2023,6,UNDER CENTER,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,18,OWN,0,,0,,0,376,0,0
2023122500,2023-12-25,1,8,2,LV,KC,2,4,24,1,0,(8:02) (SHOTGUN) 4-A.O'CONNELL PASS SHORT LEFT TO 17-D.ADAMS TO LV 28 FOR 4 YARDS (32-N.BOLTON).,0,2023,4,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,24,OWN,0,,0,,0,418,0,0
2023122500,2023-12-25,1,7,17,LV,KC,1,10,28,0,0,(7:17) 4-A.O'CONNELL PASS SHORT RIGHT TO 81-A.HOOPER PUSHED OB AT LV 37 FOR 9 YARDS (27-C.CONNER) [95-C.JONES].,0,2023,9,UNDER CENTER,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,28,OWN,0,,0,,0,463,0,0
2023122500,2023-12-25,1,6,39,LV,KC,2,1,37,1,0,(6:39) 11-T.TUCKER RIGHT END TO LV 42 FOR 5 YARDS (50-W.GAY).,0,2023,5,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT END,37,OWN,0,,0,,0,501,0,0
2023122500,2023-12-25,1,5,57,LV,KC,1,10,42,1,0,(5:57) 4-A.O'CONNELL PASS SHORT LEFT TO 16-J.MEYERS RAN OB AT KC 45 FOR 13 YARDS (20-J.REID).,0,2023,13,UNDER CENTER,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,42,OWN,0,,0,,0,543,0,0
2023122500,2023-12-25,1,5,35,LV,KC,1,10,55,0,0,"(5:35) (NO HUDDLE, SHOTGUN) 4-A.O'CONNELL PASS INCOMPLETE SHORT RIGHT TO 16-J.MEYERS [95-C.JONES].",0,2023,0,NO HUDDLE SHOTGUN,PASS,0,1,1,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,45,OPP,0,,0,,0,565,0,0
2023122500,2023-12-25,1,5,29,LV,KC,2,10,55,0,0,(5:29) (SHOTGUN) 4-A.O'CONNELL PASS SHORT MIDDLE TO 16-J.MEYERS TO KC 37 FOR 8 YARDS (27-C.CONNER).,0,2023,8,SHOTGUN,PASS,0,1,0,0,SHORT MIDDLE,0,0,0,,0,0,0,0,0,,45,OPP,0,,0,,0,571,0,0
2023122500,2023-12-25,1,4,55,LV,KC,3,2,63,1,0,(4:55) (SHOTGUN) 35-Z.WHITE RIGHT END TO KC 33 FOR 4 YARDS (32-N.BOLTON; 98-T.WHARTON).,0,2023,4,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT END,37,OPP,0,,0,,0,605,0,0
2023122500,2023-12-25,1,4,15,LV,KC,1,10,67,1,0,(4:15) 4-A.O'CONNELL PASS SHORT RIGHT TO 16-J.MEYERS TO KC 12 FOR 21 YARDS (23-D.TRANQUILL).,0,2023,21,UNDER CENTER,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,33,OPP,0,,0,,0,645,0,0
2023122500,2023-12-25,1,3,43,LV,KC,1,10,88,0,0,"(3:43) (NO HUDDLE, SHOTGUN) 4-A.O'CONNELL PASS SHORT LEFT TO 11-T.TUCKER TO KC 16 FOR -4 YARDS (27-C.CONNER).",0,2023,-4,NO HUDDLE SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,12,OPP,0,,0,,0,677,0,0
2023122500,2023-12-25,1,3,1,LV,KC,2,14,84,0,0,(3:01) (SHOTGUN) 4-A.O'CONNELL PASS SHORT RIGHT TO 81-A.HOOPER TO KC 12 FOR 4 YARDS (32-N.BOLTON).,0,2023,4,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,16,OPP,0,,0,,0,719,0,0
2023122500,2023-12-25,1,2,25,LV,KC,3,10,88,0,0,"(2:25) (SHOTGUN) PENALTY ON KC, DEFENSIVE TOO MANY MEN ON FIELD, 5 YARDS, ENFORCED AT KC 12 - NO PLAY.",0,2023,0,SHOTGUN,NO PLAY,0,0,0,0,,0,0,0,,0,0,1,0,0,,12,OPP,1,KC,1,DEFENSIVE TOO MANY MEN ON FIELD,5,755,0,0
2023122500,2023-12-25,1,2,2,LV,KC,3,5,93,0,0,(2:02) (SHOTGUN) 4-A.O'CONNELL PASS SHORT RIGHT TO 22-A.ABDULLAH TO KC 6 FOR 1 YARD (38-L.SNEED).,0,2023,1,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,7,OPP,0,,0,,0,778,0,0
2023122500,2023-12-25,1,1,21,LV,KC,4,4,94,0,0,"(1:21) 2-D.CARLSON 24 YARD FIELD GOAL IS GOOD, CENTER-50-J.BOBENMOYER, HOLDER-6-A.COLE.",0,2023,0,FIELD GOAL,FIELD GOAL,0,0,0,0,,0,0,0,,0,0,0,0,0,,6,OPP,0,,0,,0,819,0,0
