GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,SeriesFirstDown,NextScore,Description,TeamWin,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards,Week,Duration,LAC,BUF
2023122301,2023-12-23,1,15,0,BUF,LAC,0,0,65,1,0,"11-C.DICKER KICKS 65 YARDS FROM LAC 35 TO END ZONE, TOUCHBACK.",0,2023,0,UNDER CENTER,KICK OFF,0,0,0,0,,0,0,0,,0,0,0,0,0,,35,OPP,0,,0,,0,16,0,0,0
2023122301,2023-12-23,1,15,0,BUF,LAC,1,10,25,0,0,(15:00) (SHOTGUN) 17-J.ALLEN PASS SHORT RIGHT TO 14-S.DIGGS TO BUF 25 FOR NO GAIN (3-D.JAMES). BUF-14-S.DIGGS WAS INJURED DURING THE PLAY.,0,2023,0,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,25,OWN,0,,0,,0,16,0,0,0
2023122301,2023-12-23,1,14,37,BUF,LAC,2,10,25,1,0,(14:37) (SHOTGUN) 17-J.ALLEN PASS SHORT LEFT TO 10-K.SHAKIR PUSHED OB AT BUF 39 FOR 14 YARDS (26-A.SAMUEL).,0,2023,14,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,25,OWN,0,,0,,0,16,23,0,0
2023122301,2023-12-23,1,14,8,BUF,LAC,1,10,39,0,0,(14:08) (SHOTGUN) 4-J.COOK LEFT END TO BUF 41 FOR 2 YARDS (95-N.WILLIAMS).,0,2023,2,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT END,39,OWN,0,,0,,0,16,52,0,0
2023122301,2023-12-23,1,13,30,BUF,LAC,2,8,41,0,0,(13:30) 17-J.ALLEN PASS INCOMPLETE DEEP LEFT TO 14-S.DIGGS.,0,2023,0,UNDER CENTER,PASS,0,1,1,0,DEEP LEFT,0,0,0,,0,0,0,0,0,,41,OWN,0,,0,,0,16,90,0,0
2023122301,2023-12-23,1,13,24,BUF,LAC,3,8,41,0,0,(13:24) (SHOTGUN) 17-J.ALLEN PASS INCOMPLETE SHORT MIDDLE TO 13-G.DAVIS (37-J.HAWKINS).,0,2023,0,SHOTGUN,PASS,0,1,1,0,SHORT MIDDLE,0,0,0,,0,0,0,0,0,,41,OWN,0,,0,,0,16,96,0,0
2023122301,2023-12-23,1,13,20,BUF,LAC,4,8,41,0,0,"(13:20) 8-S.MARTIN PUNTS 51 YARDS TO LAC 8, CENTER-69-R.FERGUSON, FAIR CATCH BY 12-D.DAVIS.",0,2023,0,PUNT,PUNT,0,0,0,0,,0,0,0,,0,0,0,0,0,,41,OWN,0,,0,,0,16,100,0,0
2023122301,2023-12-23,1,13,12,LAC,BUF,1,10,8,0,0,(13:12) (SHOTGUN) 2-E.STICK PASS SHORT RIGHT TO 30-A.EKELER TO LAC 15 FOR 7 YARDS (20-T.RAPP).,0,2023,7,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,8,OWN,0,,0,,0,16,108,0,0
2023122301,2023-12-23,1,12,37,LAC,BUF,2,3,15,1,0,(12:37) 30-A.EKELER RIGHT TACKLE TO LAC 23 FOR 8 YARDS (20-T.RAPP).,0,2023,8,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT TACKLE,15,OWN,0,,0,,0,16,143,0,0
2023122301,2023-12-23,1,12,6,LAC,BUF,1,10,23,0,0,(12:06) (SHOTGUN) 30-A.EKELER UP THE MIDDLE TO LAC 24 FOR 1 YARD (50-G.ROUSSEAU).,0,2023,1,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,CENTER,23,OWN,0,,0,,0,16,174,0,0
2023122301,2023-12-23,1,11,31,LAC,BUF,2,9,24,1,0,(11:31) (SHOTGUN) 2-E.STICK PASS DEEP RIGHT TO 1-Q.JOHNSTON TO LAC 45 FOR 21 YARDS (20-T.RAPP).,0,2023,21,SHOTGUN,PASS,0,1,0,0,DEEP RIGHT,0,0,0,,0,0,0,0,0,,24,OWN,0,,0,,0,16,209,0,0
2023122301,2023-12-23,1,10,56,LAC,BUF,1,10,45,0,0,"(10:56) 1-Q.JOHNSTON LEFT END TO LAC 46 FOR 1 YARD (43-T.BERNARD, 50-G.ROUSSEAU).",0,2023,1,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT END,45,OWN,0,,0,,0,16,244,0,0
2023122301,2023-12-23,1,10,25,LAC,BUF,2,9,46,0,0,(10:25) (SHOTGUN) 2-E.STICK PASS SHORT RIGHT TO 5-J.PALMER PUSHED OB AT LAC 48 FOR 2 YARDS (21-J.POYER).,0,2023,2,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,46,OWN,0,,0,,0,16,275,0,0
