GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,SeriesFirstDown,NextScore,Description,TeamWin,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards,Week,Duration,LA,NO
2023122100,2023-12-21,1,10,24,LA,NO,1,10,95,0,0,(10:24) 23-K.WILLIAMS LEFT GUARD TO LAR 12 FOR 7 YARDS (27-I.YIADOM).,0,2023,7,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT GUARD,5,OPP,0,,0,,0,16,276,0,0
2023122100,2023-12-21,1,10,24,LA,NO,0,0,100,1,0,TIMEOUT AT 10:24.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,16,276,0,0
2023122100,2023-12-21,1,9,44,LA,NO,2,3,88,1,0,(9:44) (SHOTGUN) 9-M.STAFFORD PASS SHORT LEFT TO 89-T.HIGBEE PUSHED OB AT LAR 34 FOR 22 YARDS (31-J.HOWDEN).,0,2023,22,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,12,OPP,0,,0,,0,16,316,0,0
2023122100,2023-12-21,1,9,5,LA,NO,1,10,66,0,0,(9:05) 23-K.WILLIAMS RIGHT END TO LAR 38 FOR 4 YARDS (99-K.SAUNDERS).,0,2023,4,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT END,34,OPP,0,,0,,0,16,355,0,0
2023122100,2023-12-21,1,8,21,LA,NO,2,6,62,0,0,(8:21) (SHOTGUN) 9-M.STAFFORD PASS INCOMPLETE SHORT MIDDLE TO 10-C.KUPP.,0,2023,0,SHOTGUN,PASS,0,1,1,0,SHORT MIDDLE,0,0,0,,0,0,0,0,0,,38,OPP,0,,0,,0,16,399,0,0
2023122100,2023-12-21,1,8,16,LA,NO,3,6,62,1,0,(8:16) (SHOTGUN) 9-M.STAFFORD PASS SHORT MIDDLE TO 17-P.NACUA PUSHED OB AT NO 45 FOR 17 YARDS (24-J.ABRAM).,0,2023,17,SHOTGUN,PASS,0,1,0,0,SHORT MIDDLE,0,0,0,,0,0,0,0,0,,38,OPP,0,,0,,0,16,404,0,0
2023122100,2023-12-21,1,7,36,LA,NO,1,10,55,0,0,(7:36) (SHOTGUN) 23-K.WILLIAMS UP THE MIDDLE TO NO 40 FOR 5 YARDS (90-B.BRESEE; 54-P.MUSTIPHER).,0,2023,5,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,CENTER,45,OPP,0,,0,,0,16,444,0,0
2023122100,2023-12-21,1,6,57,LA,NO,2,5,60,1,0,(6:57) (SHOTGUN) 9-M.STAFFORD PASS SHORT LEFT TO 15-D.ROBINSON RAN OB AT NO 25 FOR 15 YARDS (29-P.ADEBO).,0,2023,15,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,40,OPP,0,,0,,0,16,483,0,0
2023122100,2023-12-21,1,6,18,LA,NO,1,10,75,1,0,(6:18) (SHOTGUN) 9-M.STAFFORD PASS SHORT RIGHT TO 10-C.KUPP PUSHED OB AT NO 13 FOR 12 YARDS (1-A.TAYLOR).,0,2023,12,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,25,OPP,0,,0,,0,16,522,0,0
2023122100,2023-12-21,1,5,36,LA,NO,1,10,87,0,0,"(5:36) PENALTY ON LAR-87-D.ALLEN, FALSE START, 5 YARDS, ENFORCED AT NO 13 - NO PLAY.",0,2023,0,UNDER CENTER,NO PLAY,0,0,0,0,,0,0,0,,0,0,1,0,0,,13,OPP,1,LAR,1,FALSE START,5,16,564,0,0
2023122100,2023-12-21,1,5,17,LA,NO,1,15,82,0,0,(5:17) 10-C.KUPP RIGHT END TO NO 21 FOR -3 YARDS (20-P.WERNER).,0,2023,-3,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT END,18,OPP,0,,0,,0,16,583,0,0
2023122100,2023-12-21,1,4,38,LA,NO,2,18,79,0,0,"(4:38) (SHOTGUN) 23-K.WILLIAMS RIGHT TACKLE TO NO 11 FOR 10 YARDS (96-C.GRANDERSON, 56-D.DAVIS).",0,2023,10,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT TACKLE,21,OPP,0,,0,,0,16,622,0,0
2023122100,2023-12-21,1,3,57,LA,NO,3,8,89,0,0,"(3:57) (SHOTGUN) 9-M.STAFFORD PASS INCOMPLETE SHORT RIGHT TO 23-K.WILLIAMS. PENALTY ON NO-20-P.WERNER, DEFENSIVE PASS INTERFERENCE, 6 YARDS, ENFORCED AT NO 11 - NO PLAY.",0,2023,0,SHOTGUN,PASS,0,1,1,0,SHORT RIGHT,0,0,0,,0,0,1,0,0,,11,OPP,1,NO,1,DEFENSIVE PASS INTERFERENCE,6,16,663,0,0
2023122100,2023-12-21,1,3,51,LA,NO,1,5,95,0,0,"(3:51) 23-K.WILLIAMS UP THE MIDDLE TO NO 3 FOR 2 YARDS (32-T.MATHIEU, 56-D.DAVIS).",0,2023,2,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,CENTER,5,OPP,0,,0,,0,16,669,0,0
2023122100,2023-12-21,1,3,14,LA,NO,2,3,97,0,0,(3:14) (SHOTGUN) 23-K.WILLIAMS LEFT GUARD TO NO 2 FOR 1 YARD (96-C.GRANDERSON; 99-K.SAUNDERS).,0,2023,1,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT GUARD,3,OPP,0,,0,,0,16,706,0,0
2023122100,2023-12-21,1,2,36,LA,NO,3,2,98,0,0,(2:36) (SHOTGUN) 9-M.STAFFORD PASS INCOMPLETE SHORT RIGHT TO 10-C.KUPP.,0,2023,0,SHOTGUN,PASS,0,1,1,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,2,OPP,0,,0,,0,16,744,0,0
2023122100,2023-12-21,1,2,32,LA,NO,4,2,98,1,0,"(2:32) (SHOTGUN) 9-M.STAFFORD PASS SHORT RIGHT TO 17-P.NACUA FOR 2 YARDS, TOUCHDOWN.",0,2023,2,SHOTGUN,PASS,0,1,0,1,SHORT RIGHT,0,0,0,,0,0,0,0,0,,2,OPP,0,,0,,0,16,748,0,0
