GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,SeriesFirstDown,NextScore,Description,TeamWin,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards,Duration,JAX,NO
2023101900,2023-10-19,1,9,8,NO,JAX,3,4,31,1,0,(9:08) (SHOTGUN) 4-D.CARR PASS SHORT MIDDLE TO 41-A.KAMARA TO NO 36 FOR 5 YARDS (37-T.HERNDON).,0,2023,5,SHOTGUN,PASS,0,1,0,0,SHORT MIDDLE,0,0,0,,0,0,0,0,0,,31,OWN,0,,0,,0,352,0,0
2023101900,2023-10-19,1,8,32,NO,JAX,1,10,36,0,0,(8:32) (SHOTGUN) 7-T.HILL LEFT END PUSHED OB AT NO 42 FOR 6 YARDS (2-R.JENKINS).,0,2023,6,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT END,36,OWN,0,,0,,0,388,0,0
2023101900,2023-10-19,1,7,57,NO,JAX,2,4,42,1,0,(7:57) 4-D.CARR SCRAMBLES RIGHT END PUSHED OB AT JAX 48 FOR 10 YARDS (90-A.BLACKSON).,0,2023,10,UNDER CENTER,SCRAMBLE,1,0,0,0,,0,0,0,,0,0,0,0,0,,42,OWN,0,,0,,0,423,0,0
2023101900,2023-10-19,1,7,17,NO,JAX,1,10,52,0,0,(7:17) 41-A.KAMARA RIGHT END TO JAX 49 FOR -1 YARDS (90-A.BLACKSON).,0,2023,-1,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT END,48,OPP,0,,0,,0,463,0,0
2023101900,2023-10-19,1,6,44,NO,JAX,2,11,51,1,0,(6:44) (SHOTGUN) 4-D.CARR PASS SHORT LEFT TO 12-C.OLAVE PUSHED OB AT JAX 35 FOR 14 YARDS (30-M.BROWN).,0,2023,14,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,49,OPP,0,,0,,0,496,0,0
2023101900,2023-10-19,1,6,10,NO,JAX,1,10,65,0,0,(6:10) 41-A.KAMARA RIGHT TACKLE TO JAX 32 FOR 3 YARDS (95-R.ROBERTSON-HARRIS).,0,2023,3,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT TACKLE,35,OPP,0,,0,,0,530,0,0
2023101900,2023-10-19,1,5,31,NO,JAX,2,7,68,0,0,(5:31) (SHOTGUN) 4-D.CARR PASS INCOMPLETE SHORT MIDDLE TO 12-C.OLAVE (23-F.OLUOKUN).,0,2023,0,SHOTGUN,PASS,0,1,1,0,SHORT MIDDLE,0,0,0,,0,0,0,0,0,,32,OPP,0,,0,,0,569,0,0
2023101900,2023-10-19,1,5,26,NO,JAX,3,7,68,0,0,(5:26) (SHOTGUN) 4-D.CARR PASS INCOMPLETE SHORT RIGHT TO 12-C.OLAVE (37-T.HERNDON) [37-T.HERNDON].,0,2023,0,SHOTGUN,PASS,0,1,1,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,32,OPP,0,,0,,0,574,0,0
2023101900,2023-10-19,1,5,21,NO,JAX,4,7,68,0,0,"(5:21) 19-B.GRUPE 51 YARD FIELD GOAL IS NO GOOD, WIDE RIGHT, CENTER-49-Z.WOOD, HOLDER-39-L.HEDLEY.",0,2023,0,FIELD GOAL,FIELD GOAL,0,0,0,0,,0,0,0,,0,0,0,0,0,,32,OPP,0,,0,,0,579,0,0
2023101900,2023-10-19,1,5,16,NO,JAX,0,0,100,1,0,TIMEOUT AT 05:16.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,584,0,0
