GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,SeriesFirstDown,NextScore,Description,TeamWin,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards,Duration,BAL,DET
2023102200,2023-10-22,1,15,0,BAL,DET,0,0,65,1,0,"3-J.FOX KICKS 65 YARDS FROM DET 35 TO END ZONE, TOUCHBACK.",0,2023,0,UNDER CENTER,KICK OFF,0,0,0,0,,0,0,0,,0,0,0,0,0,,35,OPP,0,,0,,0,0,0,0
2023102200,2023-10-22,1,15,0,BAL,DET,1,10,25,0,0,(15:00) (SHOTGUN) 8-L.JACKSON PASS SHORT RIGHT TO 43-J.HILL PUSHED OB AT BAL 27 FOR 2 YARDS (46-J.CAMPBELL).,0,2023,2,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,25,OWN,0,,0,,0,0,0,0
2023102200,2023-10-22,1,14,26,BAL,DET,2,8,27,1,0,(14:26) (SHOTGUN) 8-L.JACKSON PASS SHORT RIGHT TO 3-O.BECKHAM TO BAL 38 FOR 11 YARDS (31-K.JOSEPH).,0,2023,11,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,27,OWN,0,,0,,0,34,0,0
2023102200,2023-10-22,1,13,46,BAL,DET,1,10,38,1,0,(13:46) (SHOTGUN) 8-L.JACKSON PASS DEEP MIDDLE TO 4-Z.FLOWERS TO DET 16 FOR 46 YARDS (21-T.WALKER).,0,2023,46,SHOTGUN,PASS,0,1,0,0,DEEP MIDDLE,0,0,0,,0,0,0,0,0,,38,OWN,0,,0,,0,74,0,0
2023102200,2023-10-22,1,12,56,BAL,DET,1,10,84,0,0,(12:56) (SHOTGUN) 8-L.JACKSON SCRAMBLES RIGHT END TO DET 12 FOR 4 YARDS (93-J.PASCHAL).,0,2023,4,SHOTGUN,SCRAMBLE,1,0,0,0,,0,0,0,,0,0,0,0,0,,16,OPP,0,,0,,0,124,0,0
2023102200,2023-10-22,1,12,7,BAL,DET,2,6,88,0,0,"(12:07) (SHOTGUN) 35-G.EDWARDS LEFT GUARD TO DET 8 FOR 4 YARDS (96-I.BUGGS, 34-A.ANZALONE).",0,2023,4,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT GUARD,12,OPP,0,,0,,0,173,0,0
2023102200,2023-10-22,1,11,24,BAL,DET,3,2,92,0,0,(11:24) (SHOTGUN) 8-L.JACKSON SCRAMBLES LEFT END TO DET 7 FOR 1 YARD (21-T.WALKER).,0,2023,1,SHOTGUN,SCRAMBLE,1,0,0,0,,0,0,0,,0,0,0,0,0,,8,OPP,0,,0,,0,216,0,0
2023102200,2023-10-22,1,10,42,BAL,DET,4,1,93,1,0,"(10:42) 8-L.JACKSON LEFT END FOR 7 YARDS, TOUCHDOWN.",0,2023,7,UNDER CENTER,RUSH,1,0,0,1,,0,0,0,,0,0,0,0,0,LEFT END,7,OPP,0,,0,,0,258,0,0
2023102200,2023-10-22,1,10,37,DET,BAL,0,0,65,1,0,9-J.TUCKER KICKS 46 YARDS FROM BAL 35 TO DET 19. 30-K.DORSEY TO DET 38 FOR 19 YARDS (10-A.MAULET).,0,2023,0,UNDER CENTER,KICK OFF,0,0,0,0,,0,0,0,,0,0,0,0,0,,35,OPP,0,,0,,0,263,0,0
2023102200,2023-10-22,1,10,37,BAL,DET,0,0,100,1,0,TIMEOUT AT 10:37.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,263,0,0
2023102200,2023-10-22,1,10,37,BAL,DET,0,0,85,1,0,"9-J.TUCKER EXTRA POINT IS GOOD, CENTER-69-T.OTT, HOLDER-11-J.STOUT.",0,2023,0,UNDER CENTER,EXTRA POINT,0,0,0,0,,0,0,0,,0,0,0,0,0,,15,OPP,0,,0,,0,263,0,0
2023102200,2023-10-22,1,10,33,DET,BAL,1,10,38,0,0,(10:33) (SHOTGUN) 26-J.GIBBS RIGHT TACKLE TO DET 42 FOR 4 YARDS (58-M.PIERCE).,0,2023,4,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT TACKLE,38,OWN,0,,0,,0,267,0,0
2023102200,2023-10-22,1,10,1,DET,BAL,2,6,42,0,0,(10:01) (SHOTGUN) 16-J.GOFF PASS INCOMPLETE SHORT LEFT TO 9-J.WILLIAMS.,0,2023,0,SHOTGUN,PASS,0,1,1,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,42,OWN,0,,0,,0,299,0,0
2023102200,2023-10-22,1,9,56,DET,BAL,3,6,42,0,0,"(9:56) (SHOTGUN) 16-J.GOFF SACKED AT DET 30 FOR -12 YARDS (92-J.MADUBUIKE). FUMBLES (92-J.MADUBUIKE) [92-J.MADUBUIKE], RECOVERED BY DET-58-P.SEWELL AT DET 29. 58-P.SEWELL TO DET 38 FOR 9 YARDS (14-K.HAMILTON).",0,2023,-12,SHOTGUN,SACK,0,0,0,0,,1,0,0,,0,1,0,0,0,,42,OWN,0,,0,,0,304,0,0
