GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,SeriesFirstDown,NextScore,Description,TeamWin,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards,Week,Duration,MIN,SF
2023102300,2023-10-23,1,9,26,MIN,SF,1,10,25,0,0,"(9:26) 8-K.COUSINS PASS SHORT RIGHT TO 3-J.ADDISON TO MIN 29 FOR 4 YARDS (7-C.WARD, 54-F.WARNER).",0,2023,4,UNDER CENTER,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,25,OWN,0,,0,,0,7,334,0,0
2023102300,2023-10-23,1,8,52,MIN,SF,2,6,29,1,0,"(8:52) (NO HUDDLE, SHOTGUN) 8-K.COUSINS PASS SHORT MIDDLE TO 3-J.ADDISON TO MIN 40 FOR 11 YARDS (29-T.HUFANGA).",0,2023,11,NO HUDDLE SHOTGUN,PASS,0,1,0,0,SHORT MIDDLE,0,0,0,,0,0,0,0,0,,29,OWN,0,,0,,0,7,368,0,0
2023102300,2023-10-23,1,8,5,MIN,SF,1,10,40,0,0,"(8:05) 2-A.MATTISON RIGHT END TO MIN 45 FOR 5 YARDS (48-O.BURKS, 54-F.WARNER).",0,2023,5,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT END,40,OWN,0,,0,,0,7,415,0,0
2023102300,2023-10-23,1,7,26,MIN,SF,2,5,45,0,0,"(7:26) PENALTY ON SF-99-J.KINLAW, ENCROACHMENT, 5 YARDS, ENFORCED AT MIN 45 - NO PLAY.",0,2023,0,UNDER CENTER,NO PLAY,0,0,0,0,,0,0,0,,0,0,1,0,0,,45,OWN,1,SF,1,ENCROACHMENT,5,7,454,0,0
2023102300,2023-10-23,1,7,11,MIN,SF,1,10,100,1,0,(7:11) 8-K.COUSINS PASS DEEP LEFT TO 87-T.HOCKENSON TO SF 28 FOR 22 YARDS (48-O.BURKS).,0,2023,22,UNDER CENTER,PASS,0,1,0,0,DEEP LEFT,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,7,469,0,0
2023102300,2023-10-23,1,6,21,MIN,SF,1,10,72,0,0,"(6:21) (SHOTGUN) PENALTY ON MIN, DELAY OF GAME, 5 YARDS, ENFORCED AT SF 28 - NO PLAY.",0,2023,0,SHOTGUN,NO PLAY,0,0,0,0,,0,0,0,,0,0,1,0,0,,28,OPP,1,MIN,1,DELAY OF GAME,5,7,519,0,0
2023102300,2023-10-23,1,6,0,MIN,SF,1,15,67,0,0,(6:00) (SHOTGUN) 2-A.MATTISON RIGHT GUARD TO SF 20 FOR 13 YARDS (29-T.HUFANGA).,0,2023,13,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT GUARD,33,OPP,0,,0,,0,7,540,0,0
2023102300,2023-10-23,1,5,31,MIN,SF,2,2,80,0,0,"(5:31) (NO HUDDLE, SHOTGUN) 2-A.MATTISON RIGHT GUARD TO SF 20 FOR NO GAIN (97-N.BOSA).",0,2023,0,NO HUDDLE SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT GUARD,20,OPP,0,,0,,0,7,569,0,0
2023102300,2023-10-23,1,4,52,MIN,SF,3,2,80,1,0,"(4:52) (SHOTGUN) 8-K.COUSINS PASS DEEP RIGHT TO 3-J.ADDISON FOR 20 YARDS, TOUCHDOWN.",0,2023,20,SHOTGUN,PASS,0,1,0,1,DEEP RIGHT,0,0,0,,0,0,0,0,0,,20,OPP,0,,0,,0,7,608,0,0
2023102300,2023-10-23,1,4,48,SF,MIN,1,10,25,0,0,(4:48) (SHOTGUN) 23-C.MCCAFFREY RIGHT GUARD TO SF 27 FOR 2 YARDS (90-J.BULLARD).,0,2023,2,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT GUARD,25,OWN,0,,0,,0,7,612,0,0
