GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,SeriesFirstDown,NextScore,Description,TeamWin,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards,Week,Duration,DEN,GB
2023102208,2023-10-22,1,15,0,DEN,GB,0,0,65,1,0,"17-A.CARLSON KICKS 65 YARDS FROM GB 35 TO END ZONE, TOUCHBACK.",0,2023,0,UNDER CENTER,KICK OFF,0,0,0,0,,0,0,0,,0,0,0,0,0,,35,OPP,0,,0,,0,7,0,0,0
2023102208,2023-10-22,1,15,0,DEN,GB,1,10,25,0,0,(15:00) (SHOTGUN) 3-R.WILSON PASS INCOMPLETE SHORT RIGHT.,0,2023,0,SHOTGUN,PASS,0,1,1,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,25,OWN,0,,0,,0,7,0,0,0
2023102208,2023-10-22,1,14,54,DEN,GB,2,10,25,0,0,(14:54) 3-R.WILSON PASS SHORT RIGHT TO 45-N.ADKINS PUSHED OB AT DEN 28 FOR 3 YARDS (25-K.NIXON) [52-R.GARY].,0,2023,3,UNDER CENTER,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,25,OWN,0,,0,,0,7,6,0,0
2023102208,2023-10-22,1,14,16,DEN,GB,3,7,28,1,0,(14:16) (SHOTGUN) 3-R.WILSON PASS DEEP RIGHT TO 14-C.SUTTON TO GB 39 FOR 33 YARDS (37-C.VALENTINE).,0,2023,33,SHOTGUN,PASS,0,1,0,0,DEEP RIGHT,0,0,0,,0,0,0,0,0,,28,OWN,0,,0,,0,7,44,0,0
2023102208,2023-10-22,1,13,33,DEN,GB,1,10,61,0,0,(13:33) (SHOTGUN) 33-J.WILLIAMS UP THE MIDDLE TO GB 38 FOR 1 YARD (55-K.ENAGBARE; 95-D.WYATT).,0,2023,1,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,CENTER,39,OPP,0,,0,,0,7,87,0,0
2023102208,2023-10-22,1,12,55,DEN,GB,2,9,62,0,0,(12:55) 3-R.WILSON PASS SHORT RIGHT TO 33-J.WILLIAMS PUSHED OB AT GB 31 FOR 7 YARDS (58-I.MCDUFFIE).,0,2023,7,UNDER CENTER,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,38,OPP,0,,0,,0,7,125,0,0
2023102208,2023-10-22,1,12,14,DEN,GB,3,2,69,1,0,(12:14) (SHOTGUN) 3-R.WILSON PASS SHORT RIGHT TO 14-C.SUTTON TO GB 28 FOR 3 YARDS (37-C.VALENTINE).,0,2023,3,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,31,OPP,0,,0,,0,7,166,0,0
2023102208,2023-10-22,1,11,21,DEN,GB,1,10,72,1,0,(11:21) 33-J.WILLIAMS UP THE MIDDLE TO GB 13 FOR 15 YARDS (58-I.MCDUFFIE).,0,2023,15,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,CENTER,28,OPP,0,,0,,0,7,219,0,0
2023102208,2023-10-22,1,10,40,DEN,GB,1,10,87,0,0,(10:40) 38-J.MCLAUGHLIN LEFT TACKLE TO GB 6 FOR 7 YARDS (58-I.MCDUFFIE).,0,2023,7,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT TACKLE,13,OPP,0,,0,,0,7,260,0,0
2023102208,2023-10-22,1,10,0,DEN,GB,2,3,94,0,0,"(10:00) 75-Q.BAILEY REPORTED IN AS ELIGIBLE.  38-J.MCLAUGHLIN RIGHT END TO GB 4 FOR 2 YARDS (20-R.FORD, 52-R.GARY).",0,2023,2,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT END,6,OPP,0,,0,,0,7,300,0,0
2023102208,2023-10-22,1,9,14,DEN,GB,3,1,96,0,0,"(9:14) 33-J.WILLIAMS RIGHT TACKLE FOR 4 YARDS, TOUCHDOWN NULLIFIED BY PENALTY. PENALTY ON DEN-75-Q.BAILEY, OFFENSIVE HOLDING, 10 YARDS, ENFORCED AT GB 4 - NO PLAY.",0,2023,4,UNDER CENTER,RUSH,1,0,0,1,,0,0,0,,0,0,1,0,0,RIGHT TACKLE,4,OPP,1,DEN,1,OFFENSIVE HOLDING,10,7,346,0,0
2023102208,2023-10-22,1,9,10,DEN,GB,3,11,86,0,0,(9:10) (SHOTGUN) 3-R.WILSON PASS SHORT RIGHT TO 38-J.MCLAUGHLIN TO GB 13 FOR 1 YARD (95-D.WYATT).,0,2023,1,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,14,OPP,0,,0,,0,7,350,0,0
2023102208,2023-10-22,1,8,30,DEN,GB,4,10,87,0,0,"(8:30) 16-W.LUTZ 32 YARD FIELD GOAL IS GOOD, CENTER-48-M.FRABONI, HOLDER-9-R.DIXON.",0,2023,0,FIELD GOAL,FIELD GOAL,0,0,0,0,,0,0,0,,0,0,0,0,0,,13,OPP,0,,0,,0,7,390,0,0
