GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,SeriesFirstDown,NextScore,Description,TeamWin,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards,Week,Duration,CLE,IND
2023102202,2023-10-22,1,15,0,CLE,IND,0,0,65,1,0,7-M.GAY KICKS 64 YARDS FROM IND 35 TO CLE 1. 20-P.STRONG TO CLE 23 FOR 22 YARDS (20-N.CROSS).,0,2023,0,UNDER CENTER,KICK OFF,0,0,0,0,,0,0,0,,0,0,0,0,0,,35,OPP,0,,0,,0,7,0,0,0
2023102202,2023-10-22,1,14,55,CLE,IND,1,10,23,0,0,(14:55) 4-D.WATSON PASS INCOMPLETE SHORT MIDDLE TO 34-J.FORD.,0,2023,0,UNDER CENTER,PASS,0,1,1,0,SHORT MIDDLE,0,0,0,,0,0,0,0,0,,23,OWN,0,,0,,0,7,5,0,0
2023102202,2023-10-22,1,14,51,CLE,IND,2,10,23,0,0,(14:51) 34-J.FORD RIGHT END TO CLE 31 FOR 8 YARDS (44-Z.FRANKLIN).,0,2023,8,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT END,23,OWN,0,,0,,0,7,9,0,0
2023102202,2023-10-22,1,14,12,CLE,IND,3,2,31,1,0,"(14:12) (SHOTGUN) 34-J.FORD RIGHT GUARD FOR 69 YARDS, TOUCHDOWN.",0,2023,69,SHOTGUN,RUSH,1,0,0,1,,0,0,0,,0,0,0,0,0,RIGHT GUARD,31,OWN,0,,0,,0,7,48,0,0
2023102202,2023-10-22,1,14,3,IND,CLE,0,0,65,1,0,"7-D.HOPKINS KICKS 65 YARDS FROM CLE 35 TO END ZONE, TOUCHBACK.",0,2023,0,UNDER CENTER,KICK OFF,0,0,0,0,,0,0,0,,0,0,0,0,0,,35,OPP,0,,0,,0,7,57,0,0
2023102202,2023-10-22,1,14,3,CLE,IND,0,0,85,1,0,"7-D.HOPKINS EXTRA POINT IS GOOD, CENTER-47-C.HUGHLETT, HOLDER-13-C.BOJORQUEZ.",0,2023,0,UNDER CENTER,EXTRA POINT,0,0,0,0,,0,0,0,,0,0,0,0,0,,15,OPP,0,,0,,0,7,57,0,0
2023102202,2023-10-22,1,14,3,IND,CLE,1,10,25,0,0,"(14:03) (SHOTGUN) 28-J.TAYLOR UP THE MIDDLE TO IND 31 FOR 6 YARDS (22-G.DELPIT, 94-D.TOMLINSON).",0,2023,6,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,CENTER,25,OWN,0,,0,,0,7,57,0,0
2023102202,2023-10-22,1,13,40,IND,CLE,2,4,31,0,0,"(13:40) (NO HUDDLE, SHOTGUN) 28-J.TAYLOR UP THE MIDDLE TO IND 32 FOR 1 YARD (95-M.GARRETT, 94-D.TOMLINSON).",0,2023,1,NO HUDDLE SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,CENTER,31,OWN,0,,0,,0,7,80,0,0
2023102202,2023-10-22,1,12,58,IND,CLE,3,3,32,1,0,(12:58) (SHOTGUN) 10-G.MINSHEW PASS SHORT RIGHT TO 1-J.DOWNS TO IND 38 FOR 6 YARDS (6-J.OWUSU-KORAMOAH).,0,2023,6,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,32,OWN,0,,0,,0,7,122,0,0
2023102202,2023-10-22,1,12,31,IND,CLE,1,10,38,0,0,"(12:31) (NO HUDDLE, SHOTGUN) 10-G.MINSHEW PASS INCOMPLETE SHORT RIGHT TO 86-W.MALLORY.",0,2023,0,NO HUDDLE SHOTGUN,PASS,0,1,1,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,38,OWN,0,,0,,0,7,149,0,0
2023102202,2023-10-22,1,12,28,IND,CLE,2,10,38,0,0,(12:28) (SHOTGUN) 21-Z.MOSS RIGHT TACKLE TO IND 41 FOR 3 YARDS (95-M.GARRETT).,0,2023,3,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT TACKLE,38,OWN,0,,0,,0,7,152,0,0
2023102202,2023-10-22,1,11,47,IND,CLE,3,7,41,0,0,"(11:47) (SHOTGUN) 10-G.MINSHEW PASS DEEP RIGHT TO 1-J.DOWNS FOR 59 YARDS, TOUCHDOWN. PENALTY ON CLE-95-M.GARRETT, DEFENSIVE OFFSIDE, DECLINED.",0,2023,59,SHOTGUN,PASS,0,1,0,1,DEEP RIGHT,0,0,0,,0,0,1,0,0,,41,OWN,0,CLE,0,DEFENSIVE OFFSIDE,0,7,193,0,0
2023102202,2023-10-22,1,11,38,CLE,IND,1,10,25,0,0,(11:38) 27-K.HUNT UP THE MIDDLE TO CLE 27 FOR 2 YARDS (93-E.JOHNSON; 23-K.MOORE).,0,2023,2,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,CENTER,25,OWN,0,,0,,0,7,202,0,0
