GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,SeriesFirstDown,NextScore,Description,TeamWin,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards,Duration,LA,PIT
2023102206,2023-10-22,1,8,44,PIT,LA,1,10,52,0,0,(8:44) (SHOTGUN) 22-N.HARRIS LEFT TACKLE TO LAR 42 FOR 6 YARDS (53-E.JONES; 14-C.DURANT).,0,2023,6,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT TACKLE,48,OPP,0,,0,,0,376,0,0
2023102206,2023-10-22,1,8,5,PIT,LA,2,4,58,0,0,"(8:05) 22-N.HARRIS RIGHT TACKLE TO LAR 47 FOR -5 YARDS (4-J.FULLER). PENALTY ON PIT-83-CO.HEYWARD, OFFENSIVE HOLDING, DECLINED.",0,2023,-5,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,1,0,0,RIGHT TACKLE,42,OPP,0,PIT,0,OFFENSIVE HOLDING,0,415,0,0
2023102206,2023-10-22,1,7,43,PIT,LA,3,9,53,0,0,(7:43) (SHOTGUN) 8-K.PICKETT PASS INCOMPLETE DEEP RIGHT TO 14-G.PICKENS.,0,2023,0,SHOTGUN,PASS,0,1,1,0,DEEP RIGHT,0,0,0,,0,0,0,0,0,,47,OPP,0,,0,,0,437,0,0
2023102206,2023-10-22,1,7,37,PIT,LA,4,9,53,0,0,"(7:37) 6-P.HARVIN PUNTS 41 YARDS TO LAR 6, CENTER-46-C.KUNTZ, DOWNED BY PIT-42-J.PIERRE.",0,2023,0,PUNT,PUNT,0,0,0,0,,0,0,0,,0,0,0,0,0,,47,OPP,0,,0,,0,443,0,0
2023102206,2023-10-22,1,7,28,LA,PIT,1,10,94,0,0,(7:28) (SHOTGUN) 9-M.STAFFORD PASS INCOMPLETE SHORT LEFT TO 5-T.ATWELL.,0,2023,0,SHOTGUN,PASS,0,1,1,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,6,OPP,0,,0,,0,452,0,0
2023102206,2023-10-22,1,7,28,LA,PIT,0,0,100,1,0,TIMEOUT AT 07:28.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,452,0,0
2023102206,2023-10-22,1,7,24,LA,PIT,2,10,94,0,0,(7:24) (SHOTGUN) 24-R.FREEMAN UP THE MIDDLE TO LAR 15 FOR 9 YARDS (39-M.FITZPATRICK).,0,2023,9,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,CENTER,6,OPP,0,,0,,0,456,0,0
2023102206,2023-10-22,1,6,49,LA,PIT,3,1,85,1,0,"(6:49) 24-R.FREEMAN UP THE MIDDLE TO LAR 19 FOR 4 YARDS (20-P.PETERSON, 99-L.OGUNJOBI).",0,2023,4,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,CENTER,15,OPP,0,,0,,0,491,0,0
2023102206,2023-10-22,1,6,28,LA,PIT,1,10,81,1,0,"(6:28) (NO HUDDLE, SHOTGUN) 9-M.STAFFORD PASS SHORT MIDDLE TO 17-P.NACUA PUSHED OB AT LAR 49 FOR 30 YARDS (23-D.KAZEE).",0,2023,30,NO HUDDLE SHOTGUN,PASS,0,1,0,0,SHORT MIDDLE,0,0,0,,0,0,0,0,0,,19,OPP,0,,0,,0,512,0,0
2023102206,2023-10-22,1,5,45,LA,PIT,1,10,51,1,0,(5:45) (SHOTGUN) 24-R.FREEMAN UP THE MIDDLE TO PIT 40 FOR 11 YARDS (23-D.KAZEE).,0,2023,11,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,CENTER,49,OPP,0,,0,,0,555,0,0
