GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,SeriesFirstDown,NextScore,Description,TeamWin,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards,Duration,SEA,ARI
2023102207,2023-10-22,1,7,37,SEA,ARI,3,15,49,0,0,(7:37) (SHOTGUN) 7-G.SMITH PASS SHORT RIGHT TO 31-D.DALLAS TO SEA 49 FOR NO GAIN (10-J.WOODS; 7-K.WHITE).,0,2023,0,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,49,OWN,0,,0,,0,443,0,0
2023102207,2023-10-22,1,6,58,SEA,ARI,4,15,49,0,0,"(6:58) 4-M.DICKSON PUNTS 46 YARDS TO ARI 5, CENTER-41-C.STOLL. 83-G.DORTCH TO ARI 13 FOR 8 YARDS (44-N.BELLORE, 58-D.HALL).",0,2023,0,PUNT,PUNT,0,0,0,0,,0,0,0,,0,0,0,0,0,,49,OWN,0,,0,,0,482,0,0
2023102207,2023-10-22,1,6,48,ARI,SEA,1,10,13,0,0,(6:48) 9-J.DOBBS PASS INCOMPLETE SHORT LEFT TO 85-T.MCBRIDE [10-U.NWOSU].,0,2023,0,UNDER CENTER,PASS,0,1,1,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,13,OWN,0,,0,,0,492,0,0
2023102207,2023-10-22,1,6,48,SEA,ARI,0,0,100,1,0,TIMEOUT AT 06:48.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,492,0,0
2023102207,2023-10-22,1,6,44,ARI,SEA,2,10,13,0,0,"(6:44) 31-E.DEMERCADO LEFT TACKLE TO ARI 18 FOR 5 YARDS (97-M.EDWARDS, 56-J.BROOKS).",0,2023,5,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT TACKLE,13,OWN,0,,0,,0,496,0,0
2023102207,2023-10-22,1,6,3,ARI,SEA,3,5,18,0,0,(6:03) (SHOTGUN) 9-J.DOBBS PASS INCOMPLETE SHORT RIGHT TO 4-R.MOORE [55-D.JONES].,0,2023,0,SHOTGUN,PASS,0,1,1,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,18,OWN,0,,0,,0,537,0,0
2023102207,2023-10-22,1,5,58,ARI,SEA,4,5,18,0,0,"(5:58) 12-B.GILLIKIN PUNTS 48 YARDS TO SEA 34, CENTER-46-A.BREWER. 31-D.DALLAS TO SEA 39 FOR 5 YARDS (51-K.BARNES, 45-D.GARDECK).",0,2023,0,PUNT,PUNT,0,0,0,0,,0,0,0,,0,0,0,0,0,,18,OWN,0,,0,,0,542,0,0
2023102207,2023-10-22,1,5,48,SEA,ARI,1,10,39,0,0,(5:48) (SHOTGUN) 7-G.SMITH PASS SHORT RIGHT TO 16-T.LOCKETT PUSHED OB AT SEA 47 FOR 8 YARDS (24-S.THOMAS).,0,2023,8,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,39,OWN,0,,0,,0,552,0,0
2023102207,2023-10-22,1,5,48,SEA,ARI,0,0,100,1,0,TIMEOUT AT 05:48.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,552,0,0
2023102207,2023-10-22,1,5,30,SEA,ARI,2,2,47,1,0,"(5:30) (NO HUDDLE, SHOTGUN) 9-K.WALKER RIGHT END PUSHED OB AT ARI 28 FOR 25 YARDS (3-B.BAKER).",0,2023,25,NO HUDDLE SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT END,47,OWN,0,,0,,0,570,0,0
2023102207,2023-10-22,1,4,53,SEA,ARI,1,10,72,1,0,"(4:53) (SHOTGUN) 7-G.SMITH PASS DEEP MIDDLE TO 11-J.SMITH-NJIGBA FOR 28 YARDS, TOUCHDOWN.",0,2023,28,SHOTGUN,PASS,0,1,0,1,DEEP MIDDLE,0,0,0,,0,0,0,0,0,,28,OPP,0,,0,,0,607,0,0
