GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,SeriesFirstDown,NextScore,Description,TeamWin,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards,Duration,NYG,WAS
2023102204,2023-10-22,1,9,34,NYG,WAS,2,1,57,1,0,(9:34) (NO HUDDLE) 26-S.BARKLEY RIGHT END PUSHED OB AT WAS 31 FOR 12 YARDS (35-P.BUTLER; 52-J.DAVIS). WAS-57-C.BARTON WAS INJURED DURING THE PLAY.,0,2023,12,NO HUDDLE,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT END,43,OPP,0,,0,,0,326,0,0
2023102204,2023-10-22,1,9,15,NYG,WAS,1,10,69,0,0,(9:15) 31-M.BREIDA LEFT GUARD TO WAS 25 FOR 6 YARDS (51-D.MAYO; 52-J.DAVIS).,0,2023,6,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT GUARD,31,OPP,0,,0,,0,345,0,0
2023102204,2023-10-22,1,8,54,NYG,WAS,2,4,75,0,0,"(8:54) (NO HUDDLE, SHOTGUN) 31-M.BREIDA RIGHT GUARD TO WAS 23 FOR 2 YARDS (93-J.ALLEN; 96-J.SMITH-WILLIAMS).",0,2023,2,NO HUDDLE SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT GUARD,25,OPP,0,,0,,0,366,0,0
2023102204,2023-10-22,1,8,30,NYG,WAS,3,2,77,0,0,"(8:30) (NO HUDDLE, SHOTGUN) 2-T.TAYLOR PASS INCOMPLETE DEEP LEFT TO 13-J.HYATT (25-B.ST-JUSTE).",0,2023,0,NO HUDDLE SHOTGUN,PASS,0,1,1,0,DEEP LEFT,0,0,0,,0,0,0,0,0,,23,OPP,0,,0,,0,390,0,0
2023102204,2023-10-22,1,8,25,NYG,WAS,4,2,77,0,0,"(8:25) 9-G.GANO 42 YARD FIELD GOAL IS NO GOOD, WIDE RIGHT, CENTER-59-C.KREITER, HOLDER-6-J.GILLAN.",0,2023,0,FIELD GOAL,FIELD GOAL,0,0,0,0,,0,0,0,,0,0,0,0,0,,23,OPP,0,,0,,0,395,0,0
2023102204,2023-10-22,1,8,20,WAS,NYG,1,10,32,0,0,(8:20) (SHOTGUN) 14-S.HOWELL PASS INCOMPLETE SHORT LEFT TO 4-C.SAMUEL.,0,2023,0,SHOTGUN,PASS,0,1,1,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,32,OWN,0,,0,,0,400,0,0
2023102204,2023-10-22,1,8,20,NYG,WAS,0,0,100,1,0,TIMEOUT AT 08:20.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,400,0,0
2023102204,2023-10-22,1,8,17,WAS,NYG,2,10,32,0,0,(8:17) 23-C.RODRIGUEZ RIGHT TACKLE TO WAS 36 FOR 4 YARDS (41-M.MCFADDEN; 97-D.LAWRENCE).,0,2023,4,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT TACKLE,32,OWN,0,,0,,0,403,0,0
2023102204,2023-10-22,1,7,36,WAS,NYG,3,6,36,0,0,(7:36) (SHOTGUN) 14-S.HOWELL PASS INCOMPLETE SHORT MIDDLE TO 1-J.DOTSON (37-T.HAWKINS).,0,2023,0,SHOTGUN,PASS,0,1,1,0,SHORT MIDDLE,0,0,0,,0,0,0,0,0,,36,OWN,0,,0,,0,444,0,0
2023102204,2023-10-22,1,7,32,WAS,NYG,4,6,36,0,0,"(7:32) 5-T.WAY PUNTS 53 YARDS TO NYG 11, CENTER-54-C.CHEESEMAN, FAIR CATCH BY 20-E.GRAY.",0,2023,0,PUNT,PUNT,0,0,0,0,,0,0,0,,0,0,0,0,0,,36,OWN,0,,0,,0,448,0,0
