GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,SeriesFirstDown,NextScore,Description,TeamWin,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards,Week,Duration,PHI,MIA
2023102210,2023-10-22,1,7,54,MIA,PHI,0,0,65,1,0,"4-J.ELLIOTT KICKS 65 YARDS FROM PHI 35 TO END ZONE, TOUCHBACK.",0,2023,0,UNDER CENTER,KICK OFF,0,0,0,0,,0,0,0,,0,0,0,0,0,,35,OPP,0,,0,,0,7,426,0,0
2023102210,2023-10-22,1,7,54,MIA,PHI,1,10,25,0,0,"(7:54) (SHOTGUN) PENALTY ON MIA, DELAY OF GAME, 5 YARDS, ENFORCED AT MIA 25 - NO PLAY.",0,2023,0,SHOTGUN,NO PLAY,0,0,0,0,,0,0,0,,0,0,1,0,0,,25,OWN,1,MIA,1,DELAY OF GAME,5,7,426,0,0
2023102210,2023-10-22,1,7,54,MIA,PHI,1,15,20,0,0,(7:54) (SHOTGUN) 1-T.TAGOVAILOA PASS SHORT MIDDLE TO 17-J.WADDLE RAN OB AT MIA 28 FOR 8 YARDS (26-T.EDMUNDS).,0,2023,8,SHOTGUN,PASS,0,1,0,0,SHORT MIDDLE,0,0,0,,0,0,0,0,0,,20,OWN,0,,0,,0,7,426,0,0
2023102210,2023-10-22,1,7,21,MIA,PHI,2,7,28,1,0,(7:21) (SHOTGUN) 1-T.TAGOVAILOA PASS DEEP LEFT TO 10-T.HILL PUSHED OB AT MIA 43 FOR 15 YARDS (26-T.EDMUNDS).,0,2023,15,SHOTGUN,PASS,0,1,0,0,DEEP LEFT,0,0,0,,0,0,0,0,0,,28,OWN,0,,0,,0,7,459,0,0
2023102210,2023-10-22,1,6,42,MIA,PHI,1,10,43,0,0,(6:42) 31-R.MOSTERT RIGHT END TO MIA 38 FOR -5 YARDS (7-H.REDDICK).,0,2023,-5,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT END,43,OWN,0,,0,,0,7,498,0,0
2023102210,2023-10-22,1,6,0,MIA,PHI,2,15,38,0,0,(6:00) (SHOTGUN) 1-T.TAGOVAILOA PASS SHORT LEFT TO 10-T.HILL PUSHED OB AT MIA 38 FOR NO GAIN (24-J.BRADBERRY).,0,2023,0,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,38,OWN,0,,0,,0,7,540,0,0
2023102210,2023-10-22,1,5,23,MIA,PHI,3,15,38,0,0,(5:23) (SHOTGUN) 1-T.TAGOVAILOA PASS INCOMPLETE SHORT LEFT TO 31-R.MOSTERT. MIA-77-I.WYNN WAS INJURED DURING THE PLAY. HE IS OUT.,0,2023,0,SHOTGUN,PASS,0,1,1,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,38,OWN,0,,0,,0,7,577,0,0
2023102210,2023-10-22,1,5,19,MIA,PHI,4,15,38,0,0,"(5:19) 16-J.BAILEY PUNTS 31 YARDS TO PHI 31, CENTER-44-B.FERGUSON, OUT OF BOUNDS.",0,2023,0,PUNT,PUNT,0,0,0,0,,0,0,0,,0,0,0,0,0,,38,OWN,0,,0,,0,7,581,0,0
2023102210,2023-10-22,1,5,12,PHI,MIA,0,0,100,1,0,TIMEOUT AT 05:12.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,7,588,0,0
2023102210,2023-10-22,1,5,12,PHI,MIA,1,10,31,0,0,(5:12) (SHOTGUN) 0-D.SWIFT RIGHT GUARD TO PHI 33 FOR 2 YARDS (51-D.LONG).,0,2023,2,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT GUARD,31,OWN,0,,0,,0,7,588,0,0
2023102210,2023-10-22,1,4,36,PHI,MIA,2,8,33,0,0,(4:36) (SHOTGUN) 1-J.HURTS PASS INCOMPLETE SHORT RIGHT TO 11-A.BROWN (51-D.LONG).,0,2023,0,SHOTGUN,PASS,0,1,1,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,33,OWN,0,,0,,0,7,624,0,0
2023102210,2023-10-22,1,4,32,PHI,MIA,3,8,33,0,0,"(4:32) (SHOTGUN) 1-J.HURTS SACKED AT PHI 22 FOR -11 YARDS (2-B.CHUBB). FUMBLES (2-B.CHUBB) [15-J.PHILLIPS], RECOVERED BY MIA-94-C.WILKINS AT PHI 23.",0,2023,-11,SHOTGUN,SACK,0,0,0,0,,1,0,0,,0,1,0,0,0,,33,OWN,0,,0,,0,7,628,0,0
2023102210,2023-10-22,1,4,24,MIA,PHI,1,10,77,0,0,(4:24) (SHOTGUN) 1-T.TAGOVAILOA PASS SHORT MIDDLE TO 10-T.HILL PUSHED OB AT PHI 20 FOR 3 YARDS (2-D.SLAY).,0,2023,3,SHOTGUN,PASS,0,1,0,0,SHORT MIDDLE,0,0,0,,0,0,0,0,0,,23,OPP,0,,0,,0,7,636,0,0
2023102210,2023-10-22,1,3,50,MIA,PHI,2,7,80,0,0,(3:50) 31-R.MOSTERT RIGHT TACKLE TO PHI 22 FOR -2 YARDS (7-H.REDDICK).,0,2023,-2,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT TACKLE,20,OPP,0,,0,,0,7,670,0,0
2023102210,2023-10-22,1,3,6,MIA,PHI,3,9,78,1,0,(3:06) (SHOTGUN) 1-T.TAGOVAILOA PASS DEEP RIGHT TO 17-J.WADDLE PUSHED OB AT PHI 6 FOR 16 YARDS (26-T.EDMUNDS) [98-J.CARTER].,0,2023,16,SHOTGUN,PASS,0,1,0,0,DEEP RIGHT,0,0,0,,0,0,0,0,0,,22,OPP,0,,0,,0,7,714,0,0
