GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,SeriesFirstDown,NextScore,Description,TeamWin,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards,Week,Duration,ATL,TB
2023102205,2023-10-22,1,15,0,TB,ATL,0,0,65,1,0,"13-B.PINION KICKS 65 YARDS FROM ATL 35 TO END ZONE, TOUCHBACK.",0,2023,0,UNDER CENTER,KICK OFF,0,0,0,0,,0,0,0,,0,0,0,0,0,,35,OPP,0,,0,,0,7,0,0,0
2023102205,2023-10-22,1,15,0,TB,ATL,1,10,25,0,0,(15:00) 6-B.MAYFIELD PASS SHORT RIGHT TO 14-C.GODWIN TO TB 27 FOR 2 YARDS (3-J.BATES).,0,2023,2,UNDER CENTER,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,25,OWN,0,,0,,0,7,0,0,0
2023102205,2023-10-22,1,14,25,TB,ATL,2,8,27,1,0,(14:25) (SHOTGUN) 6-B.MAYFIELD PASS SHORT MIDDLE TO 13-M.EVANS TO TB 36 FOR 9 YARDS (27-R.GRANT).,0,2023,9,SHOTGUN,PASS,0,1,0,0,SHORT MIDDLE,0,0,0,,0,0,0,0,0,,27,OWN,0,,0,,0,7,35,0,0
2023102205,2023-10-22,1,13,44,TB,ATL,1,10,36,0,0,"(13:44) 1-R.WHITE UP THE MIDDLE TO TB 35 FOR -1 YARDS (48-B.DUPREE, 3-J.BATES).",0,2023,-1,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,CENTER,36,OWN,0,,0,,0,7,76,0,0
2023102205,2023-10-22,1,13,7,TB,ATL,2,11,35,0,0,(13:07) (SHOTGUN) 6-B.MAYFIELD PASS INCOMPLETE SHORT LEFT TO 18-R.JARRETT (97-G.JARRETT).,0,2023,0,SHOTGUN,PASS,0,1,1,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,35,OWN,0,,0,,0,7,113,0,0
2023102205,2023-10-22,1,13,3,TB,ATL,3,11,35,1,0,(13:03) (SHOTGUN) 6-B.MAYFIELD PASS SHORT RIGHT TO 1-R.WHITE TO TB 46 FOR 11 YARDS (97-G.JARRETT).,0,2023,11,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,35,OWN,0,,0,,0,7,117,0,0
2023102205,2023-10-22,1,12,19,TB,ATL,1,10,46,0,0,"(12:19) 1-R.WHITE UP THE MIDDLE TO TB 49 FOR 3 YARDS (95-T.GRAHAM, 27-R.GRANT).",0,2023,3,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,CENTER,46,OWN,0,,0,,0,7,161,0,0
2023102205,2023-10-22,1,11,39,TB,ATL,2,7,49,0,0,"(11:39) 6-B.MAYFIELD PASS INCOMPLETE SHORT LEFT [0-L.CARTER]. PENALTY ON ATL-24-A.TERRELL, DEFENSIVE HOLDING, 5 YARDS, ENFORCED AT TB 49 - NO PLAY.",0,2023,0,UNDER CENTER,PASS,0,1,1,0,SHORT LEFT,0,0,0,,0,0,1,0,0,,49,OWN,1,ATL,1,DEFENSIVE HOLDING,5,7,201,0,0
2023102205,2023-10-22,1,11,32,TB,ATL,1,10,54,0,0,(11:32) (SHOTGUN) 6-B.MAYFIELD PASS SHORT LEFT TO 83-D.THOMPKINS TO ATL 41 FOR 5 YARDS (1-J.OKUDAH).,0,2023,5,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,46,OPP,0,,0,,0,7,208,0,0
2023102205,2023-10-22,1,10,57,TB,ATL,2,5,59,0,0,(10:57) (SHOTGUN) 6-B.MAYFIELD PASS INCOMPLETE DEEP RIGHT TO 14-C.GODWIN.,0,2023,0,SHOTGUN,PASS,0,1,1,0,DEEP RIGHT,0,0,0,,0,0,0,0,0,,41,OPP,0,,0,,0,7,243,0,0
