GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,SeriesFirstDown,NextScore,Description,TeamWin,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards,Week,Duration,KC,LAC
2023102209,2023-10-22,4,5,57,KC,LAC,2,5,70,1,0,(5:57) (SHOTGUN) 15-P.MAHOMES PASS SHORT LEFT TO 4-R.RICE TO LAC 18 FOR 12 YARDS (20-D.MARLOWE).,0,2023,12,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,30,OPP,0,,0,,0,7,3243,0,0
2023102209,2023-10-22,4,5,10,KC,LAC,1,10,82,0,0,(5:10) 10-I.PACHECO UP THE MIDDLE TO LAC 21 FOR -3 YARDS (6-E.KENDRICKS).,0,2023,-3,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,CENTER,18,OPP,0,,0,,0,7,3290,0,0
2023102209,2023-10-22,4,4,28,KC,LAC,2,13,79,0,0,(4:28) (SHOTGUN) 15-P.MAHOMES PASS SHORT RIGHT TO 87-T.KELCE TO LAC 14 FOR 7 YARDS (36-J.TAYLOR).,0,2023,7,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,21,OPP,0,,0,,0,7,3332,0,0
2023102209,2023-10-22,4,3,46,KC,LAC,3,6,86,1,0,(3:46) (SHOTGUN) 15-P.MAHOMES PASS SHORT RIGHT TO 12-M.HARDMAN TO LAC 8 FOR 6 YARDS (26-A.SAMUEL).,0,2023,6,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,14,OPP,0,,0,,0,7,3374,0,0
2023102209,2023-10-22,4,3,35,KC,LAC,1,8,92,1,0,"(3:35) (SHOTGUN) 15-P.MAHOMES PASS SHORT RIGHT TO 10-I.PACHECO FOR 8 YARDS, TOUCHDOWN.",0,2023,8,SHOTGUN,PASS,0,1,0,1,SHORT RIGHT,0,0,0,,0,0,0,0,0,,8,OPP,0,,0,,0,7,3385,0,0
2023102209,2023-10-22,4,3,35,KC,LAC,0,0,100,1,0,TIMEOUT #2 BY LAC AT 03:35.,0,2023,0,UNDER CENTER,TIMEOUT,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,7,3385,0,0
2023102209,2023-10-22,4,3,30,LAC,KC,0,0,65,1,0,"7-H.BUTKER KICKS 65 YARDS FROM KC 35 TO END ZONE, TOUCHBACK.",0,2023,0,UNDER CENTER,KICK OFF,0,0,0,0,,0,0,0,,0,0,0,0,0,,35,OPP,0,,0,,0,7,3390,0,0
2023102209,2023-10-22,4,3,30,KC,LAC,0,0,85,1,0,"7-H.BUTKER EXTRA POINT IS GOOD, CENTER-41-J.WINCHESTER, HOLDER-5-T.TOWNSEND.",0,2023,0,UNDER CENTER,EXTRA POINT,0,0,0,0,,0,0,0,,0,0,0,0,0,,15,OPP,0,,0,,0,7,3390,0,0
2023102209,2023-10-22,4,3,30,LAC,KC,1,10,25,0,0,(3:30) (SHOTGUN) 10-J.HERBERT PASS INCOMPLETE DEEP MIDDLE TO 89-D.PARHAM (23-D.TRANQUILL).,0,2023,0,SHOTGUN,PASS,0,1,1,0,DEEP MIDDLE,0,0,0,,0,0,0,0,0,,25,OWN,0,,0,,0,7,3390,0,0
2023102209,2023-10-22,4,3,24,LAC,KC,2,10,25,0,0,(3:24) (SHOTGUN) 10-J.HERBERT PASS INCOMPLETE DEEP LEFT TO 5-J.PALMER (20-J.REID).,0,2023,0,SHOTGUN,PASS,0,1,1,0,DEEP LEFT,0,0,0,,0,0,0,0,0,,25,OWN,0,,0,,0,7,3396,0,0
