GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,SeriesFirstDown,NextScore,Description,TeamWin,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards,Duration,CHI,TB
2023091706,2023-09-17,1,15,0,TB,CHI,1,10,25,0,0,(15:00) 1-R.WHITE UP THE MIDDLE TO TB 27 FOR 2 YARDS (53-T.EDWARDS; 93-JU.JONES).,0,2023,2,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,CENTER,25,OWN,0,,0,,0,0,0,0
2023091706,2023-09-17,1,15,0,TB,CHI,0,0,65,1,0,"8-C.SANTOS KICKS 65 YARDS FROM CHI 35 TO END ZONE, TOUCHBACK.",0,2023,0,UNDER CENTER,KICK OFF,0,0,0,0,,0,0,0,,0,0,0,0,0,,35,OPP,0,,0,,0,0,0,0
2023091706,2023-09-17,1,14,35,TB,CHI,2,8,27,0,0,"(14:35) (NO HUDDLE, SHOTGUN) 6-B.MAYFIELD PASS INCOMPLETE SHORT MIDDLE TO 13-M.EVANS (9-J.BRISKER).",0,2023,0,NO HUDDLE SHOTGUN,PASS,0,1,1,0,SHORT MIDDLE,0,0,0,,0,0,0,0,0,,27,OWN,0,,0,,0,25,0,0
2023091706,2023-09-17,1,14,31,TB,CHI,3,8,27,1,0,(14:31) (SHOTGUN) 6-B.MAYFIELD PASS SHORT RIGHT TO 14-C.GODWIN PUSHED OB AT TB 43 FOR 16 YARDS (29-T.STEVENSON).,0,2023,16,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,27,OWN,0,,0,,0,29,0,0
2023091706,2023-09-17,1,14,3,TB,CHI,1,10,43,1,0,(14:03) 83-D.THOMPKINS LEFT END TO CHI 46 FOR 11 YARDS (53-T.EDWARDS).,0,2023,11,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT END,43,OWN,0,,0,,0,57,0,0
2023091706,2023-09-17,1,13,18,TB,CHI,1,10,54,0,0,(13:18) 6-B.MAYFIELD PASS SHORT LEFT TO 1-R.WHITE TO CHI 43 FOR 3 YARDS (90-D.ROBINSON; 29-T.STEVENSON).,0,2023,3,UNDER CENTER,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,46,OPP,0,,0,,0,102,0,0
2023091706,2023-09-17,1,12,34,TB,CHI,2,7,57,0,0,(12:34) 1-R.WHITE LEFT GUARD TO CHI 37 FOR 6 YARDS (53-T.EDWARDS; 9-J.BRISKER).,0,2023,6,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT GUARD,43,OPP,0,,0,,0,146,0,0
2023091706,2023-09-17,1,11,58,TB,CHI,3,1,63,0,0,"(11:58) (NO HUDDLE, SHOTGUN) 1-R.WHITE UP THE MIDDLE TO CHI 34 FOR 3 YARDS (99-G.DEXTER, 49-T.EDMUNDS). PENALTY ON TB-69-C.MAUCH, OFFENSIVE HOLDING, 10 YARDS, ENFORCED AT CHI 37 - NO PLAY.",0,2023,3,NO HUDDLE SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,1,0,0,CENTER,37,OPP,1,TB,1,OFFENSIVE HOLDING,10,182,0,0
2023091706,2023-09-17,1,11,37,TB,CHI,3,11,53,1,0,(11:37) (SHOTGUN) 6-B.MAYFIELD PASS DEEP LEFT TO 13-M.EVANS TO CHI 27 FOR 20 YARDS (9-J.BRISKER).,0,2023,20,SHOTGUN,PASS,0,1,0,0,DEEP LEFT,0,0,0,,0,0,0,0,0,,47,OPP,0,,0,,0,203,0,0
2023091706,2023-09-17,1,10,51,TB,CHI,1,10,73,1,0,(10:51) 22-C.EDMONDS UP THE MIDDLE TO CHI 13 FOR 14 YARDS (49-T.EDMUNDS).,0,2023,14,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,CENTER,27,OPP,0,,0,,0,249,0,0
2023091706,2023-09-17,1,10,31,TB,CHI,1,10,87,0,0,(10:31) (NO HUDDLE) 22-C.EDMONDS LEFT GUARD TO CHI 15 FOR -2 YARDS (93-JU.JONES).,0,2023,-2,NO HUDDLE,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT GUARD,13,OPP,0,,0,,0,269,0,0
2023091706,2023-09-17,1,9,53,TB,CHI,2,12,85,0,0,(9:53) (SHOTGUN) 6-B.MAYFIELD PASS INCOMPLETE SHORT LEFT TO 14-C.GODWIN.,0,2023,0,SHOTGUN,PASS,0,1,1,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,15,OPP,0,,0,,0,307,0,0
2023091706,2023-09-17,1,9,48,TB,CHI,3,12,85,0,0,(9:48) (SHOTGUN) 6-B.MAYFIELD PASS SHORT RIGHT TO 14-C.GODWIN TO CHI 8 FOR 7 YARDS (27-G.STROMAN).,0,2023,7,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,15,OPP,0,,0,,0,312,0,0
