GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,SeriesFirstDown,NextScore,Description,TeamWin,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards,Duration,CIN,BAL
2023091702,2023-09-17,1,7,12,CIN,BAL,1,10,25,0,0,(7:12) (SHOTGUN) 9-J.BURROW PASS SHORT RIGHT TO 83-T.BOYD TO CIN 31 FOR 6 YARDS (0-R.SMITH; 29-A.WASHINGTON).,0,2023,6,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,25,OWN,0,,0,,0,468,0,0
2023091702,2023-09-17,1,7,12,CIN,BAL,0,0,100,1,0,TIMEOUT AT 07:12.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,468,0,0
2023091702,2023-09-17,1,7,12,CIN,BAL,0,0,65,1,0,"9-J.TUCKER KICKS 65 YARDS FROM BAL 35 TO END ZONE, TOUCHBACK.",0,2023,0,UNDER CENTER,KICK OFF,0,0,0,0,,0,0,0,,0,0,0,0,0,,35,OPP,0,,0,,0,468,0,0
2023091702,2023-09-17,1,7,12,BAL,CIN,0,0,85,1,0,"9-J.TUCKER EXTRA POINT IS GOOD, CENTER-69-T.OTT, HOLDER-11-J.STOUT.",0,2023,0,UNDER CENTER,EXTRA POINT,0,0,0,0,,0,0,0,,0,0,0,0,0,,15,OPP,0,,0,,0,468,0,0
2023091702,2023-09-17,1,6,35,CIN,BAL,2,4,31,0,0,"(6:35) (SHOTGUN) 28-J.MIXON LEFT GUARD TO CIN 35 FOR 4 YARDS (92-J.MADUBUIKE). PENALTY ON CIN-65-A.CAPPA, OFFENSIVE HOLDING, 10 YARDS, ENFORCED AT CIN 31 - NO PLAY.",0,2023,4,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,1,0,0,LEFT GUARD,31,OWN,1,CIN,1,OFFENSIVE HOLDING,10,505,0,0
2023091702,2023-09-17,1,6,12,CIN,BAL,2,14,21,0,0,(6:12) (SHOTGUN) 9-J.BURROW PASS SHORT LEFT TO 83-T.BOYD TO CIN 27 FOR 6 YARDS (26-G.STONE).,0,2023,6,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,21,OWN,0,,0,,0,528,0,0
2023091702,2023-09-17,1,5,27,CIN,BAL,3,8,27,0,0,(5:27) (SHOTGUN) 9-J.BURROW PASS INCOMPLETE DEEP RIGHT TO 81-I.SMITH (29-A.WASHINGTON).,0,2023,0,SHOTGUN,PASS,0,1,1,0,DEEP RIGHT,0,0,0,,0,0,0,0,0,,27,OWN,0,,0,,0,573,0,0
2023091702,2023-09-17,1,5,22,CIN,BAL,4,8,27,0,0,"(5:22) 10-B.ROBBINS PUNTS 40 YARDS TO BAL 33, CENTER-48-C.ADOMITIS, FAIR CATCH BY 13-D.DUVERNAY.",0,2023,0,PUNT,PUNT,0,0,0,0,,0,0,0,,0,0,0,0,0,,27,OWN,0,,0,,0,578,0,0
2023091702,2023-09-17,1,5,16,CIN,BAL,0,0,100,1,0,TIMEOUT AT 05:16.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,584,0,0
2023091702,2023-09-17,1,5,16,BAL,CIN,1,10,33,1,0,(5:16) (SHOTGUN) 8-L.JACKSON PASS SHORT RIGHT TO 3-O.BECKHAM TO BAL 48 FOR 15 YARDS (29-C.TAYLOR-BRITT).,0,2023,15,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,33,OWN,0,,0,,0,584,0,0
