GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,SeriesFirstDown,NextScore,Description,TeamWin,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards,Week,Duration,NE,MIA
2023091712,2023-09-17,1,6,59,MIA,NE,2,7,46,1,0,(6:59) 31-R.MOSTERT LEFT END TO NE 44 FOR 10 YARDS (5-J.PEPPERS).,0,2023,10,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT END,46,OWN,0,,0,,0,2,481,0,0
2023091712,2023-09-17,1,6,18,MIA,NE,1,10,56,0,0,(6:18) (SHOTGUN) 1-T.TAGOVAILOA PASS SHORT RIGHT TO 31-R.MOSTERT TO NE 38 FOR 6 YARDS (25-MA.JONES).,0,2023,6,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,44,OPP,0,,0,,0,2,522,0,0
2023091712,2023-09-17,1,5,42,MIA,NE,2,4,62,1,0,(5:42) (SHOTGUN) 1-T.TAGOVAILOA PASS SHORT RIGHT TO 10-T.HILL TO NE 23 FOR 15 YARDS (27-M.BRYANT).,0,2023,15,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,38,OPP,0,,0,,0,2,558,0,0
2023091712,2023-09-17,1,5,4,MIA,NE,1,10,77,1,0,(5:04) (SHOTGUN) 1-T.TAGOVAILOA PASS SHORT MIDDLE TO 26-S.AHMED TO NE 4 FOR 19 YARDS (6-C.GONZALEZ).,0,2023,19,SHOTGUN,PASS,0,1,0,0,SHORT MIDDLE,0,0,0,,0,0,0,0,0,,23,OPP,0,,0,,0,2,596,0,0
2023091712,2023-09-17,1,4,34,MIA,NE,1,4,96,0,0,(4:34) 31-R.MOSTERT UP THE MIDDLE TO NE 3 FOR 1 YARD (93-L.GUY; 30-M.MAPU).,0,2023,1,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,CENTER,4,OPP,0,,0,,0,2,626,0,0
2023091712,2023-09-17,1,3,52,MIA,NE,2,3,97,0,0,"(3:52) (SHOTGUN) 18-E.EZUKANMA LEFT TACKLE TO NE 4 FOR -1 YARDS (27-M.BRYANT, 48-JA.TAVAI).",0,2023,-1,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT TACKLE,3,OPP,0,,0,,0,2,668,0,0
2023091712,2023-09-17,1,3,8,MIA,NE,3,4,96,0,0,(3:08) (SHOTGUN) 1-T.TAGOVAILOA PASS INCOMPLETE SHORT RIGHT.,0,2023,0,SHOTGUN,PASS,0,1,1,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,4,OPP,0,,0,,0,2,712,0,0
2023091712,2023-09-17,1,3,4,MIA,NE,4,4,96,0,0,"(3:04) 7-J.SANDERS 23 YARD FIELD GOAL IS GOOD, CENTER-44-B.FERGUSON, HOLDER-16-J.BAILEY.",0,2023,0,FIELD GOAL,FIELD GOAL,0,0,0,0,,0,0,0,,0,0,0,0,0,,4,OPP,0,,0,,0,2,716,0,0
2023091712,2023-09-17,1,3,0,NE,MIA,0,0,65,1,0,"7-J.SANDERS KICKS 65 YARDS FROM MIA 35 TO END ZONE, TOUCHBACK.",0,2023,0,UNDER CENTER,KICK OFF,0,0,0,0,,0,0,0,,0,0,0,0,0,,35,OPP,0,,0,,0,2,720,0,0
2023091712,2023-09-17,1,3,0,NE,MIA,0,0,100,1,0,TIMEOUT AT 03:00.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,2,720,0,0
