GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,SeriesFirstDown,NextScore,Description,TeamWin,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards,Duration,LA,SF
2023091709,2023-09-17,1,8,25,LA,SF,1,10,75,0,0,(8:25) (SHOTGUN) 9-M.STAFFORD SCRAMBLES LEFT END TO LAR 28 FOR 3 YARDS (91-A.ARMSTEAD).,0,2023,3,SHOTGUN,SCRAMBLE,1,0,0,0,,0,0,0,,0,0,0,0,0,,25,OPP,0,,0,,0,395,0,0
2023091709,2023-09-17,1,8,25,SF,LA,0,0,85,1,0,"4-J.MOODY EXTRA POINT IS GOOD, CENTER-46-T.PEPPER, HOLDER-18-M.WISHNOWSKY.",0,2023,0,UNDER CENTER,EXTRA POINT,0,0,0,0,,0,0,0,,0,0,0,0,0,,15,OPP,0,,0,,0,395,0,0
2023091709,2023-09-17,1,7,43,LA,SF,2,7,72,0,0,(7:43) (SHOTGUN) 9-M.STAFFORD PASS SHORT LEFT TO 17-P.NACUA PUSHED OB AT LAR 34 FOR 6 YARDS (20-A.THOMAS).,0,2023,6,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,28,OPP,0,,0,,0,437,0,0
2023091709,2023-09-17,1,7,22,LA,SF,3,1,66,1,0,(7:22) 23-K.WILLIAMS UP THE MIDDLE TO LAR 36 FOR 2 YARDS (54-F.WARNER).,0,2023,2,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,CENTER,34,OPP,0,,0,,0,458,0,0
2023091709,2023-09-17,1,6,41,LA,SF,1,10,64,1,0,(6:41) (SHOTGUN) 9-M.STAFFORD PASS SHORT RIGHT TO 5-T.ATWELL RAN OB AT LAR 47 FOR 11 YARDS (7-C.WARD).,0,2023,11,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,36,OPP,0,,0,,0,499,0,0
2023091709,2023-09-17,1,6,5,LA,SF,1,10,53,1,0,(6:05) (SHOTGUN) 9-M.STAFFORD PASS SHORT MIDDLE TO 5-T.ATWELL TO SF 38 FOR 15 YARDS (20-A.THOMAS).,0,2023,15,SHOTGUN,PASS,0,1,0,0,SHORT MIDDLE,0,0,0,,0,0,0,0,0,,47,OPP,0,,0,,0,535,0,0
2023091709,2023-09-17,1,5,23,LA,SF,1,10,62,0,0,(5:23) 9-M.STAFFORD PASS SHORT LEFT TO 17-P.NACUA TO SF 33 FOR 5 YARDS (20-A.THOMAS).,0,2023,5,UNDER CENTER,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,38,OPP,0,,0,,0,577,0,0
2023091709,2023-09-17,1,4,37,LA,SF,0,0,100,1,0,TIMEOUT #1 BY LAR AT 04:37.,0,2023,0,UNDER CENTER,TIMEOUT,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,623,0,0
2023091709,2023-09-17,1,4,37,LA,SF,2,5,67,1,0,(4:37) (SHOTGUN) 23-K.WILLIAMS RIGHT END TO SF 27 FOR 6 YARDS (57-D.GREENLAW).,0,2023,6,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT END,33,OPP,0,,0,,0,623,0,0
2023091709,2023-09-17,1,3,55,LA,SF,1,10,73,0,0,"(3:55) 9-M.STAFFORD PASS SHORT MIDDLE TO 12-V.JEFFERSON TO SF 16 FOR 11 YARDS (57-D.GREENLAW). PENALTY ON LAR-89-T.HIGBEE, OFFENSIVE HOLDING, 10 YARDS, ENFORCED AT SF 27 - NO PLAY.",0,2023,11,UNDER CENTER,PASS,0,1,0,0,SHORT MIDDLE,0,0,0,,0,0,1,0,0,,27,OPP,1,LAR,1,OFFENSIVE HOLDING,10,665,0,0
2023091709,2023-09-17,1,3,22,LA,SF,1,20,63,0,0,(3:22) (SHOTGUN) 9-M.STAFFORD PASS INCOMPLETE SHORT RIGHT TO 23-K.WILLIAMS.,0,2023,0,SHOTGUN,PASS,0,1,1,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,37,OPP,0,,0,,0,698,0,0
2023091709,2023-09-17,1,3,18,LA,SF,2,20,63,0,0,(3:18) (SHOTGUN) 9-M.STAFFORD SCRAMBLES UP THE MIDDLE TO SF 30 FOR 7 YARDS (98-J.HARGRAVE; 57-D.GREENLAW).,0,2023,7,SHOTGUN,SCRAMBLE,1,0,0,0,,0,0,0,,0,0,0,0,0,,37,OPP,0,,0,,0,702,0,0
