GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,SeriesFirstDown,NextScore,Description,TeamWin,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards,Duration,PHI,MIN
2023091400,2023-09-14,1,8,20,MIN,PHI,4,9,41,0,0,"(8:20) 14-R.WRIGHT PUNTS 51 YARDS TO PHI 8, CENTER-42-A.DEPAOLA. 18-B.COVEY TO PHI 16 FOR 8 YARDS (45-T.DYE). FUMBLES (45-T.DYE), RECOVERED BY PHI-22-K.RINGO AT PHI 10.",0,2023,0,PUNT,PUNT,0,0,0,0,,0,0,0,,0,1,0,0,0,,41,OWN,0,,0,,0,400,0,0
2023091400,2023-09-14,1,8,8,PHI,MIN,1,10,10,0,0,(8:08) (SHOTGUN) 1-J.HURTS PASS INCOMPLETE DEEP RIGHT TO 88-D.GOEDERT.,0,2023,0,SHOTGUN,PASS,0,1,1,0,DEEP RIGHT,0,0,0,,0,0,0,0,0,,10,OWN,0,,0,,0,412,0,0
2023091400,2023-09-14,1,8,8,PHI,MIN,0,0,100,1,0,TIMEOUT AT 08:08.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,412,0,0
2023091400,2023-09-14,1,8,2,PHI,MIN,2,10,10,0,0,(8:02) (SHOTGUN) 1-J.HURTS PASS SHORT RIGHT TO 88-D.GOEDERT TO PHI 16 FOR 6 YARDS (22-H.SMITH).,0,2023,6,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,10,OWN,0,,0,,0,418,0,0
2023091400,2023-09-14,1,7,24,PHI,MIN,3,4,16,0,0,"(7:24) (SHOTGUN) PENALTY ON PHI-65-L.JOHNSON, FALSE START, 5 YARDS, ENFORCED AT PHI 16 - NO PLAY.",0,2023,0,SHOTGUN,NO PLAY,0,0,0,0,,0,0,0,,0,0,1,0,0,,16,OWN,1,PHI,1,FALSE START,5,456,0,0
2023091400,2023-09-14,1,7,2,PHI,MIN,3,9,11,0,0,"(7:02) (SHOTGUN) 1-J.HURTS SCRAMBLES RIGHT TACKLE TO PHI 14 FOR 3 YARDS (98-D.WONNUM, 58-J.HICKS).",0,2023,3,SHOTGUN,SCRAMBLE,1,0,0,0,,0,0,0,,0,0,0,0,0,,11,OWN,0,,0,,0,478,0,0
2023091400,2023-09-14,1,6,23,PHI,MIN,4,6,14,0,0,"(6:23) 10-A.SIPOSS PUNTS 40 YARDS TO MIN 46, CENTER-45-R.LOVATO. 4-B.POWELL TO PHI 34 FOR 20 YARDS (30-J.EVANS). FUMBLES (30-J.EVANS), RECOVERED BY PHI-41-N.MORROW AT PHI 27.",0,2023,0,PUNT,PUNT,0,0,0,0,,0,0,0,,0,1,0,0,0,,14,OWN,0,,0,,0,517,0,0
2023091400,2023-09-14,1,6,9,PHI,MIN,1,10,27,0,0,(6:09) (SHOTGUN) 0-D.SWIFT LEFT GUARD TO PHI 34 FOR 7 YARDS (22-H.SMITH).,0,2023,7,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT GUARD,27,OWN,0,,0,,0,531,0,0
2023091400,2023-09-14,1,5,44,PHI,MIN,2,3,34,1,0,"(5:44) (NO HUDDLE, SHOTGUN) 0-D.SWIFT RIGHT GUARD TO PHI 38 FOR 4 YARDS (24-C.BYNUM, 40-I.PACE).",0,2023,4,NO HUDDLE SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT GUARD,34,OWN,0,,0,,0,556,0,0
2023091400,2023-09-14,1,5,16,PHI,MIN,1,10,38,1,0,"(5:16) (NO HUDDLE, SHOTGUN) 0-D.SWIFT RIGHT END TO 50 FOR 12 YARDS (58-J.HICKS).",0,2023,12,NO HUDDLE SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT END,38,OWN,0,,0,,0,584,0,0
