GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,SeriesFirstDown,NextScore,Description,TeamWin,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards,Week,Duration,PIT,CLE
2023091801,2023-09-18,1,10,2,CLE,PIT,2,7,76,0,0,"(10:02) 24-N.CHUBB UP THE MIDDLE TO PIT 17 FOR 7 YARDS (44-M.GOLDEN). PENALTY ON CLE-79-D.JONES, OFFENSIVE HOLDING, 10 YARDS, ENFORCED AT PIT 24 - NO PLAY.",0,2023,7,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,1,0,0,CENTER,24,OPP,1,CLE,1,OFFENSIVE HOLDING,10,2,298,0,0
2023091801,2023-09-18,1,9,35,CLE,PIT,2,17,66,0,0,"(9:35) (SHOTGUN) 24-N.CHUBB RIGHT GUARD TO PIT 25 FOR 9 YARDS (23-D.KAZEE, 55-C.HOLCOMB).",0,2023,9,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT GUARD,34,OPP,0,,0,,0,2,325,0,0
2023091801,2023-09-18,1,8,55,CLE,PIT,3,8,75,0,0,(8:55) (SHOTGUN) 4-D.WATSON PASS INCOMPLETE SHORT RIGHT TO 8-E.MOORE (24-J.PORTER).,0,2023,0,SHOTGUN,PASS,0,1,1,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,25,OPP,0,,0,,0,2,365,0,0
2023091801,2023-09-18,1,8,50,CLE,PIT,4,8,75,0,0,"(8:50) 7-D.HOPKINS 43 YARD FIELD GOAL IS GOOD, CENTER-47-C.HUGHLETT, HOLDER-13-C.BOJORQUEZ.",0,2023,0,FIELD GOAL,FIELD GOAL,0,0,0,0,,0,0,0,,0,0,0,0,0,,25,OPP,0,,0,,0,2,370,0,0
2023091801,2023-09-18,1,8,46,PIT,CLE,1,10,9,0,0,(8:46) (SHOTGUN) 8-K.PICKETT PASS SHORT RIGHT TO 11-A.ROBINSON RAN OB AT PIT 16 FOR 7 YARDS.,0,2023,7,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,9,OWN,0,,0,,0,2,374,0,0
2023091801,2023-09-18,1,8,46,PIT,CLE,0,0,65,1,0,7-D.HOPKINS KICKS 56 YARDS FROM CLE 35 TO PIT 9. 89-G.OLSZEWSKI RAN OB AT PIT 9 FOR NO GAIN.,0,2023,0,UNDER CENTER,KICK OFF,0,0,0,0,,0,0,0,,0,0,0,0,0,,35,OPP,0,,0,,0,2,374,0,0
2023091801,2023-09-18,1,8,46,PIT,CLE,0,0,100,1,0,TIMEOUT AT 08:46.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,2,374,0,0
2023091801,2023-09-18,1,8,16,PIT,CLE,2,3,16,0,0,(8:16) (SHOTGUN) 8-K.PICKETT PASS INCOMPLETE SHORT MIDDLE TO 11-A.ROBINSON (21-D.WARD).,0,2023,0,SHOTGUN,PASS,0,1,1,0,SHORT MIDDLE,0,0,0,,0,0,0,0,0,,16,OWN,0,,0,,0,2,404,0,0
2023091801,2023-09-18,1,8,12,PIT,CLE,3,3,16,0,0,(8:12) (SHOTGUN) 8-K.PICKETT PASS SHORT LEFT INTENDED FOR 14-G.PICKENS INTERCEPTED BY 22-G.DELPIT AT PIT 19. 22-G.DELPIT TO PIT 19 FOR NO GAIN (19-C.AUSTIN).,0,2023,0,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,1,0,0,0,0,,16,OWN,0,,0,,0,2,408,0,0
2023091801,2023-09-18,1,8,7,CLE,PIT,1,10,81,0,0,(8:07) (SHOTGUN) 4-D.WATSON SACKED AT PIT 26 FOR -7 YARDS (99-L.OGUNJOBI).,0,2023,-7,SHOTGUN,SACK,0,0,0,0,,1,0,0,,0,0,0,0,0,,19,OPP,0,,0,,0,2,413,0,0
2023091801,2023-09-18,1,7,28,CLE,PIT,2,17,74,0,0,"(7:28) (SHOTGUN) 4-D.WATSON PASS SHORT MIDDLE TO 85-D.NJOKU TO PIT 25 FOR 1 YARD (39-M.FITZPATRICK, 34-C.SULLIVAN).",0,2023,1,SHOTGUN,PASS,0,1,0,0,SHORT MIDDLE,0,0,0,,0,0,0,0,0,,26,OPP,0,,0,,0,2,452,0,0
2023091801,2023-09-18,1,6,47,CLE,PIT,3,16,75,0,0,(6:47) (SHOTGUN) 4-D.WATSON PASS INCOMPLETE SHORT LEFT TO 8-E.MOORE [99-L.OGUNJOBI].,0,2023,0,SHOTGUN,PASS,0,1,1,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,25,OPP,0,,0,,0,2,493,0,0
2023091801,2023-09-18,1,6,42,CLE,PIT,4,16,75,0,0,"(6:42) 7-D.HOPKINS 43 YARD FIELD GOAL IS NO GOOD, WIDE LEFT, CENTER-47-C.HUGHLETT, HOLDER-13-C.BOJORQUEZ.",0,2023,0,FIELD GOAL,FIELD GOAL,0,0,0,0,,0,0,0,,0,0,0,0,0,,25,OPP,0,,0,,0,2,498,0,0
2023091801,2023-09-18,1,6,38,PIT,CLE,0,0,100,1,0,TIMEOUT AT 06:38.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,2,502,0,0
2023091801,2023-09-18,1,6,38,PIT,CLE,1,10,33,0,0,(6:38) (SHOTGUN) 22-N.HARRIS RIGHT END TO PIT 30 FOR -3 YARDS (6-J.OWUSU-KORAMOAH).,0,2023,-3,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT END,33,OWN,0,,0,,0,2,502,0,0
2023091801,2023-09-18,1,6,4,PIT,CLE,2,13,30,0,0,(6:04) 22-N.HARRIS LEFT END TO PIT 30 FOR NO GAIN (0-G.NEWSOME).,0,2023,0,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT END,30,OWN,0,,0,,0,2,536,0,0
2023091801,2023-09-18,1,5,23,PIT,CLE,3,13,30,0,0,"(5:23) (SHOTGUN) PENALTY ON PIT-76-C.OKORAFOR, FALSE START, 5 YARDS, ENFORCED AT PIT 30 - NO PLAY.",0,2023,0,SHOTGUN,NO PLAY,0,0,0,0,,0,0,0,,0,0,1,0,0,,30,OWN,1,PIT,1,FALSE START,5,2,577,0,0
2023091801,2023-09-18,1,5,8,PIT,CLE,3,18,25,0,0,"(5:08) (SHOTGUN) 8-K.PICKETT PASS SHORT RIGHT TO 30-J.WARREN TO PIT 40 FOR 15 YARDS (21-D.WARD, 1-J.THORNHILL).",0,2023,15,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,25,OWN,0,,0,,0,2,592,0,0
2023091801,2023-09-18,1,4,25,PIT,CLE,4,3,40,0,0,"(4:25) 6-P.HARVIN PUNTS 55 YARDS TO CLE 5, CENTER-46-C.KUNTZ, DOWNED BY PIT-42-J.PIERRE.",0,2023,0,PUNT,PUNT,0,0,0,0,,0,0,0,,0,0,0,0,0,,40,OWN,0,,0,,0,2,635,0,0
2023091801,2023-09-18,1,4,14,PIT,CLE,0,0,100,1,0,TIMEOUT AT 04:14.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,2,646,0,0
2023091801,2023-09-18,1,4,14,CLE,PIT,1,10,5,0,0,"(4:14) 24-N.CHUBB RIGHT GUARD TO CLE 12 FOR 7 YARDS (20-P.PETERSON, 95-K.BENTON).",0,2023,7,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT GUARD,5,OWN,0,,0,,0,2,646,0,0
2023091801,2023-09-18,1,3,35,CLE,PIT,2,3,12,0,0,(3:35) 24-N.CHUBB RIGHT GUARD TO CLE 11 FOR -1 YARDS (90-T.WATT).,0,2023,-1,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT GUARD,12,OWN,0,,0,,0,2,685,0,0
2023091801,2023-09-18,1,2,56,CLE,PIT,3,4,11,0,0,"(2:56) (SHOTGUN) 4-D.WATSON PASS DEEP RIGHT TO 2-A.COOPER TO CLE 28 FOR 17 YARDS (20-P.PETERSON). PENALTY ON PIT-20-P.PETERSON, DEFENSIVE PASS INTERFERENCE, DECLINED.",0,2023,17,SHOTGUN,PASS,0,1,0,0,DEEP RIGHT,0,0,0,,0,0,1,0,0,,11,OWN,0,PIT,0,DEFENSIVE PASS INTERFERENCE,0,2,724,0,0
2023091801,2023-09-18,1,2,41,CLE,PIT,1,10,28,1,0,(2:41) (SHOTGUN) 24-N.CHUBB UP THE MIDDLE TO CLE 48 FOR 20 YARDS (23-D.KAZEE).,0,2023,20,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,CENTER,28,OWN,0,,0,,0,2,739,0,0
2023091801,2023-09-18,1,1,59,CLE,PIT,1,10,48,0,0,(1:59) 24-N.CHUBB LEFT GUARD TO PIT 43 FOR 9 YARDS (23-D.KAZEE).,0,2023,9,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT GUARD,48,OWN,0,,0,,0,2,781,0,0
2023091801,2023-09-18,1,1,17,CLE,PIT,2,1,57,0,0,"(1:17) 68-M.DUNN REPORTED IN AS ELIGIBLE.  34-J.FORD RIGHT TACKLE TO PIT 43 FOR NO GAIN (98-D.LEAL, 57-M.ADAMS).",0,2023,0,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT TACKLE,43,OPP,0,,0,,0,2,823,0,0
2023091801,2023-09-18,1,0,32,CLE,PIT,3,1,57,0,0,(:32) 4-D.WATSON PASS INCOMPLETE SHORT LEFT TO 8-E.MOORE (31-K.NEAL) [56-A.HIGHSMITH].,0,2023,0,UNDER CENTER,PASS,0,1,1,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,43,OPP,0,,0,,0,2,868,0,0
2023091801,2023-09-18,1,0,25,CLE,PIT,4,1,57,1,0,"(:25) 68-M.DUNN REPORTED IN AS ELIGIBLE.  4-D.WATSON LEFT GUARD TO PIT 42 FOR 1 YARD (99-L.OGUNJOBI, 90-T.WATT). PITTSBURGH CHALLENGED THE FIRST DOWN RULING, AND THE PLAY WAS REVERSED. 68-M.DUNN REPORTED IN AS ELIGIBLE.  4-D.WATSON LEFT GUARD TO PIT 42 FOR 1 YARD (99-L.OGUNJOBI, 57-M.ADAMS). FUMBLES (57-M.ADAMS), RECOVERED BY PIT-99-L.OGUNJOBI AT PIT 42.",0,2023,1,UNDER CENTER,RUSH,1,0,0,0,,0,1,1,,0,1,0,0,0,LEFT GUARD,43,OPP,0,,0,,0,2,875,0,0
2023091801,2023-09-18,1,0,22,PIT,CLE,1,15,37,0,0,"(:22) (SHOTGUN) 8-K.PICKETT PASS SHORT RIGHT TO 89-G.OLSZEWSKI TO PIT 36 FOR -1 YARDS (21-D.WARD). FUMBLES (21-D.WARD), RECOVERED BY CLE-22-G.DELPIT AT PIT 37. 22-G.DELPIT TO PIT 23 FOR 14 YARDS (88-P.FREIERMUTH). FUMBLES (88-P.FREIERMUTH), TOUCHED AT PIT 14, BALL OUT OF BOUNDS AT PIT 9.",0,2023,-1,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,1,0,0,0,,37,OWN,0,,0,,0,2,878,0,0
2023091801,2023-09-18,1,0,22,PIT,CLE,1,10,42,0,0,"(:22) PENALTY ON PIT-76-C.OKORAFOR, FALSE START, 5 YARDS, ENFORCED AT PIT 42 - NO PLAY.",0,2023,0,UNDER CENTER,NO PLAY,0,0,0,0,,0,0,0,,0,0,1,0,0,,42,OWN,1,PIT,1,FALSE START,5,2,878,0,0
2023091801,2023-09-18,1,0,8,CLE,PIT,1,10,77,0,0,(:08) 24-N.CHUBB RIGHT GUARD TO PIT 20 FOR 3 YARDS (56-A.HIGHSMITH).,0,2023,3,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT GUARD,23,OPP,0,,0,,0,2,892,0,0
2023091801,2023-09-18,2,15,0,CLE,PIT,2,7,80,1,0,(15:00) (SHOTGUN) 4-D.WATSON PASS SHORT MIDDLE TO 2-A.COOPER TO PIT 8 FOR 12 YARDS (31-K.NEAL).,0,2023,12,SHOTGUN,PASS,0,1,0,0,SHORT MIDDLE,0,0,0,,0,0,0,0,0,,20,OPP,0,,0,,0,2,900,0,0
2023091801,2023-09-18,1,0,0,CLE,PIT,0,0,100,1,0,END QUARTER 1,0,2023,0,,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,2,900,0,0
