GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,SeriesFirstDown,NextScore,Description,TeamWin,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards,Duration,GB,ATL
2023091700,2023-09-17,1,15,0,GB,ATL,0,0,65,1,0,"13-B.PINION KICKS 65 YARDS FROM ATL 35 TO END ZONE, TOUCHBACK.",0,2023,0,UNDER CENTER,KICK OFF,0,0,0,0,,0,0,0,,0,0,0,0,0,,35,OPP,0,,0,,0,0,0,0
2023091700,2023-09-17,1,15,0,GB,ATL,1,10,25,0,0,"(15:00) (SHOTGUN) 10-J.LOVE PASS INCOMPLETE DEEP MIDDLE TO 13-D.WICKS. PENALTY ON ATL-24-A.TERRELL, DEFENSIVE PASS INTERFERENCE, 44 YARDS, ENFORCED AT GB 25 - NO PLAY.",0,2023,0,SHOTGUN,PASS,0,1,1,0,DEEP MIDDLE,0,0,0,,0,0,1,0,0,,25,OWN,1,ATL,1,DEFENSIVE PASS INTERFERENCE,44,0,0,0
2023091700,2023-09-17,1,14,53,GB,ATL,1,10,69,0,0,(14:53) (SHOTGUN) 28-A.DILLON RIGHT GUARD TO ATL 28 FOR 3 YARDS (90-D.ONYEMATA; 97-G.JARRETT).,0,2023,3,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT GUARD,31,OPP,0,,0,,0,7,0,0
2023091700,2023-09-17,1,14,9,GB,ATL,2,7,72,0,0,(14:09) (SHOTGUN) 10-J.LOVE PASS INCOMPLETE DEEP LEFT TO 88-L.MUSGRAVE.,0,2023,0,SHOTGUN,PASS,0,1,1,0,DEEP LEFT,0,0,0,,0,0,0,0,0,,28,OPP,0,,0,,0,51,0,0
2023091700,2023-09-17,1,14,6,GB,ATL,3,7,72,0,0,"(14:06) (SHOTGUN) PENALTY ON GB-63-R.WALKER, FALSE START, 5 YARDS, ENFORCED AT ATL 28 - NO PLAY.",0,2023,0,SHOTGUN,NO PLAY,0,0,0,0,,0,0,0,,0,0,1,0,0,,28,OPP,1,GB,1,FALSE START,5,54,0,0
2023091700,2023-09-17,1,14,6,GB,ATL,3,12,67,0,0,(14:06) (SHOTGUN) 10-J.LOVE PASS INCOMPLETE SHORT LEFT TO 11-J.REED (90-D.ONYEMATA).,0,2023,0,SHOTGUN,PASS,0,1,1,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,33,OPP,0,,0,,0,54,0,0
2023091700,2023-09-17,1,14,2,GB,ATL,4,17,62,0,0,"(14:02) 19-D.WHELAN PUNTS 38 YARDS TO END ZONE, CENTER-42-M.ORZECH, TOUCHBACK.",0,2023,0,PUNT,PUNT,0,0,0,0,,0,0,0,,0,0,0,0,0,,38,OPP,0,,0,,0,58,0,0
2023091700,2023-09-17,1,13,54,ATL,GB,1,10,20,0,0,(13:54) (SHOTGUN) 9-D.RIDDER PASS SHORT RIGHT TO 5-D.LONDON TO ATL 29 FOR 9 YARDS (97-K.CLARK; 7-Q.WALKER).,0,2023,9,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,20,OWN,0,,0,,0,66,0,0
2023091700,2023-09-17,1,13,54,ATL,GB,0,0,100,1,0,TIMEOUT AT 13:54.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,66,0,0
2023091700,2023-09-17,1,13,20,ATL,GB,2,1,29,1,0,(13:20) (SHOTGUN) 7-B.ROBINSON LEFT END TO ATL 36 FOR 7 YARDS (59-D.CAMPBELL; 7-Q.WALKER).,0,2023,7,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT END,29,OWN,0,,0,,0,100,0,0
2023091700,2023-09-17,1,12,39,ATL,GB,1,10,36,0,0,(12:39) (SHOTGUN) 9-D.RIDDER PASS DEEP MIDDLE INTENDED FOR 81-J.SMITH INTERCEPTED BY 29-R.DOUGLAS [97-K.CLARK] AT GB 42. 29-R.DOUGLAS TO GB 40 FOR -2 YARDS (8-K.PITTS).,0,2023,-2,SHOTGUN,PASS,0,1,0,0,DEEP MIDDLE,0,0,0,,1,0,0,0,0,,36,OWN,0,,0,,0,141,0,0
2023091700,2023-09-17,1,12,30,GB,ATL,1,10,40,0,0,(12:30) (SHOTGUN) 63-R.WALKER REPORTED IN AS ELIGIBLE.  28-A.DILLON LEFT END TO GB 44 FOR 4 YARDS (96-Z.HARRISON; 17-A.EBIKETIE).,0,2023,4,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT END,40,OWN,0,,0,,0,150,0,0
2023091700,2023-09-17,1,11,51,GB,ATL,2,6,44,0,0,(11:51) 31-EM.WILSON LEFT END TO GB 39 FOR -5 YARDS (53-N.LANDMAN).,0,2023,-5,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT END,44,OWN,0,,0,,0,189,0,0
