GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,SeriesFirstDown,NextScore,Description,TeamWin,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards,Duration,SEA,DET
2023091703,2023-09-17,1,15,0,SEA,DET,0,0,65,1,0,"3-J.FOX KICKS 65 YARDS FROM DET 35 TO END ZONE, TOUCHBACK.",0,2023,0,UNDER CENTER,KICK OFF,0,0,0,0,,0,0,0,,0,0,0,0,0,,35,OPP,0,,0,,0,0,0,0
2023091703,2023-09-17,1,15,0,SEA,DET,1,10,25,1,0,(15:00) 9-K.WALKER LEFT TACKLE PUSHED OB AT SEA 39 FOR 14 YARDS (31-K.JOSEPH).,0,2023,14,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT TACKLE,25,OWN,0,,0,,0,0,0,0
2023091703,2023-09-17,1,14,36,SEA,DET,1,10,39,0,0,"(14:36) (NO HUDDLE, SHOTGUN) 9-K.WALKER UP THE MIDDLE TO SEA 40 FOR 1 YARD (1-C.SUTTON).",0,2023,1,NO HUDDLE SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,CENTER,39,OWN,0,,0,,0,24,0,0
2023091703,2023-09-17,1,14,4,SEA,DET,2,9,40,0,0,(14:04) (SHOTGUN) 7-G.SMITH PASS SHORT LEFT TO 11-J.SMITH-NJIGBA RAN OB AT SEA 47 FOR 7 YARDS.,0,2023,7,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,40,OWN,0,,0,,0,56,0,0
2023091703,2023-09-17,1,13,31,SEA,DET,3,2,47,0,0,"(13:31) (SHOTGUN) PENALTY ON DET, DEFENSIVE TOO MANY MEN ON FIELD, 5 YARDS, ENFORCED AT SEA 47 - NO PLAY.",0,2023,0,SHOTGUN,NO PLAY,0,0,0,0,,0,0,0,,0,0,1,0,0,,47,OWN,1,DET,1,DEFENSIVE TOO MANY MEN ON FIELD,5,89,0,0
2023091703,2023-09-17,1,13,7,SEA,DET,1,10,52,0,0,(13:07) 9-K.WALKER LEFT TACKLE TO DET 48 FOR NO GAIN (55-D.BARNES).,0,2023,0,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT TACKLE,48,OPP,0,,0,,0,113,0,0
2023091703,2023-09-17,1,12,24,SEA,DET,2,10,52,1,0,(12:24) (SHOTGUN) 7-G.SMITH PASS SHORT LEFT TO 9-K.WALKER PUSHED OB AT DET 37 FOR 11 YARDS (23-J.JACOBS).,0,2023,11,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,48,OPP,0,,0,,0,156,0,0
2023091703,2023-09-17,1,11,45,SEA,DET,1,10,63,1,0,(11:45) (SHOTGUN) 7-G.SMITH PASS SHORT LEFT TO 14-D.METCALF TO DET 19 FOR 18 YARDS (2-C.GARDNER-JOHNSON).,0,2023,18,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,37,OPP,0,,0,,0,195,0,0
2023091703,2023-09-17,1,11,6,SEA,DET,1,10,81,0,0,(11:06) 9-K.WALKER LEFT END TO DET 18 FOR 1 YARD (55-D.BARNES).,0,2023,1,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT END,19,OPP,0,,0,,0,234,0,0
2023091703,2023-09-17,1,10,33,SEA,DET,2,9,82,0,0,"(10:33) (NO HUDDLE, SHOTGUN) PENALTY ON SEA-89-W.DISSLY, FALSE START, 5 YARDS, ENFORCED AT DET 18 - NO PLAY.",0,2023,0,NO HUDDLE SHOTGUN,NO PLAY,0,0,0,0,,0,0,0,,0,0,1,0,0,,18,OPP,1,SEA,1,FALSE START,5,267,0,0
2023091703,2023-09-17,1,10,9,SEA,DET,2,14,77,0,0,"(10:09) (SHOTGUN) 7-G.SMITH PASS SHORT LEFT TO 89-W.DISSLY TO DET 17 FOR 6 YARDS (34-A.ANZALONE, 23-J.JACOBS).",0,2023,6,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,23,OPP,0,,0,,0,291,0,0
2023091703,2023-09-17,1,9,28,SEA,DET,3,8,83,1,0,"(9:28) (SHOTGUN) 7-G.SMITH PASS SHORT LEFT TO 14-D.METCALF TO DET 1 FOR 16 YARDS (23-J.JACOBS, 31-K.JOSEPH).",0,2023,16,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,17,OPP,0,,0,,0,332,0,0
2023091703,2023-09-17,1,8,55,SEA,DET,1,1,99,0,0,"(8:55) (NO HUDDLE, SHOTGUN) PENALTY ON SEA-60-P.HAYNES, FALSE START, 4 YARDS, ENFORCED AT DET 1 - NO PLAY.",0,2023,0,NO HUDDLE SHOTGUN,NO PLAY,0,0,0,0,,0,0,0,,0,0,1,0,0,,1,OPP,1,SEA,1,FALSE START,4,365,0,0
2023091703,2023-09-17,1,8,30,SEA,DET,1,5,95,0,0,"(8:30) 9-K.WALKER LEFT TACKLE TO DET 10 FOR -5 YARDS (2-C.GARDNER-JOHNSON). PENALTY ON DET-2-C.GARDNER-JOHNSON, UNNECESSARY ROUGHNESS, 5 YARDS, ENFORCED AT DET 10.",0,2023,-5,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,1,0,0,LEFT TACKLE,5,OPP,1,DET,0,UNNECESSARY ROUGHNESS,5,390,0,0
2023091703,2023-09-17,1,7,54,SEA,DET,1,5,95,0,0,"(7:54) (SHOTGUN) 7-G.SMITH PASS INCOMPLETE SHORT LEFT TO 16-T.LOCKETT. DET-2-C.GARDNER-JOHNSON WAS INJURED DURING THE PLAY.  PENALTY ON DET-23-J.JACOBS, DEFENSIVE PASS INTERFERENCE, 4 YARDS, ENFORCED AT DET 5 - NO PLAY.",0,2023,0,SHOTGUN,PASS,0,1,1,0,SHORT LEFT,0,0,0,,0,0,1,0,0,,5,OPP,1,DET,1,DEFENSIVE PASS INTERFERENCE,4,426,0,0
2023091703,2023-09-17,1,7,49,SEA,DET,1,1,99,0,0,(7:49) 9-K.WALKER LEFT TACKLE TO DET 1 FOR NO GAIN (34-A.ANZALONE).,0,2023,0,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT TACKLE,1,OPP,0,,0,,0,431,0,0
2023091703,2023-09-17,1,7,7,SEA,DET,2,1,99,1,0,"(7:07) (SHOTGUN) 9-K.WALKER UP THE MIDDLE FOR 1 YARD, TOUCHDOWN.",0,2023,1,SHOTGUN,RUSH,1,0,0,1,,0,0,0,,0,0,0,0,0,CENTER,1,OPP,0,,0,,0,473,0,0
2023091703,2023-09-17,1,7,4,DET,SEA,0,0,65,1,0,"5-J.MYERS KICKS 65 YARDS FROM SEA 35 TO END ZONE, TOUCHBACK.",0,2023,0,UNDER CENTER,KICK OFF,0,0,0,0,,0,0,0,,0,0,0,0,0,,35,OPP,0,,0,,0,476,0,0
2023091703,2023-09-17,1,7,4,DET,SEA,0,0,100,1,0,TIMEOUT AT 07:04.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,476,0,0
2023091703,2023-09-17,1,7,4,SEA,DET,0,0,85,1,0,"5-J.MYERS EXTRA POINT IS GOOD, CENTER-41-C.STOLL, HOLDER-4-M.DICKSON.",0,2023,0,UNDER CENTER,EXTRA POINT,0,0,0,0,,0,0,0,,0,0,0,0,0,,15,OPP,0,,0,,0,476,0,0
