GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,SeriesFirstDown,NextScore,Description,TeamWin,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards,Duration,HOU,IND
2023091704,2023-09-17,1,10,44,IND,HOU,0,0,85,1,0,"7-M.GAY EXTRA POINT IS GOOD, CENTER-46-L.RHODES, HOLDER-8-R.SANCHEZ.",0,2023,0,UNDER CENTER,EXTRA POINT,0,0,0,0,,0,0,0,,0,0,0,0,0,,15,OPP,0,,0,,0,256,0,0
2023091704,2023-09-17,1,10,41,HOU,IND,1,10,18,0,0,(10:41) 31-D.PIERCE LEFT TACKLE TO HOU 15 FOR -3 YARDS (52-S.EBUKAM).,0,2023,-3,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT TACKLE,18,OWN,0,,0,,0,259,0,0
2023091704,2023-09-17,1,10,1,HOU,IND,2,13,15,0,0,(10:01) (SHOTGUN) 7-C.STROUD PASS SHORT LEFT TO 3-N.DELL TO HOU 23 FOR 8 YARDS (33-D.FLOWERS).,0,2023,8,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,15,OWN,0,,0,,0,299,0,0
2023091704,2023-09-17,1,9,23,HOU,IND,3,5,23,0,0,"(9:23) (SHOTGUN) 7-C.STROUD SACKED AT HOU 14 FOR -9 YARDS (52-S.EBUKAM). INDIANAPOLIS CHALLENGED THE RUNNER WAS DOWN BY CONTACT RULING, AND THE PLAY WAS REVERSED. (SHOTGUN) 7-C.STROUD SACKED AT HOU 14 FOR -9 YARDS (52-S.EBUKAM). FUMBLES (52-S.EBUKAM) [52-S.EBUKAM], RECOVERED BY IND-51-K.PAYE AT HOU 15. FUMBLE FORCED BY IND-54-D.ODEYINGBO.",0,2023,-9,SHOTGUN,SACK,0,0,0,0,,1,1,1,,0,1,0,0,0,,23,OWN,0,,0,,0,337,0,0
2023091704,2023-09-17,1,9,18,HOU,IND,0,0,100,1,0,TIMEOUT AT 09:18.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,342,0,0
2023091704,2023-09-17,1,9,18,IND,HOU,1,10,85,1,0,"(9:18) (SHOTGUN) 5-A.RICHARDSON RIGHT END FOR 15 YARDS, TOUCHDOWN.",0,2023,15,SHOTGUN,RUSH,1,0,0,1,,0,0,0,,0,0,0,0,0,RIGHT END,15,OPP,0,,0,,0,342,0,0
2023091704,2023-09-17,1,9,13,HOU,IND,0,0,65,1,0,7-M.GAY KICKS 57 YARDS FROM IND 35 TO HOU 8. 26-D.SINGLETARY TO HOU 32 FOR 24 YARDS (50-S.OLUBI).,0,2023,0,UNDER CENTER,KICK OFF,0,0,0,0,,0,0,0,,0,0,0,0,0,,35,OPP,0,,0,,0,347,0,0
2023091704,2023-09-17,1,9,13,IND,HOU,0,0,85,1,0,"7-M.GAY EXTRA POINT IS GOOD, CENTER-46-L.RHODES, HOLDER-8-R.SANCHEZ.",0,2023,0,UNDER CENTER,EXTRA POINT,0,0,0,0,,0,0,0,,0,0,0,0,0,,15,OPP,0,,0,,0,347,0,0
2023091704,2023-09-17,1,9,8,HOU,IND,1,10,32,0,0,(9:08) 31-D.PIERCE LEFT TACKLE TO HOU 33 FOR 1 YARD (90-G.STEWART).,0,2023,1,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT TACKLE,32,OWN,0,,0,,0,352,0,0
2023091704,2023-09-17,1,8,37,HOU,IND,2,9,33,0,0,(8:37) 31-D.PIERCE LEFT TACKLE TO HOU 38 FOR 5 YARDS (54-D.ODEYINGBO; 32-J.BLACKMON).,0,2023,5,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT TACKLE,33,OWN,0,,0,,0,383,0,0
2023091704,2023-09-17,1,7,58,HOU,IND,3,4,38,1,0,(7:58) (SHOTGUN) 7-C.STROUD PASS SHORT MIDDLE TO 12-N.COLLINS TO IND 34 FOR 28 YARDS (25-R.THOMAS).,0,2023,28,SHOTGUN,PASS,0,1,0,0,SHORT MIDDLE,0,0,0,,0,0,0,0,0,,38,OWN,0,,0,,0,422,0,0
2023091704,2023-09-17,1,7,28,HOU,IND,1,10,66,0,0,"(7:28) (NO HUDDLE, SHOTGUN) 7-C.STROUD PASS SHORT RIGHT TO 3-N.DELL PUSHED OB AT IND 25 FOR 9 YARDS (39-D.BAKER).",0,2023,9,NO HUDDLE SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,34,OPP,0,,0,,0,452,0,0
2023091704,2023-09-17,1,6,54,HOU,IND,2,1,75,0,0,(6:54) 7-C.STROUD PASS INCOMPLETE SHORT RIGHT [90-G.STEWART].,0,2023,0,UNDER CENTER,PASS,0,1,1,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,25,OPP,0,,0,,0,486,0,0
2023091704,2023-09-17,1,6,48,HOU,IND,3,1,75,1,0,(6:48) 47-A.BECK UP THE MIDDLE TO IND 23 FOR 2 YARDS (94-TY.LEWIS).,0,2023,2,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,CENTER,25,OPP,0,,0,,0,492,0,0
2023091704,2023-09-17,1,6,12,HOU,IND,1,10,77,0,0,(6:12) 31-D.PIERCE LEFT END PUSHED OB AT IND 19 FOR 4 YARDS (45-E.SPEED).,0,2023,4,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT END,23,OPP,0,,0,,0,528,0,0
2023091704,2023-09-17,1,5,32,HOU,IND,2,6,81,0,0,(5:32) (SHOTGUN) 7-C.STROUD PASS INCOMPLETE SHORT RIGHT TO 2-R.WOODS.,0,2023,0,SHOTGUN,PASS,0,1,1,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,19,OPP,0,,0,,0,568,0,0
2023091704,2023-09-17,1,5,27,HOU,IND,3,6,81,0,0,(5:27) (SHOTGUN) 7-C.STROUD PASS SHORT MIDDLE TO 2-R.WOODS TO IND 14 FOR 5 YARDS (45-E.SPEED).,0,2023,5,SHOTGUN,PASS,0,1,0,0,SHORT MIDDLE,0,0,0,,0,0,0,0,0,,19,OPP,0,,0,,0,573,0,0
2023091704,2023-09-17,1,5,4,HOU,IND,4,1,86,1,0,(5:04) (NO HUDDLE) 33-D.OGUNBOWALE UP THE MIDDLE TO IND 12 FOR 2 YARDS (44-Z.FRANKLIN).,0,2023,2,NO HUDDLE,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,CENTER,14,OPP,0,,0,,0,596,0,0
2023091704,2023-09-17,1,4,22,HOU,IND,1,10,88,0,0,(4:22) 31-D.PIERCE RIGHT GUARD TO IND 13 FOR -1 YARDS (45-E.SPEED).,0,2023,-1,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT GUARD,12,OPP,0,,0,,0,638,0,0
2023091704,2023-09-17,1,3,42,HOU,IND,2,11,87,0,0,"(3:42) (SHOTGUN) PENALTY ON IND-94-TY.LEWIS, NEUTRAL ZONE INFRACTION, 5 YARDS, ENFORCED AT IND 13 - NO PLAY.",0,2023,0,SHOTGUN,NO PLAY,0,0,0,0,,0,0,0,,0,0,1,0,0,,13,OPP,1,IND,1,NEUTRAL ZONE INFRACTION,5,678,0,0
2023091704,2023-09-17,1,3,30,HOU,IND,2,6,92,0,0,(3:30) (SHOTGUN) 7-C.STROUD PASS INCOMPLETE SHORT RIGHT TO 2-R.WOODS.,0,2023,0,SHOTGUN,PASS,0,1,1,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,8,OPP,0,,0,,0,690,0,0
2023091704,2023-09-17,1,3,19,HOU,IND,3,6,92,1,0,"(3:19) (SHOTGUN) 7-C.STROUD PASS SHORT MIDDLE TO 12-N.COLLINS FOR 8 YARDS, TOUCHDOWN.",0,2023,8,SHOTGUN,PASS,0,1,0,1,SHORT MIDDLE,0,0,0,,0,0,0,0,0,,8,OPP,0,,0,,0,701,0,0
2023091704,2023-09-17,1,3,14,IND,HOU,0,0,65,1,0,"15-K.FAIRBAIRN KICKS 65 YARDS FROM HOU 35 TO END ZONE, TOUCHBACK.",0,2023,0,UNDER CENTER,KICK OFF,0,0,0,0,,0,0,0,,0,0,0,0,0,,35,OPP,0,,0,,0,706,0,0
2023091704,2023-09-17,1,3,14,IND,HOU,1,10,25,0,0,(3:14) 5-A.RICHARDSON PASS INCOMPLETE SHORT LEFT.,0,2023,0,UNDER CENTER,PASS,0,1,1,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,25,OWN,0,,0,,0,706,0,0
2023091704,2023-09-17,1,3,14,HOU,IND,0,0,100,1,0,TIMEOUT AT 03:14.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,706,0,0
2023091704,2023-09-17,1,3,14,HOU,IND,0,0,85,1,0,"15-K.FAIRBAIRN EXTRA POINT IS GOOD, CENTER-46-J.WEEKS, HOLDER-16-T.ZENTNER.",0,2023,0,UNDER CENTER,EXTRA POINT,0,0,0,0,,0,0,0,,0,0,0,0,0,,15,OPP,0,,0,,0,706,0,0
2023091704,2023-09-17,1,3,8,IND,HOU,2,10,25,0,0,"(3:08) (SHOTGUN) 21-Z.MOSS UP THE MIDDLE TO IND 28 FOR 3 YARDS (6-D.PERRYMAN, 48-C.HARRIS).",0,2023,3,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,CENTER,25,OWN,0,,0,,0,712,0,0
2023091704,2023-09-17,1,2,23,IND,HOU,3,7,28,0,0,(2:23) (SHOTGUN) 5-A.RICHARDSON PASS INCOMPLETE SHORT RIGHT TO 83-K.GRANSON.,0,2023,0,SHOTGUN,PASS,0,1,1,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,28,OWN,0,,0,,0,757,0,0
2023091704,2023-09-17,1,2,19,IND,HOU,4,7,28,0,0,"(2:19) 8-R.SANCHEZ PUNTS 38 YARDS TO HOU 34, CENTER-46-L.RHODES, DOWNED BY IND-45-E.SPEED.",0,2023,0,PUNT,PUNT,0,0,0,0,,0,0,0,,0,0,0,0,0,,28,OWN,0,,0,,0,761,0,0
2023091704,2023-09-17,1,2,11,HOU,IND,0,0,100,1,0,TIMEOUT AT 02:11.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,769,0,0
2023091704,2023-09-17,1,2,11,HOU,IND,1,10,34,0,0,(2:11) 7-C.STROUD PASS INCOMPLETE SHORT RIGHT.,0,2023,0,UNDER CENTER,PASS,0,1,1,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,34,OWN,0,,0,,0,769,0,0
2023091704,2023-09-17,1,2,3,HOU,IND,2,10,34,0,0,"(2:03) 31-D.PIERCE LEFT END TO HOU 37 FOR 3 YARDS (53-S.LEONARD, 93-E.JOHNSON).",0,2023,3,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT END,34,OWN,0,,0,,0,777,0,0
2023091704,2023-09-17,1,1,26,HOU,IND,3,7,37,0,0,(1:26) (SHOTGUN) 7-C.STROUD SACKED AT HOU 28 FOR -9 YARDS (45-E.SPEED).,0,2023,-9,SHOTGUN,SACK,0,0,0,0,,1,0,0,,0,0,0,0,0,,37,OWN,0,,0,,0,814,0,0
2023091704,2023-09-17,1,0,46,HOU,IND,4,16,28,0,0,"(:46) 16-T.ZENTNER PUNTS 40 YARDS TO IND 32, CENTER-46-J.WEEKS, FAIR CATCH BY 6-I.MCKENZIE.",0,2023,0,PUNT,PUNT,0,0,0,0,,0,0,0,,0,0,0,0,0,,28,OWN,0,,0,,0,854,0,0
2023091704,2023-09-17,1,0,38,IND,HOU,1,10,32,0,0,(:38) (SHOTGUN) 21-Z.MOSS RIGHT TACKLE TO IND 37 FOR 5 YARDS (29-M.STEWART; 6-D.PERRYMAN).,0,2023,5,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT TACKLE,32,OWN,0,,0,,0,862,0,0
2023091704,2023-09-17,1,0,8,IND,HOU,2,5,37,0,0,"(:08) (NO HUDDLE) PENALTY ON IND-56-Q.NELSON, FALSE START, 5 YARDS, ENFORCED AT IND 37 - NO PLAY.",0,2023,0,NO HUDDLE,NO PLAY,0,0,0,0,,0,0,0,,0,0,1,0,0,,37,OWN,1,IND,1,FALSE START,5,892,0,0
2023091704,2023-09-17,2,15,0,IND,HOU,2,10,32,0,0,(15:00) (SHOTGUN) 5-A.RICHARDSON PASS INCOMPLETE SHORT MIDDLE TO 11-M.PITTMAN.,0,2023,0,SHOTGUN,PASS,0,1,1,0,SHORT MIDDLE,0,0,0,,0,0,0,0,0,,32,OWN,0,,0,,0,900,0,0
2023091704,2023-09-17,1,0,0,IND,HOU,0,0,100,1,0,END QUARTER 1,0,2023,0,,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,900,0,0
2023091704,2023-09-17,2,14,57,IND,HOU,3,10,32,0,0,"(14:57) (SHOTGUN) 5-A.RICHARDSON PASS SHORT LEFT TO 1-J.DOWNS TO IND 44 FOR 12 YARDS (30-D.HOUSTON-CARSON). PENALTY ON IND-72-B.SMITH, OFFENSIVE HOLDING, 10 YARDS, ENFORCED AT IND 32 - NO PLAY.",0,2023,12,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,1,0,0,,32,OWN,1,IND,1,OFFENSIVE HOLDING,10,903,0,0
2023091704,2023-09-17,2,14,24,IND,HOU,3,20,22,0,0,"(14:24) (SHOTGUN) 5-A.RICHARDSON PASS SHORT RIGHT TO 21-Z.MOSS TO IND 28 FOR 6 YARDS (29-M.STEWART). PENALTY ON IND, ILLEGAL FORMATION, DECLINED.",0,2023,6,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,1,0,0,,22,OWN,0,IND,0,ILLEGAL FORMATION,0,936,0,0
2023091704,2023-09-17,2,14,3,IND,HOU,4,14,28,0,0,"(14:03) 8-R.SANCHEZ PUNTS 51 YARDS TO HOU 21, CENTER-46-L.RHODES. 2-R.WOODS TO HOU 28 FOR 7 YARDS (83-K.GRANSON).",0,2023,0,PUNT,PUNT,0,0,0,0,,0,0,0,,0,0,0,0,0,,28,OWN,0,,0,,0,957,0,0
2023091704,2023-09-17,2,13,52,HOU,IND,1,10,28,1,0,(13:52) (SHOTGUN) 31-D.PIERCE UP THE MIDDLE TO HOU 38 FOR 10 YARDS (51-K.PAYE). IND-51-K.PAYE WAS INJURED DURING THE PLAY.,0,2023,10,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,CENTER,28,OWN,0,,0,,0,968,0,0
2023091704,2023-09-17,2,13,36,HOU,IND,0,0,100,1,0,TIMEOUT AT 13:36.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,984,0,0
2023091704,2023-09-17,2,13,27,HOU,IND,1,10,38,0,0,"(13:27) 31-D.PIERCE LEFT TACKLE TO HOU 40 FOR 2 YARDS (32-J.BLACKMON, 44-Z.FRANKLIN).",0,2023,2,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT TACKLE,38,OWN,0,,0,,0,993,0,0
