GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,SeriesFirstDown,NextScore,Description,TeamWin,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards,Duration,DAL,NYJ
2023091710,2023-09-17,1,15,0,DAL,NYJ,0,0,65,1,0,"15-A.SEIBERT KICKS 65 YARDS FROM NYJ 35 TO END ZONE, TOUCHBACK.",0,2023,0,UNDER CENTER,KICK OFF,0,0,0,0,,0,0,0,,0,0,0,0,0,,35,OPP,0,,0,,0,0,0,0
2023091710,2023-09-17,1,15,0,DAL,NYJ,1,10,25,0,0,(15:00) 20-T.POLLARD RIGHT END TO DAL 29 FOR 4 YARDS (30-M.CARTER).,0,2023,4,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT END,25,OWN,0,,0,,0,0,0,0
2023091710,2023-09-17,1,14,31,DAL,NYJ,2,6,29,1,0,(14:31) 20-T.POLLARD UP THE MIDDLE TO DAL 37 FOR 8 YARDS (57-C.MOSLEY).,0,2023,8,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,CENTER,29,OWN,0,,0,,0,29,0,0
2023091710,2023-09-17,1,14,3,DAL,NYJ,1,10,37,0,0,(14:03) (SHOTGUN) 4-D.PRESCOTT PASS SHORT RIGHT TO 20-T.POLLARD PUSHED OB AT DAL 41 FOR 4 YARDS (56-QU.WILLIAMS).,0,2023,4,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,37,OWN,0,,0,,0,57,0,0
2023091710,2023-09-17,1,13,41,DAL,NYJ,2,6,41,0,0,(13:41) (SHOTGUN) 23-R.DOWDLE UP THE MIDDLE TO DAL 45 FOR 4 YARDS (91-J.FRANKLIN-MYERS).,0,2023,4,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,CENTER,41,OWN,0,,0,,0,79,0,0
2023091710,2023-09-17,1,13,2,DAL,NYJ,3,2,45,1,0,(13:02) (SHOTGUN) 4-D.PRESCOTT PASS SHORT LEFT TO 88-C.LAMB TO NYJ 49 FOR 6 YARDS (57-C.MOSLEY).,0,2023,6,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,45,OWN,0,,0,,0,118,0,0
2023091710,2023-09-17,1,12,31,DAL,NYJ,1,10,51,0,0,"(12:31) (SHOTGUN) 4-D.PRESCOTT PASS DEEP LEFT TO 88-C.LAMB TO NYJ 24 FOR 25 YARDS (22-T.ADAMS). PENALTY ON NYJ-4-D.REED, DEFENSIVE HOLDING, DECLINED.",0,2023,25,SHOTGUN,PASS,0,1,0,0,DEEP LEFT,0,0,0,,0,0,1,0,0,,49,OPP,0,NYJ,0,DEFENSIVE HOLDING,0,149,0,0
2023091710,2023-09-17,1,12,19,DAL,NYJ,1,10,76,0,0,(12:19) 20-T.POLLARD RIGHT TACKLE TO NYJ 22 FOR 2 YARDS (94-S.THOMAS).,0,2023,2,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT TACKLE,24,OPP,0,,0,,0,161,0,0
2023091710,2023-09-17,1,11,49,DAL,NYJ,2,8,78,0,0,(11:49) (SHOTGUN) 4-D.PRESCOTT PASS SHORT MIDDLE TO 20-T.POLLARD TO NYJ 20 FOR 2 YARDS (56-QU.WILLIAMS).,0,2023,2,SHOTGUN,PASS,0,1,0,0,SHORT MIDDLE,0,0,0,,0,0,0,0,0,,22,OPP,0,,0,,0,191,0,0
2023091710,2023-09-17,1,11,12,DAL,NYJ,3,6,80,1,0,(11:12) (SHOTGUN) 4-D.PRESCOTT SCRAMBLES LEFT END TO NYJ 5 FOR 15 YARDS (22-T.ADAMS).,0,2023,15,SHOTGUN,SCRAMBLE,1,0,0,0,,0,0,0,,0,0,0,0,0,,20,OPP,0,,0,,0,228,0,0
2023091710,2023-09-17,1,10,30,DAL,NYJ,1,5,95,0,0,(10:30) 20-T.POLLARD UP THE MIDDLE TO NYJ 3 FOR 2 YARDS (95-Q.WILLIAMS).,0,2023,2,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,CENTER,5,OPP,0,,0,,0,270,0,0
2023091710,2023-09-17,1,10,0,DAL,NYJ,2,3,97,0,0,"(10:00) 20-T.POLLARD LEFT TACKLE TO NYJ 4 FOR -1 YARDS (95-Q.WILLIAMS, 72-M.CLEMONS).",0,2023,-1,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT TACKLE,3,OPP,0,,0,,0,300,0,0
2023091710,2023-09-17,1,9,25,DAL,NYJ,3,4,96,1,0,"(9:25) (SHOTGUN) 4-D.PRESCOTT PASS SHORT LEFT TO 87-J.FERGUSON FOR 4 YARDS, TOUCHDOWN.",0,2023,4,SHOTGUN,PASS,0,1,0,1,SHORT LEFT,0,0,0,,0,0,0,0,0,,4,OPP,0,,0,,0,335,0,0
2023091710,2023-09-17,1,9,19,DAL,NYJ,0,0,100,1,0,TIMEOUT AT 09:19.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,341,0,0
