GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,SeriesFirstDown,NextScore,Description,TeamWin,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards,Week,Duration,BUF,LV
2023091701,2023-09-17,1,15,0,LV,BUF,1,10,25,0,0,(15:00) (SHOTGUN) 8-J.JACOBS UP THE MIDDLE TO LV 21 FOR -4 YARDS (91-E.OLIVER).,0,2023,-4,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,CENTER,25,OWN,0,,0,,0,2,0,0,0
2023091701,2023-09-17,1,15,0,LV,BUF,0,0,65,1,0,"2-T.BASS KICKS 65 YARDS FROM BUF 35 TO END ZONE, TOUCHBACK.",0,2023,0,UNDER CENTER,KICK OFF,0,0,0,0,,0,0,0,,0,0,0,0,0,,35,OPP,0,,0,,0,2,0,0,0
2023091701,2023-09-17,1,14,23,LV,BUF,2,14,21,0,0,"(14:23) (SHOTGUN) 10-J.GAROPPOLO PASS SHORT LEFT TO 8-J.JACOBS TO LV 33 FOR 12 YARDS (23-M.HYDE, 7-TA.JOHNSON).",0,2023,12,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,21,OWN,0,,0,,0,2,37,0,0
2023091701,2023-09-17,1,13,37,LV,BUF,3,2,33,1,0,(13:37) (SHOTGUN) 10-J.GAROPPOLO PASS SHORT RIGHT TO 17-D.ADAMS PUSHED OB AT 50 FOR 17 YARDS (7-TA.JOHNSON).,0,2023,17,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,33,OWN,0,,0,,0,2,83,0,0
2023091701,2023-09-17,1,13,3,LV,BUF,1,10,100,1,0,(13:03) 11-T.TUCKER LEFT END TO BUF 16 FOR 34 YARDS (27-T.WHITE; 23-M.HYDE).,0,2023,34,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT END,0,OPP,0,,0,,0,2,117,0,0
2023091701,2023-09-17,1,12,22,LV,BUF,1,10,84,1,0,"(12:22) 10-J.GAROPPOLO PASS SHORT LEFT TO 17-D.ADAMS FOR 16 YARDS, TOUCHDOWN.",0,2023,16,UNDER CENTER,PASS,0,1,0,1,SHORT LEFT,0,0,0,,0,0,0,0,0,,16,OPP,0,,0,,0,2,158,0,0
2023091701,2023-09-17,1,12,16,BUF,LV,0,0,100,1,0,TIMEOUT AT 12:16.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,2,164,0,0
2023091701,2023-09-17,1,12,16,BUF,LV,1,10,25,0,0,"(12:16) (SHOTGUN) 4-J.COOK UP THE MIDDLE TO BUF 27 FOR 2 YARDS (5-D.DEABLO, 41-R.SPILLANE).",0,2023,2,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,CENTER,25,OWN,0,,0,,0,2,164,0,0
2023091701,2023-09-17,1,12,16,LV,BUF,0,0,85,1,0,"2-D.CARLSON EXTRA POINT IS GOOD, CENTER-50-J.BOBENMOYER, HOLDER-6-A.COLE.",0,2023,0,UNDER CENTER,EXTRA POINT,0,0,0,0,,0,0,0,,0,0,0,0,0,,15,OPP,0,,0,,0,2,164,0,0
2023091701,2023-09-17,1,12,16,BUF,LV,0,0,65,1,0,"2-D.CARLSON KICKS 65 YARDS FROM LV 35 TO END ZONE, TOUCHBACK.",0,2023,0,UNDER CENTER,KICK OFF,0,0,0,0,,0,0,0,,0,0,0,0,0,,35,OPP,0,,0,,0,2,164,0,0
