GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,SeriesFirstDown,NextScore,Description,TeamWin,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards,Duration,ARI,NYG
2023091708,2023-09-17,1,15,0,ARI,NYG,1,10,25,1,0,(15:00) 6-J.CONNER UP THE MIDDLE PUSHED OB AT ARI 42 FOR 17 YARDS (27-J.PINNOCK).,0,2023,17,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,CENTER,25,OWN,0,,0,,0,0,0,0
2023091708,2023-09-17,1,15,0,ARI,NYG,0,0,65,1,0,"9-G.GANO KICKS 65 YARDS FROM NYG 35 TO END ZONE, TOUCHBACK.",0,2023,0,UNDER CENTER,KICK OFF,0,0,0,0,,0,0,0,,0,0,0,0,0,,35,OPP,0,,0,,0,0,0,0
2023091708,2023-09-17,1,14,24,ARI,NYG,1,10,42,0,0,(14:24) 9-J.DOBBS PASS SHORT RIGHT TO 86-Z.ERTZ TO ARI 47 FOR 5 YARDS (29-X.MCKINNEY).,0,2023,5,UNDER CENTER,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,42,OWN,0,,0,,0,36,0,0
2023091708,2023-09-17,1,13,43,ARI,NYG,2,5,47,1,0,(13:43) (SHOTGUN) 9-J.DOBBS PASS SHORT RIGHT TO 2-M.BROWN TO NYG 41 FOR 12 YARDS (22-A.JACKSON).,0,2023,12,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,47,OWN,0,,0,,0,77,0,0
2023091708,2023-09-17,1,13,5,ARI,NYG,1,10,59,0,0,(13:05) 6-J.CONNER LEFT TACKLE TO NYG 37 FOR 4 YARDS (27-J.PINNOCK).,0,2023,4,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT TACKLE,41,OPP,0,,0,,0,115,0,0
2023091708,2023-09-17,1,12,27,ARI,NYG,2,6,63,0,0,(12:27) 9-J.DOBBS PASS INCOMPLETE DEEP LEFT TO 86-Z.ERTZ.,0,2023,0,UNDER CENTER,PASS,0,1,1,0,DEEP LEFT,0,0,0,,0,0,0,0,0,,37,OPP,0,,0,,0,153,0,0
2023091708,2023-09-17,1,12,21,ARI,NYG,3,6,63,0,0,(12:21) (SHOTGUN) 9-J.DOBBS PASS INCOMPLETE SHORT LEFT TO 2-M.BROWN.,0,2023,0,SHOTGUN,PASS,0,1,1,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,37,OPP,0,,0,,0,159,0,0
2023091708,2023-09-17,1,12,17,ARI,NYG,4,6,63,0,0,"(12:17) 5-M.PRATER 55 YARD FIELD GOAL IS NO GOOD, WIDE LEFT, CENTER-46-A.BREWER, HOLDER-16-N.COONEY.",0,2023,0,FIELD GOAL,FIELD GOAL,0,0,0,0,,0,0,0,,0,0,0,0,0,,37,OPP,0,,0,,0,163,0,0
2023091708,2023-09-17,1,12,12,ARI,NYG,0,0,100,1,0,TIMEOUT AT 12:12.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,168,0,0
2023091708,2023-09-17,1,12,12,NYG,ARI,1,15,40,0,0,(12:12) (SHOTGUN) 8-D.JONES PASS SHORT LEFT TO 18-I.HODGINS TO NYG 47 FOR 7 YARDS (13-K.CLARK).,0,2023,7,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,40,OWN,0,,0,,0,168,0,0
2023091708,2023-09-17,1,12,12,NYG,ARI,1,10,45,0,0,"(12:12) (SHOTGUN) PENALTY ON NYG-75-J.EZEUDU, FALSE START, 5 YARDS, ENFORCED AT NYG 45 - NO PLAY.",0,2023,0,SHOTGUN,NO PLAY,0,0,0,0,,0,0,0,,0,0,1,0,0,,45,OWN,1,NYG,1,FALSE START,5,168,0,0
2023091708,2023-09-17,1,11,37,NYG,ARI,2,8,47,0,0,(11:37) (SHOTGUN) 8-D.JONES PASS SHORT RIGHT TO 26-S.BARKLEY RAN OB AT ARI 47 FOR 6 YARDS (7-K.WHITE).,0,2023,6,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,47,OWN,0,,0,,0,203,0,0
2023091708,2023-09-17,1,11,2,NYG,ARI,3,2,53,0,0,(11:02) (SHOTGUN) 8-D.JONES PASS INCOMPLETE SHORT RIGHT TO 86-D.SLAYTON.,0,2023,0,SHOTGUN,PASS,0,1,1,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,47,OPP,0,,0,,0,238,0,0
2023091708,2023-09-17,1,10,59,NYG,ARI,4,2,53,0,0,"(10:59) 6-J.GILLAN PUNTS 33 YARDS TO ARI 14, CENTER-59-C.KREITER, FAIR CATCH BY 83-G.DORTCH.",0,2023,0,PUNT,PUNT,0,0,0,0,,0,0,0,,0,0,0,0,0,,47,OPP,0,,0,,0,241,0,0
