GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,SeriesFirstDown,NextScore,Description,TeamWin,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards,Duration,WAS,DEN
2023091711,2023-09-17,3,3,37,DEN,WAS,2,6,86,0,0,(3:37) 25-S.PERINE LEFT TACKLE TO WAS 10 FOR 4 YARDS (57-C.BARTON).,0,2023,4,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT TACKLE,14,OPP,0,,0,,0,2483,0,0
2023091711,2023-09-17,3,2,56,DEN,WAS,3,2,90,0,0,"(2:56) (NO HUDDLE, SHOTGUN) 3-R.WILSON SACKED AT WAS 13 FOR -3 YARDS (99-C.YOUNG).",0,2023,-3,NO HUDDLE SHOTGUN,SACK,0,0,0,0,,1,0,0,,0,0,0,0,0,,10,OPP,0,,0,,0,2524,0,0
2023091711,2023-09-17,3,2,14,DEN,WAS,4,5,87,0,0,"(2:14) 16-W.LUTZ 31 YARD FIELD GOAL IS GOOD, CENTER-48-M.FRABONI, HOLDER-9-R.DIXON.",0,2023,0,FIELD GOAL,FIELD GOAL,0,0,0,0,,0,0,0,,0,0,0,0,0,,13,OPP,0,,0,,0,2566,0,0
2023091711,2023-09-17,3,2,11,WAS,DEN,1,10,25,0,0,"(2:11) (SHOTGUN) 14-S.HOWELL PASS INCOMPLETE SHORT LEFT TO 4-C.SAMUEL. PENALTY ON WAS-1-J.DOTSON, OFFENSIVE PASS INTERFERENCE, 10 YARDS, ENFORCED AT WAS 25 - NO PLAY.",0,2023,0,SHOTGUN,PASS,0,1,1,0,SHORT LEFT,0,0,0,,0,0,1,0,0,,25,OWN,1,WAS,1,OFFENSIVE PASS INTERFERENCE,10,2569,0,0
2023091711,2023-09-17,3,2,11,WAS,DEN,0,0,65,1,0,"16-W.LUTZ KICKS 65 YARDS FROM DEN 35 TO END ZONE, TOUCHBACK.",0,2023,0,UNDER CENTER,KICK OFF,0,0,0,0,,0,0,0,,0,0,0,0,0,,35,OPP,0,,0,,0,2569,0,0
2023091711,2023-09-17,3,2,6,WAS,DEN,1,20,15,0,0,(2:06) (SHOTGUN) 14-S.HOWELL PASS SHORT LEFT TO 17-T.MCLAURIN TO WAS 20 FOR 5 YARDS (27-D.MATHIS).,0,2023,5,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,15,OWN,0,,0,,0,2574,0,0
2023091711,2023-09-17,3,1,26,WAS,DEN,2,15,20,0,0,"(1:26) (SHOTGUN) 14-S.HOWELL PASS INCOMPLETE SHORT LEFT TO 17-T.MCLAURIN. PENALTY ON DEN-2-P.SURTAIN, DEFENSIVE PASS INTERFERENCE, 7 YARDS, ENFORCED AT WAS 20 - NO PLAY.",0,2023,0,SHOTGUN,PASS,0,1,1,0,SHORT LEFT,0,0,0,,0,0,1,0,0,,20,OWN,1,DEN,1,DEFENSIVE PASS INTERFERENCE,7,2614,0,0
2023091711,2023-09-17,3,1,22,WAS,DEN,1,10,27,1,0,(1:22) 8-B.ROBINSON LEFT TACKLE TO DEN 46 FOR 27 YARDS (31-J.SIMMONS).,0,2023,27,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT TACKLE,27,OWN,0,,0,,0,2618,0,0
2023091711,2023-09-17,3,0,37,WAS,DEN,1,10,54,0,0,(:37) (SHOTGUN) 8-B.ROBINSON UP THE MIDDLE TO 50 FOR -4 YARDS (42-N.BONITTO).,0,2023,-4,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,CENTER,46,OPP,0,,0,,0,2663,0,0
2023091711,2023-09-17,3,0,0,WAS,DEN,0,0,100,1,0,END QUARTER 3,0,2023,0,,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,2700,0,0
2023091711,2023-09-17,4,15,0,WAS,DEN,2,14,100,1,0,(15:00) (SHOTGUN) 14-S.HOWELL PASS SHORT LEFT TO 24-A.GIBSON TO DEN 14 FOR 36 YARDS (31-J.SIMMONS).,0,2023,36,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,2700,0,0
2023091711,2023-09-17,4,14,14,WAS,DEN,1,10,86,1,0,(14:14) (SHOTGUN) 14-S.HOWELL PASS SHORT MIDDLE TO 85-C.TURNER TO DEN 2 FOR 12 YARDS (27-D.MATHIS).,0,2023,12,SHOTGUN,PASS,0,1,0,0,SHORT MIDDLE,0,0,0,,0,0,0,0,0,,14,OPP,0,,0,,0,2746,0,0
