GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,SeriesFirstDown,NextScore,Description,TeamWin,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards,Week,Duration,KC,JAX
2023091705,2023-09-17,1,15,0,JAX,KC,0,0,65,1,0,"7-H.BUTKER KICKS 65 YARDS FROM KC 35 TO END ZONE, TOUCHBACK.",0,2023,0,UNDER CENTER,KICK OFF,0,0,0,0,,0,0,0,,0,0,0,0,0,,35,OPP,0,,0,,0,2,0,0,0
2023091705,2023-09-17,1,15,0,JAX,KC,1,10,25,0,0,(15:00) (SHOTGUN) 1-T.ETIENNE LEFT GUARD TO JAX 26 FOR 1 YARD (51-M.DANNA; 91-D.NNADI).,0,2023,1,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT GUARD,25,OWN,0,,0,,0,2,0,0,0
2023091705,2023-09-17,1,14,29,JAX,KC,2,9,26,0,0,(14:29) (SHOTGUN) 16-T.LAWRENCE PASS SHORT RIGHT TO 13-C.KIRK TO JAX 31 FOR 5 YARDS (54-L.CHENAL).,0,2023,5,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,26,OWN,0,,0,,0,2,31,0,0
2023091705,2023-09-17,1,13,46,JAX,KC,3,4,31,1,0,(13:46) (SHOTGUN) 16-T.LAWRENCE PASS SHORT LEFT TO 0-C.RIDLEY TO JAX 37 FOR 6 YARDS (38-L.SNEED).,0,2023,6,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,31,OWN,0,,0,,0,2,74,0,0
2023091705,2023-09-17,1,12,59,JAX,KC,1,10,37,1,0,(12:59) (SHOTGUN) 16-T.LAWRENCE PASS SHORT RIGHT TO 17-E.ENGRAM TO KC 46 FOR 17 YARDS (32-N.BOLTON).,0,2023,17,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,37,OWN,0,,0,,0,2,121,0,0
2023091705,2023-09-17,1,12,14,JAX,KC,1,10,54,0,0,(12:14) (SHOTGUN) 1-T.ETIENNE UP THE MIDDLE TO KC 42 FOR 4 YARDS (91-D.NNADI; 23-D.TRANQUILL).,0,2023,4,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,CENTER,46,OPP,0,,0,,0,2,166,0,0
2023091705,2023-09-17,1,11,35,JAX,KC,2,6,58,0,0,(11:35) (SHOTGUN) 16-T.LAWRENCE PASS INCOMPLETE SHORT MIDDLE TO 0-C.RIDLEY (6-B.COOK).,0,2023,0,SHOTGUN,PASS,0,1,1,0,SHORT MIDDLE,0,0,0,,0,0,0,0,0,,42,OPP,0,,0,,0,2,205,0,0
2023091705,2023-09-17,1,11,31,JAX,KC,3,6,58,0,0,(11:31) (SHOTGUN) 16-T.LAWRENCE SACKED AT KC 46 FOR -4 YARDS (SACK SPLIT BY 56-G.KARLAFTIS AND 51-M.DANNA).,0,2023,-4,SHOTGUN,SACK,0,0,0,0,,1,0,0,,0,0,0,0,0,,42,OPP,0,,0,,0,2,209,0,0
2023091705,2023-09-17,1,10,59,JAX,KC,4,10,54,0,0,"(10:59) 9-L.COOKE PUNTS 36 YARDS TO KC 10, CENTER-46-R.MATISCIK, FAIR CATCH BY 17-R.JAMES.",0,2023,0,PUNT,PUNT,0,0,0,0,,0,0,0,,0,0,0,0,0,,46,OPP,0,,0,,0,2,241,0,0
2023091705,2023-09-17,1,10,52,JAX,KC,0,0,100,1,0,TIMEOUT AT 10:52.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,2,248,0,0
2023091705,2023-09-17,1,10,52,KC,JAX,1,10,10,0,0,(10:52) (SHOTGUN) 10-I.PACHECO RIGHT END TO KC 14 FOR 4 YARDS (95-R.ROBERTSON-HARRIS; 96-A.GOTSIS).,0,2023,4,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT END,10,OWN,0,,0,,0,2,248,0,0
2023091705,2023-09-17,1,10,16,KC,JAX,2,6,14,0,0,(10:16) (SHOTGUN) 15-P.MAHOMES PASS SHORT MIDDLE TO 11-M.VALDES-SCANTLING TO KC 19 FOR 5 YARDS (23-F.OLUOKUN).,0,2023,5,SHOTGUN,PASS,0,1,0,0,SHORT MIDDLE,0,0,0,,0,0,0,0,0,,14,OWN,0,,0,,0,2,284,0,0
2023091705,2023-09-17,1,9,36,KC,JAX,3,1,19,0,0,"(9:36) (SHOTGUN) 15-P.MAHOMES PASS SHORT LEFT TO 79-D.SMITH TO KC 19 FOR NO GAIN (5-A.CISCO) [96-A.GOTSIS]. PENALTY ON KC-79-D.SMITH, ILLEGAL TOUCH PASS, DECLINED.",0,2023,0,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,1,0,0,,19,OWN,0,KC,0,ILLEGAL TOUCH PASS,0,2,324,0,0
