GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,SeriesFirstDown,NextScore,Description,TeamWin,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards,Duration,TEN,JAX,Week
2024010702,2024-01-07,2,1,6,TEN,JAX,1,10,38,0,0,(1:06) (SHOTGUN) 17-R.TANNEHILL PASS INCOMPLETE SHORT RIGHT TO 10-D.HOPKINS.,0,2023,0,SHOTGUN,PASS,0,1,1,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,38,OWN,0,,0,,0,1734,0,0,18
2024010702,2024-01-07,2,1,3,TEN,JAX,2,10,38,1,0,"(1:03) (SHOTGUN) 17-R.TANNEHILL PASS SHORT MIDDLE TO 32-T.SPEARS TO TEN 48 FOR 10 YARDS (33-D.LLOYD, 23-F.OLUOKUN).",0,2023,10,SHOTGUN,PASS,0,1,0,0,SHORT MIDDLE,0,0,0,,0,0,0,0,0,,38,OWN,0,,0,,0,1737,0,0,18
2024010702,2024-01-07,2,0,47,TEN,JAX,1,10,48,0,0,"(:47) (NO HUDDLE, SHOTGUN) 17-R.TANNEHILL PASS SHORT LEFT TO 11-C.MOORE PUSHED OB AT JAX 46 FOR 6 YARDS (26-A.JOHNSON) [44-T.WALKER].",0,2023,6,NO HUDDLE SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,48,OWN,0,,0,,0,1753,0,0,18
2024010702,2024-01-07,2,0,43,TEN,JAX,2,4,54,0,0,"(:43) (NO HUDDLE, SHOTGUN) 17-R.TANNEHILL SACKED AT TEN 44 FOR -10 YARDS (44-T.WALKER).",0,2023,-10,NO HUDDLE SHOTGUN,SACK,0,0,0,0,,1,0,0,,0,0,0,0,0,,46,OPP,0,,0,,0,1757,0,0,18
2024010702,2024-01-07,2,0,38,TEN,JAX,0,0,100,1,0,TIMEOUT #1 BY TEN AT 00:38.,0,2023,0,UNDER CENTER,TIMEOUT,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,1762,0,0,18
2024010702,2024-01-07,2,0,38,TEN,JAX,3,14,44,0,0,(:38) (SHOTGUN) 17-R.TANNEHILL PASS INCOMPLETE DEEP RIGHT TO 18-K.PHILIPS (37-T.HERNDON).,0,2023,0,SHOTGUN,PASS,0,1,1,0,DEEP RIGHT,0,0,0,,0,0,0,0,0,,44,OWN,0,,0,,0,1762,0,0,18
2024010702,2024-01-07,3,15,0,TEN,JAX,0,0,65,1,0,"10-B.MCMANUS KICKS 65 YARDS FROM JAX 35 TO END ZONE, TOUCHBACK.",0,2023,0,UNDER CENTER,KICK OFF,0,0,0,0,,0,0,0,,0,0,0,0,0,,35,OPP,0,,0,,0,1800,0,0,18
2024010702,2024-01-07,3,15,0,TEN,JAX,1,10,25,0,0,(15:00) 22-D.HENRY UP THE MIDDLE TO TEN 27 FOR 2 YARDS (52-D.HAMILTON).,0,2023,2,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,CENTER,25,OWN,0,,0,,0,1800,0,0,18
2024010702,2024-01-07,2,0,0,TEN,JAX,0,0,100,1,0,END QUARTER 2,0,2023,0,,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,1800,0,0,18
2024010702,2024-01-07,3,14,21,TEN,JAX,2,8,27,1,0,(14:21) 22-D.HENRY UP THE MIDDLE TO JAX 4 FOR 69 YARDS (5-A.CISCO).,0,2023,69,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,CENTER,27,OWN,0,,0,,0,1839,0,0,18
