GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,SeriesFirstDown,NextScore,Description,TeamWin,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards,Duration,DEN,LV,Week
2024010708,2024-01-07,1,15,0,DEN,LV,0,0,65,1,0,2-D.CARLSON KICKS 68 YARDS FROM LV 35 TO DEN -3. 19-M.MIMS TO DEN 32 FOR 35 YARDS (20-I.POLA-MAO).,0,2023,0,UNDER CENTER,KICK OFF,0,0,0,0,,0,0,0,,0,0,0,0,0,,35,OPP,0,,0,,0,0,0,0,18
2024010708,2024-01-07,1,14,54,DEN,LV,1,10,32,0,0,(14:54) (SHOTGUN) 4-J.STIDHAM PASS INCOMPLETE SHORT RIGHT TO 33-J.WILLIAMS.,0,2023,0,SHOTGUN,PASS,0,1,1,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,32,OWN,0,,0,,0,6,0,0,18
2024010708,2024-01-07,1,14,48,DEN,LV,2,10,32,0,0,"(14:48) 75-Q.BAILEY REPORTED IN AS ELIGIBLE.  38-J.MCLAUGHLIN LEFT END TO DEN 31 FOR -1 YARDS (5-D.DEABLO, 41-R.SPILLANE).",0,2023,-1,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT END,32,OWN,0,,0,,0,12,0,0,18
2024010708,2024-01-07,1,14,5,DEN,LV,3,11,31,0,0,(14:05) (SHOTGUN) 4-J.STIDHAM PASS INCOMPLETE SHORT LEFT TO 14-C.SUTTON.,0,2023,0,SHOTGUN,PASS,0,1,1,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,31,OWN,0,,0,,0,55,0,0,18
2024010708,2024-01-07,1,14,0,DEN,LV,4,11,31,0,0,"(14:00) 9-R.DIXON PUNTS 48 YARDS TO LV 21, CENTER-48-M.FRABONI, OUT OF BOUNDS.",0,2023,0,PUNT,PUNT,0,0,0,0,,0,0,0,,0,0,0,0,0,,31,OWN,0,,0,,0,60,0,0,18
2024010708,2024-01-07,1,12,16,DEN,LV,1,10,11,0,0,(12:16) 33-J.WILLIAMS UP THE MIDDLE TO DEN 18 FOR 7 YARDS (95-J.JENKINS; 5-D.DEABLO).,0,2023,7,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,CENTER,11,OWN,0,,0,,0,164,0,0,18
2024010708,2024-01-07,1,11,37,DEN,LV,2,3,18,1,0,(11:37) 33-J.WILLIAMS RIGHT TACKLE TO DEN 22 FOR 4 YARDS (95-J.JENKINS; 41-R.SPILLANE).,0,2023,4,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT TACKLE,18,OWN,0,,0,,0,203,0,0,18
2024010708,2024-01-07,1,10,51,DEN,LV,1,10,22,0,0,(10:51) 4-J.STIDHAM PASS SHORT RIGHT TO 33-J.WILLIAMS TO DEN 23 FOR 1 YARD (20-I.POLA-MAO).,0,2023,1,UNDER CENTER,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,22,OWN,0,,0,,0,249,0,0,18
2024010708,2024-01-07,1,10,7,DEN,LV,2,9,23,0,0,(10:07) (SHOTGUN) 4-J.STIDHAM PASS INCOMPLETE SHORT RIGHT TO 14-C.SUTTON [98-M.CROSBY].,0,2023,0,SHOTGUN,PASS,0,1,1,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,23,OWN,0,,0,,0,293,0,0,18
2024010708,2024-01-07,1,10,2,DEN,LV,3,9,23,0,0,"(10:02) (NO HUDDLE, SHOTGUN) 4-J.STIDHAM PASS INCOMPLETE SHORT MIDDLE TO 17-L.HUMPHREY.",0,2023,0,NO HUDDLE SHOTGUN,PASS,0,1,1,0,SHORT MIDDLE,0,0,0,,0,0,0,0,0,,23,OWN,0,,0,,0,298,0,0,18
2024010708,2024-01-07,1,9,58,DEN,LV,4,9,23,0,0,"(9:58) 9-R.DIXON PUNTS 59 YARDS TO LV 18, CENTER-48-M.FRABONI. 3-D.CARTER TO LV 22 FOR 4 YARDS (48-M.FRABONI).",0,2023,0,PUNT,PUNT,0,0,0,0,,0,0,0,,0,0,0,0,0,,23,OWN,0,,0,,0,302,0,0,18
2024010708,2024-01-07,1,1,44,DEN,LV,0,0,65,1,0,2-D.CARLSON KICKS 69 YARDS FROM LV 35 TO DEN -4. 19-M.MIMS TO DEN 16 FOR 20 YARDS (59-L.MASTERSON; 19-D.TURNER).,0,2023,0,UNDER CENTER,KICK OFF,0,0,0,0,,0,0,0,,0,0,0,0,0,,35,OPP,0,,0,,0,796,0,0,18
2024010708,2024-01-07,1,1,40,DEN,LV,1,10,16,0,0,(1:40) (SHOTGUN) 38-J.MCLAUGHLIN LEFT TACKLE PUSHED OB AT DEN 19 FOR 3 YARDS (1-M.EPPS).,0,2023,3,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT TACKLE,16,OWN,0,,0,,0,800,0,0,18
