GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,SeriesFirstDown,NextScore,Description,TeamWin,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards,Week,Duration,BAL,TEN
2023101500,2023-10-15,1,8,30,TEN,BAL,2,9,41,1,0,(8:30) 17-R.TANNEHILL PASS SHORT RIGHT TO 15-N.WESTBROOK-IKHINE TO BAL 49 FOR 10 YARDS (21-B.STEPHENS).,0,2023,10,UNDER CENTER,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,41,OWN,0,,0,,0,6,390,0,0
2023101500,2023-10-15,1,7,47,TEN,BAL,1,10,51,1,0,(7:47) (SHOTGUN) 17-R.TANNEHILL PASS SHORT RIGHT TO 81-J.WHYLE TO BAL 38 FOR 11 YARDS (14-K.HAMILTON; 0-R.SMITH). TEN-81-J.WHYLE WAS INJURED DURING THE PLAY.,0,2023,11,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,49,OPP,0,,0,,0,6,433,0,0
2023101500,2023-10-15,1,7,28,TEN,BAL,0,0,100,1,0,TIMEOUT AT 07:28.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,6,452,0,0
2023101500,2023-10-15,1,7,16,TEN,BAL,1,10,62,0,0,"(7:16) 17-R.TANNEHILL PASS INCOMPLETE DEEP LEFT TO 10-D.HOPKINS [92-J.MADUBUIKE]. PENALTY ON BAL-32-M.WILLIAMS, DEFENSIVE PASS INTERFERENCE, 22 YARDS, ENFORCED AT BAL 38 - NO PLAY.",0,2023,0,UNDER CENTER,PASS,0,1,1,0,DEEP LEFT,0,0,0,,0,0,1,0,0,,38,OPP,1,BAL,1,DEFENSIVE PASS INTERFERENCE,22,6,464,0,0
2023101500,2023-10-15,1,7,10,TEN,BAL,1,10,84,0,0,(7:10) 22-D.HENRY LEFT TACKLE TO BAL 14 FOR 2 YARDS (92-J.MADUBUIKE).,0,2023,2,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT TACKLE,16,OPP,0,,0,,0,6,470,0,0
2023101500,2023-10-15,1,6,25,TEN,BAL,2,8,86,0,0,(6:25) (SHOTGUN) 17-R.TANNEHILL PASS INCOMPLETE SHORT LEFT TO 15-N.WESTBROOK-IKHINE (21-B.STEPHENS).,0,2023,0,SHOTGUN,PASS,0,1,1,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,14,OPP,0,,0,,0,6,515,0,0
2023101500,2023-10-15,1,6,19,TEN,BAL,3,8,86,0,0,(6:19) (SHOTGUN) 17-R.TANNEHILL PASS SHORT LEFT TO 11-C.MOORE TO BAL 8 FOR 6 YARDS (6-P.QUEEN).,0,2023,6,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,14,OPP,0,,0,,0,6,521,0,0
2023101500,2023-10-15,1,5,38,TEN,BAL,4,2,92,0,0,"(5:38) 6-N.FOLK 26 YARD FIELD GOAL IS GOOD, CENTER-46-M.COX, HOLDER-4-R.STONEHOUSE.",0,2023,0,FIELD GOAL,FIELD GOAL,0,0,0,0,,0,0,0,,0,0,0,0,0,,8,OPP,0,,0,,0,6,562,0,0
2023101500,2023-10-15,1,5,34,TEN,BAL,0,0,100,1,0,TIMEOUT AT 05:34.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,6,566,0,0
2023101500,2023-10-15,1,5,34,BAL,TEN,0,0,65,1,0,6-N.FOLK KICKS 65 YARDS FROM TEN 35 TO BAL 0. 13-D.DUVERNAY TO BAL 14 FOR 14 YARDS (56-M.RICE).,0,2023,0,UNDER CENTER,KICK OFF,0,0,0,0,,0,0,0,,0,0,0,0,0,,35,OPP,0,,0,,0,6,566,0,0
2023101500,2023-10-15,1,5,29,BAL,TEN,1,10,14,0,0,(5:29) (SHOTGUN) 35-G.EDWARDS LEFT END TO BAL 17 FOR 3 YARDS (2-A.AL-SHAAIR; 26-K.FULTON).,0,2023,3,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT END,14,OWN,0,,0,,0,6,571,0,0
2023101500,2023-10-15,1,4,51,BAL,TEN,2,7,17,0,0,(4:51) (SHOTGUN) 8-L.JACKSON PASS SHORT LEFT TO 3-O.BECKHAM TO BAL 19 FOR 2 YARDS (26-K.FULTON).,0,2023,2,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,17,OWN,0,,0,,0,6,609,0,0
2023101500,2023-10-15,1,4,6,BAL,TEN,3,5,19,1,0,(4:06) (SHOTGUN) 8-L.JACKSON PASS SHORT LEFT TO 3-O.BECKHAM TO TEN 49 FOR 32 YARDS (31-K.BYARD).,0,2023,32,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,19,OWN,0,,0,,0,6,654,0,0
2023101500,2023-10-15,1,3,25,BAL,TEN,1,10,51,1,0,(3:25) (SHOTGUN) 8-L.JACKSON PASS SHORT RIGHT TO 15-N.AGHOLOR TO TEN 30 FOR 19 YARDS (31-K.BYARD).,0,2023,19,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,49,OPP,0,,0,,0,6,695,0,0
2023101500,2023-10-15,1,2,41,BAL,TEN,1,10,70,0,0,"(2:41) (SHOTGUN) 35-G.EDWARDS LEFT TACKLE TO TEN 24 FOR 6 YARDS (94-J.JOHNSON, 31-K.BYARD).",0,2023,6,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT TACKLE,30,OPP,0,,0,,0,6,739,0,0
