GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,SeriesFirstDown,NextScore,Description,TeamWin,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards,Duration,LAC,DAL
2023101600,2023-10-16,1,9,55,DAL,LAC,1,10,36,1,0,(9:55) (SHOTGUN) 4-D.PRESCOTT PASS SHORT MIDDLE TO 88-C.LAMB TO LAC 41 FOR 23 YARDS (20-D.MARLOWE).,0,2023,23,SHOTGUN,PASS,0,1,0,0,SHORT MIDDLE,0,0,0,,0,0,0,0,0,,36,OWN,0,,0,,0,305,0,0
2023101600,2023-10-16,1,9,13,DAL,LAC,1,10,59,0,0,(9:13) (SHOTGUN) 4-D.PRESCOTT PASS INCOMPLETE SHORT RIGHT TO 13-M.GALLUP (43-M.DAVIS).,0,2023,0,SHOTGUN,PASS,0,1,1,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,41,OPP,0,,0,,0,347,0,0
2023101600,2023-10-16,1,9,10,DAL,LAC,2,10,59,0,0,(9:10) 4-D.PRESCOTT PASS SHORT RIGHT TO 20-T.POLLARD TO LAC 34 FOR 7 YARDS (6-E.KENDRICKS).,0,2023,7,UNDER CENTER,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,41,OPP,0,,0,,0,350,0,0
2023101600,2023-10-16,1,8,25,DAL,LAC,3,3,66,1,0,(8:25) (SHOTGUN) 20-T.POLLARD LEFT END TO LAC 27 FOR 7 YARDS (20-D.MARLOWE).,0,2023,7,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT END,34,OPP,0,,0,,0,395,0,0
2023101600,2023-10-16,1,7,45,DAL,LAC,1,10,73,0,0,(7:45) (SHOTGUN) 20-T.POLLARD UP THE MIDDLE TO LAC 22 FOR 5 YARDS (98-A.JOHNSON).,0,2023,5,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,CENTER,27,OPP,0,,0,,0,435,0,0
2023101600,2023-10-16,1,7,11,DAL,LAC,2,5,78,0,0,(7:11) (SHOTGUN) 4-D.PRESCOTT PASS INCOMPLETE DEEP RIGHT TO 13-M.GALLUP.,0,2023,0,SHOTGUN,PASS,0,1,1,0,DEEP RIGHT,0,0,0,,0,0,0,0,0,,22,OPP,0,,0,,0,469,0,0
2023101600,2023-10-16,1,7,6,DAL,LAC,3,5,78,0,0,"(7:06) (SHOTGUN) 4-D.PRESCOTT SCRAMBLES UP THE MIDDLE TO LAC 18 FOR 4 YARDS (52-K.MACK, 6-E.KENDRICKS).",0,2023,4,SHOTGUN,SCRAMBLE,1,0,0,0,,0,0,0,,0,0,0,0,0,,22,OPP,0,,0,,0,474,0,0
2023101600,2023-10-16,1,6,26,DAL,LAC,4,1,82,1,0,"(6:26) (SHOTGUN) 4-D.PRESCOTT RIGHT TACKLE FOR 18 YARDS, TOUCHDOWN.",0,2023,18,SHOTGUN,RUSH,1,0,0,1,,0,0,0,,0,0,0,0,0,RIGHT TACKLE,18,OPP,0,,0,,0,514,0,0
2023101600,2023-10-16,1,6,21,LAC,DAL,1,10,25,0,0,"(6:21) (SHOTGUN) 30-A.EKELER RIGHT GUARD TO LAC 26 FOR 1 YARD (92-D.ARMSTRONG, 2-J.LEWIS).",0,2023,1,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT GUARD,25,OWN,0,,0,,0,519,0,0
2023101600,2023-10-16,1,6,21,LAC,DAL,0,0,65,1,0,"17-B.AUBREY KICKS 65 YARDS FROM DAL 35 TO END ZONE, TOUCHBACK.",0,2023,0,UNDER CENTER,KICK OFF,0,0,0,0,,0,0,0,,0,0,0,0,0,,35,OPP,0,,0,,0,519,0,0
2023101600,2023-10-16,1,6,21,DAL,LAC,0,0,85,1,0,"17-B.AUBREY EXTRA POINT IS GOOD, CENTER-44-T.SIEG, HOLDER-5-B.ANGER.",0,2023,0,UNDER CENTER,EXTRA POINT,0,0,0,0,,0,0,0,,0,0,0,0,0,,15,OPP,0,,0,,0,519,0,0
2023101600,2023-10-16,1,6,21,LAC,DAL,0,0,100,1,0,TIMEOUT AT 06:21.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,519,0,0
2023101600,2023-10-16,1,5,46,LAC,DAL,2,9,26,0,0,(5:46) 7-G.EVERETT LEFT END TO LAC 28 FOR 2 YARDS (97-O.ODIGHIZUWA).,0,2023,2,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT END,26,OWN,0,,0,,0,554,0,0
2023101600,2023-10-16,1,5,13,LAC,DAL,3,7,28,0,0,"(5:13) (NO HUDDLE, SHOTGUN) PENALTY ON DAL, DEFENSIVE TOO MANY MEN ON FIELD, 5 YARDS, ENFORCED AT LAC 28 - NO PLAY.",0,2023,0,NO HUDDLE SHOTGUN,NO PLAY,0,0,0,0,,0,0,0,,0,0,1,0,0,,28,OWN,1,DAL,1,DEFENSIVE TOO MANY MEN ON FIELD,5,587,0,0
2023101600,2023-10-16,1,4,57,LAC,DAL,3,2,33,0,0,(4:57) (SHOTGUN) 10-J.HERBERT PASS INCOMPLETE SHORT MIDDLE TO 7-G.EVERETT [92-D.ARMSTRONG].,0,2023,0,SHOTGUN,PASS,0,1,1,0,SHORT MIDDLE,0,0,0,,0,0,0,0,0,,33,OWN,0,,0,,0,603,0,0
2023101600,2023-10-16,1,4,51,LAC,DAL,4,2,33,0,0,"(4:51) 16-J.SCOTT PUNTS 45 YARDS TO DAL 22, CENTER-47-J.HARRIS, FAIR CATCH BY 9-K.TURPIN.",0,2023,0,PUNT,PUNT,0,0,0,0,,0,0,0,,0,0,0,0,0,,33,OWN,0,,0,,0,609,0,0
2023101600,2023-10-16,1,4,42,DAL,LAC,1,10,22,1,0,(4:42) (SHOTGUN) 4-D.PRESCOTT PASS SHORT MIDDLE TO 88-C.LAMB TO DAL 38 FOR 16 YARDS (20-D.MARLOWE).,0,2023,16,SHOTGUN,PASS,0,1,0,0,SHORT MIDDLE,0,0,0,,0,0,0,0,0,,22,OWN,0,,0,,0,618,0,0
