GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,SeriesFirstDown,NextScore,Description,TeamWin,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards,Week,Duration,PHI,NYJ
2023101511,2023-10-15,1,10,24,PHI,NYJ,1,10,32,1,0,(10:24) (SHOTGUN) 1-J.HURTS PASS SHORT LEFT TO 6-D.SMITH TO PHI 43 FOR 11 YARDS (30-M.CARTER).,0,2023,11,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,32,OWN,0,,0,,0,6,276,0,0
2023101511,2023-10-15,1,9,47,PHI,NYJ,1,10,43,0,0,"(9:47) (SHOTGUN) PENALTY ON NYJ-70-Q.JEFFERSON, NEUTRAL ZONE INFRACTION, 5 YARDS, ENFORCED AT PHI 43 - NO PLAY.",0,2023,0,SHOTGUN,NO PLAY,0,0,0,0,,0,0,0,,0,0,1,0,0,,43,OWN,1,NYJ,1,NEUTRAL ZONE INFRACTION,5,6,313,0,0
2023101511,2023-10-15,1,9,28,PHI,NYJ,1,5,48,0,0,(9:28) (SHOTGUN) 1-J.HURTS SCRAMBLES LEFT END TO NYJ 48 FOR 4 YARDS (56-QU.WILLIAMS).,0,2023,4,SHOTGUN,SCRAMBLE,1,0,0,0,,0,0,0,,0,0,0,0,0,,48,OWN,0,,0,,0,6,332,0,0
2023101511,2023-10-15,1,8,41,PHI,NYJ,2,1,52,1,0,(8:41) (SHOTGUN) 0-D.SWIFT RIGHT TACKLE TO NYJ 46 FOR 2 YARDS (11-J.JOHNSON). PHI-65-L.JOHNSON WAS INJURED DURING THE PLAY.,0,2023,2,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT TACKLE,48,OPP,0,,0,,0,6,379,0,0
2023101511,2023-10-15,1,8,26,PHI,NYJ,0,0,100,1,0,TIMEOUT AT 08:26.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,6,394,0,0
2023101511,2023-10-15,1,8,11,PHI,NYJ,1,10,54,0,0,"(8:11) (SHOTGUN) 0-D.SWIFT RIGHT GUARD TO NYJ 45 FOR 1 YARD (47-B.HUFF, 94-S.THOMAS).",0,2023,1,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT GUARD,46,OPP,0,,0,,0,6,409,0,0
2023101511,2023-10-15,1,7,32,PHI,NYJ,2,9,55,0,0,(7:32) (SHOTGUN) 1-J.HURTS PASS SHORT MIDDLE TO 6-D.SMITH TO NYJ 38 FOR 7 YARDS (56-QU.WILLIAMS).,0,2023,7,SHOTGUN,PASS,0,1,0,0,SHORT MIDDLE,0,0,0,,0,0,0,0,0,,45,OPP,0,,0,,0,6,448,0,0
2023101511,2023-10-15,1,6,48,PHI,NYJ,3,2,62,1,0,(6:48) (SHOTGUN) 1-J.HURTS PASS SHORT LEFT TO 35-B.SCOTT PUSHED OB AT NYJ 24 FOR 14 YARDS (22-T.ADAMS).,0,2023,14,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,38,OPP,0,,0,,0,6,492,0,0
2023101511,2023-10-15,1,6,22,PHI,NYJ,1,10,76,0,0,"(6:22) (NO HUDDLE, SHOTGUN) 1-J.HURTS PASS SHORT RIGHT TO 0-D.SWIFT TO NYJ 18 FOR 6 YARDS (3-J.WHITEHEAD).",0,2023,6,NO HUDDLE SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,24,OPP,0,,0,,0,6,518,0,0
2023101511,2023-10-15,1,5,48,PHI,NYJ,2,4,82,1,0,(5:48) (SHOTGUN) 1-J.HURTS PASS SHORT LEFT TO 88-D.GOEDERT PUSHED OB AT NYJ 13 FOR 5 YARDS (57-C.MOSLEY).,0,2023,5,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,18,OPP,0,,0,,0,6,552,0,0
