GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,SeriesFirstDown,NextScore,Description,TeamWin,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards,Duration,SEA,CIN
2023101503,2023-10-15,1,15,0,SEA,CIN,1,10,25,1,0,(15:00) (SHOTGUN) 7-G.SMITH PASS SHORT RIGHT TO 16-T.LOCKETT TO SEA 35 FOR 10 YARDS (20-D.TURNER).,0,2023,10,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,25,OWN,0,,0,,0,0,0,0
2023101503,2023-10-15,1,15,0,SEA,CIN,0,0,65,1,0,"2-E.MCPHERSON KICKS 65 YARDS FROM CIN 35 TO END ZONE, TOUCHBACK.",0,2023,0,UNDER CENTER,KICK OFF,0,0,0,0,,0,0,0,,0,0,0,0,0,,35,OPP,0,,0,,0,0,0,0
2023101503,2023-10-15,1,14,29,SEA,CIN,1,10,35,0,0,(14:29) (SHOTGUN) 9-K.WALKER RIGHT TACKLE TO SEA 44 FOR 9 YARDS (20-D.TURNER).,0,2023,9,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT TACKLE,35,OWN,0,,0,,0,31,0,0
2023101503,2023-10-15,1,13,49,SEA,CIN,2,1,44,1,0,"(13:49) (SHOTGUN) 78-S.FORSYTHE REPORTED IN AS ELIGIBLE.  26-Z.CHARBONNET RIGHT TACKLE TO SEA 47 FOR 3 YARDS (33-N.SCOTT, 92-B.HILL).",0,2023,3,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT TACKLE,44,OWN,0,,0,,0,71,0,0
2023101503,2023-10-15,1,13,9,SEA,CIN,1,10,47,1,0,(13:09) (SHOTGUN) 7-G.SMITH PASS SHORT RIGHT TO 9-K.WALKER PUSHED OB AT CIN 38 FOR 15 YARDS (29-C.TAYLOR-BRITT).,0,2023,15,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,47,OWN,0,,0,,0,111,0,0
2023101503,2023-10-15,1,12,35,SEA,CIN,1,10,62,0,0,(12:35) 9-K.WALKER LEFT END TO CIN 41 FOR -3 YARDS (91-T.HENDRICKSON).,0,2023,-3,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT END,38,OPP,0,,0,,0,145,0,0
2023101503,2023-10-15,1,11,56,SEA,CIN,2,13,59,0,0,(11:56) (SHOTGUN) 7-G.SMITH PASS SHORT LEFT TO 87-N.FANT PUSHED OB AT CIN 32 FOR 9 YARDS (20-D.TURNER).,0,2023,9,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,41,OPP,0,,0,,0,184,0,0
2023101503,2023-10-15,1,11,15,SEA,CIN,3,4,68,1,0,(11:15) (SHOTGUN) 7-G.SMITH PASS SHORT LEFT TO 11-J.SMITH-NJIGBA TO CIN 20 FOR 12 YARDS (57-G.PRATT).,0,2023,12,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,32,OPP,0,,0,,0,225,0,0
2023101503,2023-10-15,1,10,33,SEA,CIN,1,10,80,0,0,(10:33) 7-G.SMITH PASS SHORT RIGHT TO 16-T.LOCKETT TO CIN 15 FOR 5 YARDS (29-C.TAYLOR-BRITT).,0,2023,5,UNDER CENTER,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,20,OPP,0,,0,,0,267,0,0
2023101503,2023-10-15,1,9,54,SEA,CIN,2,5,85,1,0,(9:54) (SHOTGUN) 9-K.WALKER RIGHT GUARD TO CIN 9 FOR 6 YARDS (29-C.TAYLOR-BRITT).,0,2023,6,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT GUARD,15,OPP,0,,0,,0,306,0,0
2023101503,2023-10-15,1,9,11,SEA,CIN,1,9,91,0,0,"(9:11) 9-K.WALKER LEFT TACKLE TO CIN 3 FOR 6 YARDS (95-Z.CARTER, 23-D.HILL).",0,2023,6,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT TACKLE,9,OPP,0,,0,,0,349,0,0
2023101503,2023-10-15,1,8,43,SEA,CIN,2,3,97,0,0,"(8:43) (NO HUDDLE, SHOTGUN) 7-G.SMITH PASS INCOMPLETE SHORT MIDDLE TO 16-T.LOCKETT (33-N.SCOTT). PENALTY ON CIN-33-N.SCOTT, DEFENSIVE PASS INTERFERENCE, 2 YARDS, ENFORCED AT CIN 3 - NO PLAY.",0,2023,0,NO HUDDLE SHOTGUN,PASS,0,1,1,0,SHORT MIDDLE,0,0,0,,0,0,1,0,0,,3,OPP,1,CIN,1,DEFENSIVE PASS INTERFERENCE,2,377,0,0
2023101503,2023-10-15,1,8,40,SEA,CIN,1,1,99,1,0,"(8:40) 9-K.WALKER UP THE MIDDLE FOR 1 YARD, TOUCHDOWN.",0,2023,1,UNDER CENTER,RUSH,1,0,0,1,,0,0,0,,0,0,0,0,0,CENTER,1,OPP,0,,0,,0,380,0,0
