GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,SeriesFirstDown,NextScore,Description,TeamWin,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards,Duration,DET,TB
2023101508,2023-10-15,1,10,12,TB,DET,0,0,100,1,0,TIMEOUT AT 10:12.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,288,0,0
2023101508,2023-10-15,1,10,12,TB,DET,1,10,8,0,0,(10:12) (SHOTGUN) 6-B.MAYFIELD PASS SHORT LEFT INTENDED FOR 13-M.EVANS INTERCEPTED BY 25-W.HARRIS (96-I.BUGGS) AT TB 12. 25-W.HARRIS TO TB 12 FOR NO GAIN (83-D.THOMPKINS).,0,2023,0,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,1,0,0,0,0,,8,OWN,0,,0,,0,288,0,0
2023101508,2023-10-15,1,10,8,DET,TB,1,10,88,0,0,(10:08) 16-J.GOFF PASS SHORT RIGHT TO 14-A.ST. BROWN RAN OB AT TB 9 FOR 3 YARDS (24-C.DAVIS).,0,2023,3,UNDER CENTER,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,12,OPP,0,,0,,0,292,0,0
2023101508,2023-10-15,1,9,31,DET,TB,2,7,91,0,0,"(9:31) (SHOTGUN) 5-D.MONTGOMERY RIGHT END TO TB 10 FOR -1 YARDS (9-J.TRYON, 0-Y.DIABY).",0,2023,-1,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT END,9,OPP,0,,0,,0,329,0,0
2023101508,2023-10-15,1,8,50,DET,TB,3,8,90,0,0,"(8:50) (SHOTGUN) 5-D.MONTGOMERY RIGHT TACKLE TO TB 13 FOR -3 YARDS (50-V.VEA). FUMBLES (50-V.VEA), TOUCHED AT TB 13, AND RECOVERS AT TB 12.",0,2023,-3,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,1,0,0,0,RIGHT TACKLE,10,OPP,0,,0,,0,370,0,0
2023101508,2023-10-15,1,8,13,DET,TB,4,10,88,0,0,"(8:13) 36-R.PATTERSON 30 YARD FIELD GOAL IS GOOD, CENTER-47-S.DALY, HOLDER-3-J.FOX.",0,2023,0,FIELD GOAL,FIELD GOAL,0,0,0,0,,0,0,0,,0,0,0,0,0,,12,OPP,0,,0,,0,407,0,0
2023101508,2023-10-15,1,8,9,TB,DET,0,0,65,0,0,"36-R.PATTERSON KICKS 65 YARDS FROM DET 35 TO TB 0. 83-D.THOMPKINS TO TB 20 FOR 20 YARDS (55-D.BARNES). PENALTY ON TB-26-K.MERRIWEATHER, OFFENSIVE HOLDING, 8 YARDS, ENFORCED AT TB 16.",0,2023,0,UNDER CENTER,KICK OFF,0,0,0,0,,0,0,0,,0,0,1,0,0,,35,OPP,1,TB,0,OFFENSIVE HOLDING,8,411,0,0
2023101508,2023-10-15,1,8,9,TB,DET,0,0,100,1,0,TIMEOUT AT 08:09.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,411,0,0
2023101508,2023-10-15,1,8,3,TB,DET,1,10,8,0,0,(8:03) 1-R.WHITE UP THE MIDDLE TO TB 14 FOR 6 YARDS (46-J.CAMPBELL).,0,2023,6,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,CENTER,8,OWN,0,,0,,0,417,0,0
2023101508,2023-10-15,1,7,27,TB,DET,2,4,14,1,0,(7:27) (SHOTGUN) 6-B.MAYFIELD PASS SHORT RIGHT TO 87-P.DURHAM TO TB 22 FOR 8 YARDS (46-J.CAMPBELL; 96-I.BUGGS).,0,2023,8,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,14,OWN,0,,0,,0,453,0,0
