GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,SeriesFirstDown,NextScore,Description,TeamWin,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards,Duration,LV,NE
2023101509,2023-10-15,1,9,1,LV,NE,3,1,87,0,0,"(9:01) 8-J.JACOBS LEFT TACKLE TO NE 6 FOR 7 YARDS (23-K.DUGGER). PENALTY ON LV-66-D.PARHAM, OFFENSIVE HOLDING, 10 YARDS, ENFORCED AT NE 13 - NO PLAY.",0,2023,7,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,1,0,0,LEFT TACKLE,13,OPP,1,LV,1,OFFENSIVE HOLDING,10,359,0,0
2023101509,2023-10-15,1,8,37,LV,NE,3,11,77,0,0,(8:37) (SHOTGUN) 10-J.GAROPPOLO PASS INCOMPLETE SHORT MIDDLE TO 3-D.CARTER.,0,2023,0,SHOTGUN,PASS,0,1,1,0,SHORT MIDDLE,0,0,0,,0,0,0,0,0,,23,OPP,0,,0,,0,383,0,0
2023101509,2023-10-15,1,8,29,LV,NE,1,10,89,0,0,(8:29) 8-J.JACOBS RIGHT GUARD TO NE 8 FOR 3 YARDS (90-C.BARMORE).,0,2023,3,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT GUARD,11,OPP,0,,0,,0,391,0,0
2023101509,2023-10-15,1,7,46,LV,NE,2,7,92,0,0,(7:46) 8-J.JACOBS RIGHT TACKLE TO NE 6 FOR 2 YARDS (33-A.JENNINGS).,0,2023,2,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT TACKLE,8,OPP,0,,0,,0,434,0,0
2023101509,2023-10-15,1,7,4,LV,NE,3,5,94,0,0,(7:04) (SHOTGUN) 10-J.GAROPPOLO PASS INCOMPLETE SHORT LEFT [8-J.BENTLEY].,0,2023,0,SHOTGUN,PASS,0,1,1,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,6,OPP,0,,0,,0,476,0,0
2023101509,2023-10-15,1,6,57,LV,NE,4,5,94,0,0,"(6:57) 2-D.CARLSON 25 YARD FIELD GOAL IS GOOD, CENTER-50-J.BOBENMOYER, HOLDER-6-A.COLE.",0,2023,0,FIELD GOAL,FIELD GOAL,0,0,0,0,,0,0,0,,0,0,0,0,0,,6,OPP,0,,0,,0,483,0,0
2023101509,2023-10-15,1,6,54,NE,LV,1,15,20,0,0,"(6:54) 10-M.JONES PASS INCOMPLETE SHORT LEFT. PENALTY ON NE-77-T.BROWN, INELIGIBLE DOWNFIELD PASS, DECLINED.",0,2023,0,UNDER CENTER,PASS,0,1,1,0,SHORT LEFT,0,0,0,,0,0,1,0,0,,20,OWN,0,NE,0,INELIGIBLE DOWNFIELD PASS,0,486,0,0
2023101509,2023-10-15,1,6,54,NE,LV,0,0,65,1,0,"2-D.CARLSON KICKS 65 YARDS FROM LV 35 TO END ZONE, TOUCHBACK.",0,2023,0,UNDER CENTER,KICK OFF,0,0,0,0,,0,0,0,,0,0,0,0,0,,35,OPP,0,,0,,0,486,0,0
2023101509,2023-10-15,1,6,54,LV,NE,0,0,100,1,0,TIMEOUT AT 06:54.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,486,0,0
2023101509,2023-10-15,1,6,54,NE,LV,1,10,25,0,0,"(6:54) PENALTY ON NE-59-V.LOWE, FALSE START, 5 YARDS, ENFORCED AT NE 25 - NO PLAY.",0,2023,0,UNDER CENTER,NO PLAY,0,0,0,0,,0,0,0,,0,0,1,0,0,,25,OWN,1,NE,1,FALSE START,5,486,0,0
2023101509,2023-10-15,1,6,50,NE,LV,2,15,20,0,0,(6:50) (SHOTGUN) 10-M.JONES PASS INCOMPLETE SHORT RIGHT TO 38-R.STEVENSON.,0,2023,0,SHOTGUN,PASS,0,1,1,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,20,OWN,0,,0,,0,490,0,0
2023101509,2023-10-15,1,6,46,NE,LV,3,15,20,0,0,(6:46) (SHOTGUN) 38-R.STEVENSON LEFT TACKLE TO NE 26 FOR 6 YARDS (41-R.SPILLANE).,0,2023,6,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT TACKLE,20,OWN,0,,0,,0,494,0,0
