GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,SeriesFirstDown,NextScore,Description,TeamWin,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards,Duration,CLE,SF
2023101504,2023-10-15,1,8,55,CLE,SF,2,4,57,1,0,(8:55) (SHOTGUN) 10-P.WALKER PASS SHORT RIGHT INTENDED FOR 18-DAV.BELL INTERCEPTED BY 54-F.WARNER AT SF 42. 54-F.WARNER TO CLE 26 FOR 32 YARDS (10-P.WALKER).,0,2023,32,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,1,0,0,0,0,,43,OPP,0,,0,,0,365,0,0
2023101504,2023-10-15,1,8,46,SF,CLE,1,10,74,0,0,(8:46) 13-B.PURDY PASS SHORT LEFT TO 23-C.MCCAFFREY TO CLE 34 FOR -8 YARDS (6-J.OWUSU-KORAMOAH).,0,2023,-8,UNDER CENTER,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,26,OPP,0,,0,,0,374,0,0
2023101504,2023-10-15,1,7,59,SF,CLE,2,18,66,0,0,"(7:59) (SHOTGUN) PENALTY ON SF-85-G.KITTLE, FALSE START, 5 YARDS, ENFORCED AT CLE 34 - NO PLAY.",0,2023,0,SHOTGUN,NO PLAY,0,0,0,0,,0,0,0,,0,0,1,0,0,,34,OPP,1,SF,1,FALSE START,5,421,0,0
2023101504,2023-10-15,1,7,36,SF,CLE,2,23,61,0,0,(7:36) (SHOTGUN) 13-B.PURDY PASS INCOMPLETE SHORT LEFT TO 19-D.SAMUEL (23-M.EMERSON).,0,2023,0,SHOTGUN,PASS,0,1,1,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,39,OPP,0,,0,,0,444,0,0
2023101504,2023-10-15,1,7,32,SF,CLE,3,23,61,0,0,(7:32) (SHOTGUN) 19-D.SAMUEL LEFT TACKLE PUSHED OB AT CLE 36 FOR 3 YARDS (26-R.MCLEOD).,0,2023,3,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT TACKLE,39,OPP,0,,0,,0,448,0,0
2023101504,2023-10-15,1,6,55,SF,CLE,4,20,64,0,0,"(6:55) 4-J.MOODY 54 YARD FIELD GOAL IS NO GOOD, WIDE LEFT, CENTER-46-T.PEPPER, HOLDER-18-M.WISHNOWSKY.",0,2023,0,FIELD GOAL,FIELD GOAL,0,0,0,0,,0,0,0,,0,0,0,0,0,,36,OPP,0,,0,,0,485,0,0
2023101504,2023-10-15,1,6,50,CLE,SF,1,10,44,0,0,(6:50) (SHOTGUN) 66-J.HUDSON REPORTED IN AS ELIGIBLE. DIRECT SNAP TO 34-J.FORD.  34-J.FORD RIGHT GUARD TO CLE 48 FOR 4 YARDS (90-K.GIVENS; 48-O.BURKS).,0,2023,0,SHOTGUN,,0,0,0,0,,0,0,0,,0,0,0,0,0,,44,OWN,0,,0,,0,490,0,0
2023101504,2023-10-15,1,6,50,CLE,SF,0,0,100,1,0,TIMEOUT AT 06:50.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,490,0,0
2023101504,2023-10-15,1,6,9,CLE,SF,2,6,48,1,0,(6:09) 3-M.GOODWIN LEFT END TO SF 32 FOR 20 YARDS (29-T.HUFANGA).,0,2023,20,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT END,48,OWN,0,,0,,0,531,0,0
2023101504,2023-10-15,1,5,23,CLE,SF,1,10,68,0,0,"(5:23) 10-P.WALKER PASS SHORT RIGHT TO 85-D.NJOKU FOR 32 YARDS, TOUCHDOWN NULLIFIED BY PENALTY. PENALTY ON CLE-77-W.TELLER, OFFENSIVE HOLDING, 10 YARDS, ENFORCED AT SF 32 - NO PLAY.",0,2023,32,UNDER CENTER,PASS,0,1,0,1,SHORT RIGHT,0,0,0,,0,0,1,0,0,,32,OPP,1,CLE,1,OFFENSIVE HOLDING,10,577,0,0
2023101504,2023-10-15,1,5,14,CLE,SF,1,20,58,0,0,(5:14) (SHOTGUN) 34-J.FORD LEFT GUARD TO SF 40 FOR 2 YARDS (97-N.BOSA).,0,2023,2,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT GUARD,42,OPP,0,,0,,0,586,0,0
2023101504,2023-10-15,1,4,37,CLE,SF,2,18,60,0,0,(4:37) (SHOTGUN) 10-P.WALKER PASS INCOMPLETE DEEP LEFT TO 3-M.GOODWIN.,0,2023,0,SHOTGUN,PASS,0,1,1,0,DEEP LEFT,0,0,0,,0,0,0,0,0,,40,OPP,0,,0,,0,623,0,0
2023101504,2023-10-15,1,4,32,CLE,SF,3,18,60,0,0,"(4:32) (SHOTGUN) 10-P.WALKER PASS SHORT RIGHT TO 2-A.COOPER TO SF 29 FOR 11 YARDS (7-C.WARD). FUMBLES (7-C.WARD), AND RECOVERS AT SF 29. SAN FRANCISCO CHALLENGED THE PASS COMPLETION RULING, AND THE PLAY WAS UPHELD. THE RULING ON THE FIELD STANDS. (TIMEOUT #1.)",0,2023,11,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,1,0,,0,1,0,0,0,,40,OPP,0,,0,,0,628,0,0
2023101504,2023-10-15,1,3,55,CLE,SF,4,7,71,0,0,"(3:55) 7-D.HOPKINS 47 YARD FIELD GOAL IS NO GOOD, WIDE LEFT, CENTER-47-C.HUGHLETT, HOLDER-13-C.BOJORQUEZ.",0,2023,0,FIELD GOAL,FIELD GOAL,0,0,0,0,,0,0,0,,0,0,0,0,0,,29,OPP,0,,0,,0,665,0,0
2023101504,2023-10-15,1,3,55,CLE,SF,0,0,100,1,0,TIMEOUT AT 03:55.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,665,0,0
2023101504,2023-10-15,1,3,51,CLE,SF,0,0,100,1,0,TIMEOUT AT 03:51.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,669,0,0
2023101504,2023-10-15,1,3,51,SF,CLE,1,10,37,0,0,(3:51) (SHOTGUN) 23-C.MCCAFFREY RIGHT GUARD TO SF 39 FOR 2 YARDS (5-A.WALKER).,0,2023,2,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT GUARD,37,OWN,0,,0,,0,669,0,0
2023101504,2023-10-15,1,3,14,SF,CLE,2,8,39,0,0,(3:14) (SHOTGUN) 13-B.PURDY SCRAMBLES RIGHT END PUSHED OB AT SF 44 FOR 5 YARDS (23-M.EMERSON). SF-71-T.WILLIAMS WAS INJURED DURING THE PLAY. HIS RETURN IS QUESTIONABLE.,0,2023,5,SHOTGUN,SCRAMBLE,1,0,0,0,,0,0,0,,0,0,0,0,0,,39,OWN,0,,0,,0,706,0,0
2023101504,2023-10-15,1,3,6,SF,CLE,0,0,100,1,0,TIMEOUT AT 03:06.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,714,0,0
2023101504,2023-10-15,1,2,56,SF,CLE,3,3,44,0,0,"(2:56) (SHOTGUN) 13-B.PURDY PASS SHORT LEFT TO 85-G.KITTLE TO 50 FOR 6 YARDS (22-G.DELPIT). PENALTY ON SF-74-S.BURFORD, ILLEGAL USE OF HANDS, 10 YARDS, ENFORCED AT SF 44 - NO PLAY.",0,2023,6,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,1,0,0,,44,OWN,1,SF,1,ILLEGAL USE OF HANDS,10,724,0,0
2023101504,2023-10-15,1,2,23,SF,CLE,3,13,34,0,0,(2:23) (SHOTGUN) 13-B.PURDY PASS INCOMPLETE DEEP RIGHT TO 11-B.AIYUK [99-Z.SMITH].,0,2023,0,SHOTGUN,PASS,0,1,1,0,DEEP RIGHT,0,0,0,,0,0,0,0,0,,34,OWN,0,,0,,0,757,0,0
2023101504,2023-10-15,1,2,18,SF,CLE,4,13,34,0,0,"(2:18) 18-M.WISHNOWSKY PUNTS 58 YARDS TO CLE 8, CENTER-46-T.PEPPER. 16-J.DARDEN TO CLE 19 FOR 11 YARDS (59-C.ROBINSON). PENALTY ON SF-20-A.THOMAS, FACE MASK, 15 YARDS, ENFORCED AT CLE 19.",0,2023,0,PUNT,PUNT,0,0,0,0,,0,0,0,,0,0,1,0,0,,34,OWN,1,SF,0,FACE MASK,15,762,0,0
2023101504,2023-10-15,1,2,8,CLE,SF,1,10,34,0,0,(2:08) (SHOTGUN) 34-J.FORD LEFT END TO CLE 40 FOR 6 YARDS (31-T.GIPSON).,0,2023,6,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT END,34,OWN,0,,0,,0,772,0,0
2023101504,2023-10-15,1,1,38,CLE,SF,2,4,40,0,0,(1:38) (NO HUDDLE) 34-J.FORD RIGHT GUARD TO CLE 43 FOR 3 YARDS (98-J.HARGRAVE).,0,2023,3,NO HUDDLE,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT GUARD,40,OWN,0,,0,,0,802,0,0
2023101504,2023-10-15,1,1,18,CLE,SF,3,1,43,0,0,"(1:18) (NO HUDDLE) 10-P.WALKER RIGHT GUARD TO CLE 43 FOR NO GAIN (48-O.BURKS). CLEVELAND CHALLENGED THE SHORT OF THE LINE TO GAIN RULING, AND THE PLAY WAS REVERSED. (NO HUDDLE) 10-P.WALKER RIGHT GUARD TO CLE 44 FOR 1 YARD (48-O.BURKS).",0,2023,0,NO HUDDLE,RUSH,1,0,0,0,,0,1,1,,0,0,0,0,0,RIGHT GUARD,43,OWN,0,,0,,0,822,0,0
