GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,SeriesFirstDown,NextScore,Description,TeamWin,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards,Week,Duration,LA,ARI
2023101510,2023-10-15,1,9,9,ARI,LA,1,10,7,0,0,"(9:09) 29-D.WILLIAMS UP THE MIDDLE TO ARI 11 FOR 4 YARDS (51-Z.VANVALKENBURG, 91-K.TURNER).",0,2023,4,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,CENTER,7,OWN,0,,0,,0,6,351,0,0
2023101510,2023-10-15,1,8,34,ARI,LA,2,6,11,0,0,"(8:34) 29-D.WILLIAMS UP THE MIDDLE TO ARI 13 FOR 2 YARDS (53-E.JONES, 97-M.HOECHT).",0,2023,2,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,CENTER,11,OWN,0,,0,,0,6,386,0,0
2023101510,2023-10-15,1,7,49,ARI,LA,3,4,13,1,0,(7:49) (SHOTGUN) 9-J.DOBBS PASS DEEP RIGHT TO 14-MI.WILSON TO ARI 30 FOR 17 YARDS (14-C.DURANT).,0,2023,17,SHOTGUN,PASS,0,1,0,0,DEEP RIGHT,0,0,0,,0,0,0,0,0,,13,OWN,0,,0,,0,6,431,0,0
2023101510,2023-10-15,1,7,20,ARI,LA,1,10,30,0,0,(7:20) (NO HUDDLE) 31-E.DEMERCADO RIGHT TACKLE TO ARI 35 FOR 5 YARDS (99-A.DONALD; 14-C.DURANT).,0,2023,5,NO HUDDLE,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT TACKLE,30,OWN,0,,0,,0,6,460,0,0
2023101510,2023-10-15,1,6,39,ARI,LA,2,5,35,1,0,(6:39) 9-J.DOBBS PASS SHORT RIGHT TO 4-R.MOORE TO ARI 42 FOR 7 YARDS (4-J.FULLER) [0-B.YOUNG].,0,2023,7,UNDER CENTER,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,35,OWN,0,,0,,0,6,501,0,0
2023101510,2023-10-15,1,6,3,ARI,LA,1,10,42,0,0,(6:03) (SHOTGUN) 29-D.WILLIAMS UP THE MIDDLE TO ARI 41 FOR -1 YARDS (99-A.DONALD).,0,2023,-1,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,CENTER,42,OWN,0,,0,,0,6,537,0,0
2023101510,2023-10-15,1,5,27,ARI,LA,2,11,41,0,0,(5:27) 29-D.WILLIAMS RIGHT TACKLE TO ARI 43 FOR 2 YARDS (91-K.TURNER).,0,2023,2,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT TACKLE,41,OWN,0,,0,,0,6,573,0,0
2023101510,2023-10-15,1,4,48,ARI,LA,3,9,43,1,0,(4:48) (SHOTGUN) 9-J.DOBBS PASS SHORT LEFT TO 4-R.MOORE TO LAR 48 FOR 9 YARDS (4-J.FULLER) [32-O.MATHIS].,0,2023,9,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,43,OWN,0,,0,,0,6,612,0,0
2023101510,2023-10-15,1,4,5,ARI,LA,1,10,52,0,0,"(4:05) (NO HUDDLE, SHOTGUN) 9-J.DOBBS PASS INCOMPLETE SHORT MIDDLE TO 85-T.MCBRIDE (14-C.DURANT).",0,2023,0,NO HUDDLE SHOTGUN,PASS,0,1,1,0,SHORT MIDDLE,0,0,0,,0,0,0,0,0,,48,OPP,0,,0,,0,6,655,0,0
2023101510,2023-10-15,1,4,0,ARI,LA,2,10,52,0,0,(4:00) (SHOTGUN) 29-D.WILLIAMS RIGHT TACKLE TO LAR 40 FOR 8 YARDS (56-C.ROZEBOOM).,0,2023,8,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT TACKLE,48,OPP,0,,0,,0,6,660,0,0
2023101510,2023-10-15,1,3,18,ARI,LA,3,2,60,0,0,(3:18) (SHOTGUN) 9-J.DOBBS SACKED AT ARI 47 FOR -13 YARDS (92-J.WILLIAMS).,0,2023,-13,SHOTGUN,SACK,0,0,0,0,,1,0,0,,0,0,0,0,0,,40,OPP,0,,0,,0,6,702,0,0
2023101510,2023-10-15,1,2,20,ARI,LA,4,15,47,0,0,"(2:20) 12-B.GILLIKIN PUNTS 41 YARDS TO LAR 12, CENTER-46-A.BREWER. 81-A.TRAMMELL PUSHED OB AT LAR 41 FOR 29 YARDS (12-B.GILLIKIN).",0,2023,0,PUNT,PUNT,0,0,0,0,,0,0,0,,0,0,0,0,0,,47,OWN,0,,0,,0,6,760,0,0
2023101510,2023-10-15,1,2,7,LA,ARI,1,10,59,0,0,(2:07) (SHOTGUN) 9-M.STAFFORD PASS SHORT RIGHT TO 17-P.NACUA TO LAR 47 FOR 6 YARDS (13-K.CLARK).,0,2023,6,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,41,OPP,0,,0,,0,6,773,0,0
2023101510,2023-10-15,1,2,7,ARI,LA,0,0,100,1,0,TIMEOUT AT 02:07.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,6,773,0,0
2023101510,2023-10-15,1,1,25,LA,ARI,2,4,53,1,0,(1:25) (SHOTGUN) 9-M.STAFFORD PASS SHORT LEFT TO 10-C.KUPP TO ARI 16 FOR 37 YARDS (20-MA.WILSON).,0,2023,37,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,47,OPP,0,,0,,0,6,815,0,0
