GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,SeriesFirstDown,NextScore,Description,TeamWin,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards,Duration,KC,DEN
2023101200,2023-10-12,1,15,0,DEN,KC,0,0,65,1,0,"7-H.BUTKER KICKS 65 YARDS FROM KC 35 TO END ZONE, TOUCHBACK.",0,2023,0,UNDER CENTER,KICK OFF,0,0,0,0,,0,0,0,,0,0,0,0,0,,35,OPP,0,,0,,0,0,0,0
2023101200,2023-10-12,1,15,0,DEN,KC,1,10,25,0,0,(15:00) (SHOTGUN) 38-J.MCLAUGHLIN RIGHT TACKLE TO DEN 34 FOR 9 YARDS (50-W.GAY).,0,2023,9,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT TACKLE,25,OWN,0,,0,,0,0,0,0
2023101200,2023-10-12,1,14,27,DEN,KC,2,1,34,1,0,(14:27) 20-M.BURTON RIGHT GUARD TO DEN 37 FOR 3 YARDS (38-L.SNEED; 50-W.GAY).,0,2023,3,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT GUARD,34,OWN,0,,0,,0,33,0,0
2023101200,2023-10-12,1,13,54,DEN,KC,1,10,37,0,0,(13:54) (SHOTGUN) 3-R.WILSON PASS SHORT LEFT TO 14-C.SUTTON TO DEN 46 FOR 9 YARDS (22-T.MCDUFFIE).,0,2023,9,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,37,OWN,0,,0,,0,66,0,0
2023101200,2023-10-12,1,13,18,DEN,KC,2,1,46,0,0,(13:18) 3-R.WILSON PASS SHORT RIGHT TO 10-J.JEUDY TO DEN 45 FOR -1 YARDS (27-C.CONNER).,0,2023,-1,UNDER CENTER,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,46,OWN,0,,0,,0,102,0,0
2023101200,2023-10-12,1,12,20,DEN,KC,3,2,45,1,0,(12:20) 75-Q.BAILEY REPORTED IN AS ELIGIBLE.  33-J.WILLIAMS RIGHT TACKLE TO KC 45 FOR 10 YARDS (6-B.COOK).,0,2023,10,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT TACKLE,45,OWN,0,,0,,0,160,0,0
2023101200,2023-10-12,1,11,39,DEN,KC,1,10,55,0,0,(11:39) (SHOTGUN) 33-J.WILLIAMS UP THE MIDDLE TO KC 42 FOR 3 YARDS (95-C.JONES).,0,2023,3,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,CENTER,45,OPP,0,,0,,0,201,0,0
2023101200,2023-10-12,1,11,1,DEN,KC,2,7,58,0,0,(11:01) 38-J.MCLAUGHLIN RIGHT TACKLE TO KC 42 FOR NO GAIN (50-W.GAY).,0,2023,0,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT TACKLE,42,OPP,0,,0,,0,239,0,0
2023101200,2023-10-12,1,10,19,DEN,KC,3,7,58,0,0,(10:19) (SHOTGUN) 3-R.WILSON PASS SHORT RIGHT TO 82-A.TRAUTMAN TO KC 38 FOR 4 YARDS (20-J.REID).,0,2023,4,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,42,OPP,0,,0,,0,281,0,0
2023101200,2023-10-12,1,9,32,DEN,KC,4,3,62,0,0,(9:32) (SHOTGUN) 3-R.WILSON SACKED AT KC 41 FOR -3 YARDS (20-J.REID).,0,2023,-3,SHOTGUN,SACK,0,0,0,0,,1,0,0,,0,0,0,0,0,,38,OPP,0,,0,,0,328,0,0
2023101200,2023-10-12,1,9,32,DEN,KC,0,0,100,1,0,TIMEOUT #1 BY DEN AT 09:32.,0,2023,0,UNDER CENTER,TIMEOUT,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,328,0,0
2023101200,2023-10-12,1,9,24,KC,DEN,1,10,41,0,0,(9:24) (SHOTGUN) 10-I.PACHECO RIGHT GUARD TO KC 45 FOR 4 YARDS (41-D.SANDERS; 99-Z.ALLEN).,0,2023,4,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT GUARD,41,OWN,0,,0,,0,336,0,0
2023101200,2023-10-12,1,9,24,KC,DEN,0,0,100,1,0,TIMEOUT AT 09:24.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,336,0,0
2023101200,2023-10-12,1,8,50,KC,DEN,2,6,45,1,0,(8:50) (SHOTGUN) 10-I.PACHECO RIGHT TACKLE TO DEN 48 FOR 7 YARDS (27-D.MATHIS; 92-J.HARRIS).,0,2023,7,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT TACKLE,45,OWN,0,,0,,0,370,0,0
