GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,SeriesFirstDown,NextScore,Description,TeamWin,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards,Week,Duration,MIA,CAR
2023101507,2023-10-15,1,9,3,CAR,MIA,3,6,67,1,0,"(9:03) (SHOTGUN) 9-B.YOUNG PASS SHORT LEFT TO 19-A.THIELEN PUSHED OB AT MIA 26 FOR 7 YARDS (8-J.HOLLAND, 33-E.APPLE).",0,2023,7,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,33,OPP,0,,0,,0,6,357,0,0
2023101507,2023-10-15,1,8,40,CAR,MIA,1,10,74,0,0,"(8:40) (NO HUDDLE, SHOTGUN) 30-C.HUBBARD RIGHT GUARD TO MIA 25 FOR 1 YARD (51-D.LONG, 2-B.CHUBB).",0,2023,1,NO HUDDLE SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT GUARD,26,OPP,0,,0,,0,6,380,0,0
2023101507,2023-10-15,1,8,0,CAR,MIA,2,9,75,1,0,(8:00) (SHOTGUN) 30-C.HUBBARD LEFT END PUSHED OB AT MIA 6 FOR 19 YARDS (8-J.HOLLAND).,0,2023,19,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT END,25,OPP,0,,0,,0,6,420,0,0
2023101507,2023-10-15,1,7,18,CAR,MIA,1,6,94,0,0,"(7:18) 30-C.HUBBARD UP THE MIDDLE FOR 6 YARDS, TOUCHDOWN. PENALTY ON MIA-55-J.BAKER, DEFENSIVE OFFSIDE, DECLINED.",0,2023,6,UNDER CENTER,RUSH,1,0,0,1,,0,0,0,,0,0,1,0,0,CENTER,6,OPP,0,MIA,0,DEFENSIVE OFFSIDE,0,6,462,0,0
2023101507,2023-10-15,1,7,13,MIA,CAR,0,0,100,1,0,TIMEOUT AT 07:13.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,6,467,0,0
2023101507,2023-10-15,1,7,13,MIA,CAR,1,10,25,0,0,(7:13) (SHOTGUN) 1-T.TAGOVAILOA PASS SHORT LEFT TO 17-J.WADDLE TO MIA 32 FOR 7 YARDS (26-D.JACKSON).,0,2023,7,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,25,OWN,0,,0,,0,6,467,0,0
2023101507,2023-10-15,1,7,13,CAR,MIA,0,0,85,1,0,"4-E.PINEIRO EXTRA POINT IS GOOD, CENTER-44-J.JANSEN, HOLDER-10-J.HEKKER.",0,2023,0,UNDER CENTER,EXTRA POINT,0,0,0,0,,0,0,0,,0,0,0,0,0,,15,OPP,0,,0,,0,6,467,0,0
2023101507,2023-10-15,1,7,13,MIA,CAR,0,0,65,1,0,"4-E.PINEIRO KICKS 65 YARDS FROM CAR 35 TO END ZONE, TOUCHBACK.",0,2023,0,UNDER CENTER,KICK OFF,0,0,0,0,,0,0,0,,0,0,0,0,0,,35,OPP,0,,0,,0,6,467,0,0
2023101507,2023-10-15,1,6,39,MIA,CAR,2,3,32,0,0,(6:39) (SHOTGUN) 31-R.MOSTERT UP THE MIDDLE TO MIA 34 FOR 2 YARDS (54-K.GRUGIER-HILL; 96-D.WILLIAMS).,0,2023,2,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,CENTER,32,OWN,0,,0,,0,6,501,0,0
2023101507,2023-10-15,1,6,8,MIA,CAR,3,1,34,0,0,"(6:08) 1-T.TAGOVAILOA FUMBLES (ABORTED) AT MIA 26, RECOVERED BY MIA-31-R.MOSTERT AT MIA 25. 31-R.MOSTERT PUSHED OB AT MIA 24 FOR -1 YARDS (54-K.GRUGIER-HILL).",0,2023,0,UNDER CENTER,FUMBLES,0,0,0,0,,0,0,0,,0,1,0,0,0,,34,OWN,0,,0,,0,6,532,0,0
