GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,SeriesFirstDown,NextScore,Description,TeamWin,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards,Duration,BUF,NYG
2023101512,2023-10-15,1,15,0,BUF,NYG,0,0,65,0,0,"9-G.GANO KICKS 65 YARDS FROM NYG 35 TO END ZONE, TOUCHBACK. D.HARRIS KNEELS, 7 YDS. INTO END ZONE. PENALTY ON BUF-25-T.DODSON, UNNECESSARY ROUGHNESS, OFFSETTING. PENALTY ON NYG-47-C.BROWN, UNNECESSARY ROUGHNESS, OFFSETTING.",0,2023,0,UNDER CENTER,KICK OFF,0,0,0,0,,0,0,0,,0,0,1,0,0,,35,OPP,1,BUF,0,UNNECESSARY ROUGHNESS,0,0,0,0
2023101512,2023-10-15,1,15,0,BUF,NYG,1,10,25,0,0,(15:00) (SHOTGUN) 17-J.ALLEN PASS SHORT RIGHT TO 14-S.DIGGS RAN OB AT BUF 28 FOR 3 YARDS (22-A.JACKSON).,0,2023,3,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,25,OWN,0,,0,,0,0,0,0
2023101512,2023-10-15,1,14,22,BUF,NYG,2,7,28,0,0,(14:22) 17-J.ALLEN PASS INCOMPLETE SHORT LEFT TO 14-S.DIGGS.,0,2023,0,UNDER CENTER,PASS,0,1,1,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,28,OWN,0,,0,,0,38,0,0
2023101512,2023-10-15,1,14,19,BUF,NYG,3,7,28,0,0,(14:19) (SHOTGUN) 17-J.ALLEN PASS INCOMPLETE DEEP RIGHT TO 13-G.DAVIS.,0,2023,0,SHOTGUN,PASS,0,1,1,0,DEEP RIGHT,0,0,0,,0,0,0,0,0,,28,OWN,0,,0,,0,41,0,0
2023101512,2023-10-15,1,14,13,BUF,NYG,4,7,28,0,0,"(14:13) 8-S.MARTIN PUNTS 52 YARDS TO NYG 20, CENTER-69-R.FERGUSON. 20-E.GRAY PUSHED OB AT NYG 24 FOR 4 YARDS (39-C.LEWIS).",0,2023,0,PUNT,PUNT,0,0,0,0,,0,0,0,,0,0,0,0,0,,28,OWN,0,,0,,0,47,0,0
2023101512,2023-10-15,1,14,3,NYG,BUF,1,10,24,0,0,(14:03) (SHOTGUN) 2-T.TAYLOR PASS SHORT RIGHT TO 86-D.SLAYTON PUSHED OB AT NYG 29 FOR 5 YARDS (47-C.BENFORD).,0,2023,5,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,24,OWN,0,,0,,0,57,0,0
2023101512,2023-10-15,1,13,26,NYG,BUF,2,5,29,0,0,(13:26) 26-S.BARKLEY RIGHT GUARD TO NYG 33 FOR 4 YARDS (21-J.POYER).,0,2023,4,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT GUARD,29,OWN,0,,0,,0,94,0,0
2023101512,2023-10-15,1,12,50,NYG,BUF,3,1,33,0,0,(12:50) 62-J.MAYFIELD REPORTED IN AS ELIGIBLE.  26-S.BARKLEY RIGHT TACKLE TO NYG 31 FOR -2 YARDS (90-S.LAWSON).,0,2023,-2,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT TACKLE,33,OWN,0,,0,,0,130,0,0
2023101512,2023-10-15,1,12,20,NYG,BUF,4,3,31,0,0,"(12:20) 6-J.GILLAN PUNTS 54 YARDS TO BUF 15, CENTER-59-C.KREITER, FAIR CATCH BY 11-D.HARTY.",0,2023,0,PUNT,PUNT,0,0,0,0,,0,0,0,,0,0,0,0,0,,31,OWN,0,,0,,0,160,0,0
2023101512,2023-10-15,1,12,12,BUF,NYG,1,10,15,0,0,(12:12) (SHOTGUN) 76-D.EDWARDS REPORTED IN AS ELIGIBLE.  28-L.MURRAY LEFT GUARD TO BUF 17 FOR 2 YARDS (99-L.WILLIAMS).,0,2023,2,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT GUARD,15,OWN,0,,0,,0,168,0,0
2023101512,2023-10-15,1,12,12,BUF,NYG,0,0,100,1,0,TIMEOUT AT 12:12.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,168,0,0
2023101512,2023-10-15,1,11,36,BUF,NYG,2,8,17,1,0,(11:36) (SHOTGUN) 17-J.ALLEN PASS SHORT MIDDLE TO 14-S.DIGGS TO BUF 35 FOR 18 YARDS (24-D.BELTON).,0,2023,18,SHOTGUN,PASS,0,1,0,0,SHORT MIDDLE,0,0,0,,0,0,0,0,0,,17,OWN,0,,0,,0,204,0,0
2023101512,2023-10-15,1,10,58,BUF,NYG,1,10,35,0,0,(10:58) 76-D.EDWARDS REPORTED IN AS ELIGIBLE.  4-J.COOK LEFT END TO BUF 37 FOR 2 YARDS (55-J.WARD).,0,2023,2,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT END,35,OWN,0,,0,,0,242,0,0
