GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,SeriesFirstDown,NextScore,Description,TeamWin,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards,Duration,LAC,CHI
2023102913,2023-10-29,1,7,19,LAC,CHI,2,6,61,1,0,"(7:19) (SHOTGUN) 10-J.HERBERT PASS SHORT LEFT TO 30-A.EKELER FOR 39 YARDS, TOUCHDOWN.",0,2023,39,SHOTGUN,PASS,0,1,0,1,SHORT LEFT,0,0,0,,0,0,0,0,0,,39,OPP,0,,0,,0,461,0,0
2023102913,2023-10-29,1,7,8,CHI,LAC,0,0,65,1,0,"11-C.DICKER KICKS 65 YARDS FROM LAC 35 TO END ZONE, TOUCHBACK.",0,2023,0,UNDER CENTER,KICK OFF,0,0,0,0,,0,0,0,,0,0,0,0,0,,35,OPP,0,,0,,0,472,0,0
2023102913,2023-10-29,1,7,8,LAC,CHI,0,0,100,1,0,TIMEOUT AT 07:08.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,472,0,0
2023102913,2023-10-29,1,7,8,LAC,CHI,0,0,85,1,0,"11-C.DICKER EXTRA POINT IS GOOD, CENTER-47-J.HARRIS, HOLDER-16-J.SCOTT.",0,2023,0,UNDER CENTER,EXTRA POINT,0,0,0,0,,0,0,0,,0,0,0,0,0,,15,OPP,0,,0,,0,472,0,0
2023102913,2023-10-29,1,7,8,CHI,LAC,1,10,25,0,0,(7:08) (SHOTGUN) 17-T.BAGENT PASS SHORT RIGHT TO 12-V.JONES TO CHI 29 FOR 4 YARDS (43-M.DAVIS).,0,2023,4,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,25,OWN,0,,0,,0,472,0,0
2023102913,2023-10-29,1,6,32,CHI,LAC,2,6,29,0,0,"(6:32) (SHOTGUN) DIRECT SNAP TO 21-D.FOREMAN.  21-D.FOREMAN RIGHT END TO CHI 46 FOR 17 YARDS (3-D.JAMES). PENALTY ON CHI-62-L.PATRICK, ILLEGAL USE OF HANDS, 10 YARDS, ENFORCED AT CHI 29 - NO PLAY.",0,2023,0,SHOTGUN,NO PLAY,0,0,0,0,,0,0,0,,0,0,1,0,0,,29,OWN,1,CHI,1,ILLEGAL USE OF HANDS,10,508,0,0
2023102913,2023-10-29,1,6,8,CHI,LAC,2,16,19,0,0,"(6:08) 17-T.BAGENT PASS INCOMPLETE SHORT RIGHT TO 35-K.BLASINGAME. PENALTY ON CHI-62-L.PATRICK, OFFENSIVE HOLDING, DECLINED.",0,2023,0,UNDER CENTER,PASS,0,1,1,0,SHORT RIGHT,0,0,0,,0,0,1,0,0,,19,OWN,0,CHI,0,OFFENSIVE HOLDING,0,532,0,0
2023102913,2023-10-29,1,6,1,CHI,LAC,3,16,19,0,0,(6:01) (SHOTGUN) 17-T.BAGENT PASS SHORT LEFT TO 85-C.KMET RAN OB AT CHI 32 FOR 13 YARDS.,0,2023,13,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,19,OWN,0,,0,,0,539,0,0
2023102913,2023-10-29,1,5,17,CHI,LAC,4,3,32,0,0,"(5:17) 16-T.GILL PUNTS 38 YARDS TO LAC 30, CENTER-48-P.SCALES, FAIR CATCH BY 12-D.DAVIS. PENALTY ON CHI-12-V.JONES, FAIR CATCH INTERFERENCE, 15 YARDS, ENFORCED AT LAC 30.",0,2023,0,PUNT,PUNT,0,0,0,0,,0,0,0,,0,0,1,0,0,,32,OWN,1,CHI,0,FAIR CATCH INTERFERENCE,15,583,0,0
2023102913,2023-10-29,1,5,1,LAC,CHI,1,10,45,0,0,(5:01) 10-J.HERBERT PASS SHORT RIGHT TO 5-J.PALMER PUSHED OB AT CHI 46 FOR 9 YARDS (29-T.STEVENSON).,0,2023,9,UNDER CENTER,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,45,OWN,0,,0,,0,599,0,0
2023102913,2023-10-29,1,5,1,LAC,CHI,0,0,100,1,0,TIMEOUT AT 05:01.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,599,0,0
2023102913,2023-10-29,1,4,31,LAC,CHI,2,1,54,1,0,(4:31) (SHOTGUN) 30-A.EKELER RIGHT GUARD TO CHI 44 FOR 2 YARDS (29-T.STEVENSON).,0,2023,2,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT GUARD,46,OPP,0,,0,,0,629,0,0
2023102913,2023-10-29,1,3,56,LAC,CHI,1,10,56,0,0,(3:56) 25-J.KELLEY RIGHT TACKLE TO CHI 41 FOR 3 YARDS (95-D.WALKER).,0,2023,3,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT TACKLE,44,OPP,0,,0,,0,664,0,0
2023102913,2023-10-29,1,3,18,LAC,CHI,2,7,59,1,0,(3:18) (SHOTGUN) 10-J.HERBERT PASS SHORT RIGHT TO 5-J.PALMER TO CHI 32 FOR 9 YARDS (29-T.STEVENSON). LAC-5-J.PALMER WAS INJURED DURING THE PLAY.,0,2023,9,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,41,OPP,0,,0,,0,702,0,0
2023102913,2023-10-29,1,3,7,LAC,CHI,0,0,100,1,0,TIMEOUT AT 03:07.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,713,0,0
2023102913,2023-10-29,1,2,59,LAC,CHI,1,10,68,0,0,(2:59) 25-J.KELLEY UP THE MIDDLE TO CHI 29 FOR 3 YARDS (53-T.EDWARDS).,0,2023,3,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,CENTER,32,OPP,0,,0,,0,721,0,0
2023102913,2023-10-29,1,2,28,LAC,CHI,2,7,71,1,0,(2:28) (SHOTGUN) 10-J.HERBERT PASS SHORT MIDDLE TO 30-A.EKELER TO CHI 16 FOR 13 YARDS (53-T.EDWARDS).,0,2023,13,SHOTGUN,PASS,0,1,0,0,SHORT MIDDLE,0,0,0,,0,0,0,0,0,,29,OPP,0,,0,,0,752,0,0
2023102913,2023-10-29,1,1,49,LAC,CHI,1,10,84,0,0,(1:49) 30-A.EKELER UP THE MIDDLE TO CHI 12 FOR 4 YARDS (57-J.SANBORN).,0,2023,4,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,CENTER,16,OPP,0,,0,,0,791,0,0
2023102913,2023-10-29,1,1,7,LAC,CHI,2,6,88,0,0,"(1:07) (SHOTGUN) 10-J.HERBERT PASS SHORT LEFT TO 30-A.EKELER TO CHI 9 FOR 3 YARDS (29-T.STEVENSON, 93-JU.JONES). CHI-29-T.STEVENSON WAS INJURED DURING THE PLAY.",0,2023,3,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,12,OPP,0,,0,,0,833,0,0
2023102913,2023-10-29,1,1,0,LAC,CHI,0,0,100,1,0,TIMEOUT AT 01:00.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,840,0,0
2023102913,2023-10-29,1,0,49,LAC,CHI,3,3,91,1,0,"(:49) (SHOTGUN) 10-J.HERBERT PASS SHORT LEFT TO 87-S.FEHOKO FOR 9 YARDS, TOUCHDOWN.",0,2023,9,SHOTGUN,PASS,0,1,0,1,SHORT LEFT,0,0,0,,0,0,0,0,0,,9,OPP,0,,0,,0,851,0,0
2023102913,2023-10-29,1,0,43,LAC,CHI,0,0,100,1,0,TIMEOUT AT 00:43.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,857,0,0
