GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,SeriesFirstDown,NextScore,Description,TeamWin,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards,Week,Duration,NYJ,NYG
2023102905,2023-10-29,1,10,18,NYG,NYJ,0,0,100,1,0,TIMEOUT AT 10:18.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,8,282,0,0
2023102905,2023-10-29,1,10,18,NYG,NYJ,1,10,37,0,0,(10:18) (SHOTGUN) 2-T.TAYLOR SCRAMBLES RIGHT END RAN OB AT NYG 44 FOR 7 YARDS (4-D.REED).,0,2023,7,SHOTGUN,SCRAMBLE,1,0,0,0,,0,0,0,,0,0,0,0,0,,37,OWN,0,,0,,0,8,282,0,0
2023102905,2023-10-29,1,9,49,NYG,NYJ,2,3,44,0,0,(9:49) 26-S.BARKLEY LEFT GUARD TO NYG 44 FOR NO GAIN (70-Q.JEFFERSON).,0,2023,0,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT GUARD,44,OWN,0,,0,,0,8,311,0,0
2023102905,2023-10-29,1,9,12,NYG,NYJ,3,3,44,0,0,(9:12) (SHOTGUN) 2-T.TAYLOR SACKED AT NYG 40 FOR -4 YARDS (47-B.HUFF).,0,2023,-4,SHOTGUN,SACK,0,0,0,0,,1,0,0,,0,0,0,0,0,,44,OWN,0,,0,,0,8,348,0,0
2023102905,2023-10-29,1,8,37,NYG,NYJ,4,7,40,0,0,"(8:37) 6-J.GILLAN PUNTS 40 YARDS TO NYJ 20, CENTER-59-C.KREITER. 82-X.GIPSON TO NYJ 24 FOR 4 YARDS (44-N.MCCLOUD).",0,2023,0,PUNT,PUNT,0,0,0,0,,0,0,0,,0,0,0,0,0,,40,OWN,0,,0,,0,8,383,0,0
2023102905,2023-10-29,1,8,29,NYG,NYJ,0,0,100,1,0,TIMEOUT AT 08:29.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,8,391,0,0
2023102905,2023-10-29,1,8,29,NYJ,NYG,1,10,24,0,0,(8:29) 20-BRE.HALL LEFT TACKLE TO NYJ 27 FOR 3 YARDS (41-M.MCFADDEN).,0,2023,3,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT TACKLE,24,OWN,0,,0,,0,8,391,0,0
2023102905,2023-10-29,1,7,49,NYJ,NYG,2,7,27,0,0,(7:49) 2-Z.WILSON PASS SHORT MIDDLE TO 20-BRE.HALL TO NYJ 33 FOR 6 YARDS (58-B.OKEREKE).,0,2023,6,UNDER CENTER,PASS,0,1,0,0,SHORT MIDDLE,0,0,0,,0,0,0,0,0,,27,OWN,0,,0,,0,8,431,0,0
2023102905,2023-10-29,1,7,7,NYJ,NYG,3,1,33,0,0,(7:07) 20-BRE.HALL RIGHT GUARD TO NYJ 33 FOR NO GAIN (91-AS.ROBINSON; 27-J.PINNOCK).,0,2023,0,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT GUARD,33,OWN,0,,0,,0,8,473,0,0
2023102905,2023-10-29,1,6,21,NYJ,NYG,4,1,33,0,0,"(6:21) 5-T.MORSTEAD PUNTS 51 YARDS TO NYG 16, CENTER-42-T.HENNESSY, FAIR CATCH BY 80-G.OLSZEWSKI.",0,2023,0,PUNT,PUNT,0,0,0,0,,0,0,0,,0,0,0,0,0,,33,OWN,0,,0,,0,8,519,0,0
