GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,SeriesFirstDown,NextScore,Description,TeamWin,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards,Duration,TEN,ATL
2023102907,2023-10-29,1,15,0,TEN,ATL,0,0,65,1,0,"13-B.PINION KICKS 65 YARDS FROM ATL 35 TO END ZONE, TOUCHBACK.",0,2023,0,UNDER CENTER,KICK OFF,0,0,0,0,,0,0,0,,0,0,0,0,0,,35,OPP,0,,0,,0,0,0,0
2023102907,2023-10-29,1,15,0,TEN,ATL,1,10,25,0,0,"(15:00) 22-D.HENRY LEFT GUARD TO TEN 28 FOR 3 YARDS (55-K.ELLISS, 48-B.DUPREE).",0,2023,3,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT GUARD,25,OWN,0,,0,,0,0,0,0
2023102907,2023-10-29,1,14,24,TEN,ATL,2,7,28,0,0,(14:24) (SHOTGUN) 22-D.HENRY UP THE MIDDLE TO TEN 34 FOR 6 YARDS (3-J.BATES; 1-J.OKUDAH).,0,2023,6,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,CENTER,28,OWN,0,,0,,0,36,0,0
2023102907,2023-10-29,1,13,44,TEN,ATL,3,1,34,1,0,(13:44) 8-W.LEVIS UP THE MIDDLE TO TEN 37 FOR 3 YARDS (90-D.ONYEMATA).,0,2023,3,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,CENTER,34,OWN,0,,0,,0,76,0,0
2023102907,2023-10-29,1,13,6,TEN,ATL,1,10,37,0,0,"(13:06) (SHOTGUN) 7-M.WILLIS FUMBLES (ABORTED) AT TEN 29, TOUCHED AT TEN 29, RECOVERED BY ATL-93-C.CAMPBELL AT TEN 28.",0,2023,0,SHOTGUN,FUMBLES,0,0,0,0,,0,0,0,,0,1,0,0,0,,37,OWN,0,,0,,0,114,0,0
2023102907,2023-10-29,1,13,2,ATL,TEN,1,10,72,0,0,"(13:02) (SHOTGUN) 9-D.RIDDER PASS SHORT RIGHT TO 7-B.ROBINSON PUSHED OB AT TEN 25 FOR 3 YARDS (33-E.GARROR) [49-A.KEY]. PENALTY ON ATL-15-V.JEFFERSON, ILLEGAL SHIFT, 5 YARDS, ENFORCED AT TEN 28 - NO PLAY.",0,2023,3,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,1,0,0,,28,OPP,1,ATL,1,ILLEGAL SHIFT,5,118,0,0
2023102907,2023-10-29,1,12,51,ATL,TEN,1,15,67,0,0,(12:51) (SHOTGUN) 7-B.ROBINSON LEFT TACKLE TO TEN 28 FOR 5 YARDS (2-A.AL-SHAAIR).,0,2023,5,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT TACKLE,33,OPP,0,,0,,0,129,0,0
2023102907,2023-10-29,1,12,20,ATL,TEN,2,10,72,0,0,(12:20) (SHOTGUN) 9-D.RIDDER SCRAMBLES UP THE MIDDLE TO TEN 24 FOR 4 YARDS (50-J.GIBBENS).,0,2023,4,SHOTGUN,SCRAMBLE,1,0,0,0,,0,0,0,,0,0,0,0,0,,28,OPP,0,,0,,0,160,0,0
2023102907,2023-10-29,1,11,48,ATL,TEN,3,6,76,1,0,(11:48) (SHOTGUN) 9-D.RIDDER PASS SHORT RIGHT TO 5-D.LONDON TO TEN 12 FOR 12 YARDS (37-A.HOOKER).,0,2023,12,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,24,OPP,0,,0,,0,192,0,0
2023102907,2023-10-29,1,11,12,ATL,TEN,1,10,88,0,0,(11:12) (SHOTGUN) 25-T.ALLGEIER LEFT GUARD TO TEN 7 FOR 5 YARDS (26-K.FULTON; 24-E.MOLDEN).,0,2023,5,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT GUARD,12,OPP,0,,0,,0,228,0,0
2023102907,2023-10-29,1,10,36,ATL,TEN,2,5,93,0,0,(10:36) (SHOTGUN) 81-J.SMITH PASS INCOMPLETE SHORT RIGHT TO 85-M.PRUITT.,0,2023,0,SHOTGUN,PASS,0,1,1,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,7,OPP,0,,0,,0,264,0,0
2023102907,2023-10-29,1,10,31,ATL,TEN,3,5,93,0,0,(10:31) (SHOTGUN) 9-D.RIDDER SACKED AT TEN 10 FOR -3 YARDS (58-H.LANDRY).,0,2023,-3,SHOTGUN,SACK,0,0,0,0,,1,0,0,,0,0,0,0,0,,7,OPP,0,,0,,0,269,0,0
2023102907,2023-10-29,1,9,51,ATL,TEN,4,8,90,0,0,"(9:51) 6-Y.KOO 29 YARD FIELD GOAL IS GOOD, CENTER-49-L.MCCULLOUGH, HOLDER-13-B.PINION.",0,2023,0,FIELD GOAL,FIELD GOAL,0,0,0,0,,0,0,0,,0,0,0,0,0,,10,OPP,0,,0,,0,309,0,0
