GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,SeriesFirstDown,NextScore,Description,TeamWin,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards,Duration,CLE,SEA
2023102909,2023-10-29,1,15,0,CLE,SEA,0,0,65,1,0,5-J.MYERS KICKS 60 YARDS FROM SEA 35 TO CLE 5. 20-P.STRONG TO CLE 20 FOR 15 YARDS (32-JE.REED).,0,2023,0,UNDER CENTER,KICK OFF,0,0,0,0,,0,0,0,,0,0,0,0,0,,35,OPP,0,,0,,0,0,0,0
2023102909,2023-10-29,1,14,57,CLE,SEA,1,10,20,0,0,(14:57) 27-K.HUNT UP THE MIDDLE TO CLE 23 FOR 3 YARDS (52-D.TAYLOR; 56-J.BROOKS).,0,2023,3,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,CENTER,20,OWN,0,,0,,0,3,0,0
2023102909,2023-10-29,1,14,18,CLE,SEA,2,7,23,0,0,(14:18) (SHOTGUN) 10-P.WALKER PASS SHORT LEFT TO 2-A.COOPER RAN OB AT CLE 28 FOR 5 YARDS.,0,2023,5,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,23,OWN,0,,0,,0,42,0,0
2023102909,2023-10-29,1,13,46,CLE,SEA,3,2,28,0,0,"(13:46) (SHOTGUN) 34-J.FORD RIGHT END TO CLE 27 FOR -1 YARDS (33-J.ADAMS, 53-B.MAFE).",0,2023,-1,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT END,28,OWN,0,,0,,0,74,0,0
2023102909,2023-10-29,1,13,0,CLE,SEA,4,3,27,0,0,"(13:00) 13-C.BOJORQUEZ PUNTS 54 YARDS TO SEA 19, CENTER-47-C.HUGHLETT. 31-D.DALLAS TO SEA 32 FOR 13 YARDS (40-M.ADAMS; 42-T.FIELDS). PENALTY ON SEA-1-D.ESKRIDGE, ILLEGAL BLOCK ABOVE THE WAIST, 10 YARDS, ENFORCED AT SEA 30.",0,2023,0,PUNT,PUNT,0,0,0,0,,0,0,0,,0,0,1,0,0,,27,OWN,1,SEA,0,ILLEGAL BLOCK ABOVE THE WAIST,10,120,0,0
2023102909,2023-10-29,1,12,48,SEA,CLE,1,10,20,0,0,(12:48) (SHOTGUN) 7-G.SMITH PASS SHORT RIGHT TO 16-T.LOCKETT PUSHED OB AT SEA 26 FOR 6 YARDS (21-D.WARD).,0,2023,6,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,20,OWN,0,,0,,0,132,0,0
2023102909,2023-10-29,1,12,20,SEA,CLE,2,4,26,0,0,"(12:20) (NO HUDDLE, SHOTGUN) 9-K.WALKER UP THE MIDDLE TO SEA 26 FOR NO GAIN (6-J.OWUSU-KORAMOAH).",0,2023,0,NO HUDDLE SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,CENTER,26,OWN,0,,0,,0,160,0,0
2023102909,2023-10-29,1,11,43,SEA,CLE,3,4,26,1,0,(11:43) (SHOTGUN) 7-G.SMITH PASS SHORT LEFT TO 16-T.LOCKETT TO SEA 39 FOR 13 YARDS (0-G.NEWSOME).,0,2023,13,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,26,OWN,0,,0,,0,197,0,0
2023102909,2023-10-29,1,11,5,SEA,CLE,1,10,39,1,0,(11:05) 9-K.WALKER LEFT GUARD TO CLE 16 FOR 45 YARDS (1-J.THORNHILL).,0,2023,45,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT GUARD,39,OWN,0,,0,,0,235,0,0
2023102909,2023-10-29,1,10,16,SEA,CLE,0,0,100,1,0,TIMEOUT #1 BY SEA AT 10:16.,0,2023,0,UNDER CENTER,TIMEOUT,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,284,0,0
2023102909,2023-10-29,1,10,16,SEA,CLE,1,10,84,0,0,(10:16) 9-K.WALKER UP THE MIDDLE TO CLE 14 FOR 2 YARDS (26-R.MCLEOD; 22-G.DELPIT).,0,2023,2,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,CENTER,16,OPP,0,,0,,0,284,0,0
2023102909,2023-10-29,1,9,40,SEA,CLE,2,8,86,0,0,(9:40) (SHOTGUN) 7-G.SMITH PASS INCOMPLETE SHORT LEFT TO 14-D.METCALF.,0,2023,0,SHOTGUN,PASS,0,1,1,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,14,OPP,0,,0,,0,320,0,0
2023102909,2023-10-29,1,9,35,SEA,CLE,3,8,86,1,0,(9:35) (SHOTGUN) 7-G.SMITH PASS SHORT RIGHT TO 16-T.LOCKETT PUSHED OB AT CLE 3 FOR 11 YARDS (21-D.WARD).,0,2023,11,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,14,OPP,0,,0,,0,325,0,0
