GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,SeriesFirstDown,NextScore,Description,TeamWin,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards,Week,Duration,WAS,PHI
2023102908,2023-10-29,1,15,0,WAS,PHI,1,10,25,0,0,(15:00) (SHOTGUN) 14-S.HOWELL PASS SHORT MIDDLE TO 4-C.SAMUEL TO WAS 32 FOR 7 YARDS (21-S.BROWN).,0,2023,7,SHOTGUN,PASS,0,1,0,0,SHORT MIDDLE,0,0,0,,0,0,0,0,0,,25,OWN,0,,0,,0,8,0,0,0
2023102908,2023-10-29,1,15,0,WAS,PHI,0,0,65,1,0,"4-J.ELLIOTT KICKS 65 YARDS FROM PHI 35 TO END ZONE, TOUCHBACK.",0,2023,0,UNDER CENTER,KICK OFF,0,0,0,0,,0,0,0,,0,0,0,0,0,,35,OPP,0,,0,,0,8,0,0,0
2023102908,2023-10-29,1,14,25,WAS,PHI,2,3,32,0,0,(14:25) (SHOTGUN) 14-S.HOWELL PASS SHORT LEFT TO 1-J.DOTSON TO WAS 34 FOR 2 YARDS (17-N.DEAN).,0,2023,2,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,32,OWN,0,,0,,0,8,35,0,0
2023102908,2023-10-29,1,13,47,WAS,PHI,3,1,34,1,0,(13:47) 8-B.ROBINSON UP THE MIDDLE TO WAS 36 FOR 2 YARDS (31-K.BYARD; 17-N.DEAN).,0,2023,2,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,CENTER,34,OWN,0,,0,,0,8,73,0,0
2023102908,2023-10-29,1,13,9,WAS,PHI,1,10,36,0,0,(13:09) (SHOTGUN) 14-S.HOWELL PASS SHORT LEFT TO 8-B.ROBINSON TO WAS 45 FOR 9 YARDS (95-M.TUIPULOTU).,0,2023,9,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,36,OWN,0,,0,,0,8,111,0,0
2023102908,2023-10-29,1,12,26,WAS,PHI,2,1,45,0,0,(12:26) (SHOTGUN) 8-B.ROBINSON UP THE MIDDLE TO WAS 44 FOR -1 YARDS (21-S.BROWN).,0,2023,-1,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,CENTER,45,OWN,0,,0,,0,8,154,0,0
2023102908,2023-10-29,1,11,51,WAS,PHI,3,2,44,0,0,"(11:51) (SHOTGUN) 14-S.HOWELL PASS INCOMPLETE SHORT RIGHT TO 4-C.SAMUEL. PENALTY ON PHI-39-E.RICKS, DEFENSIVE PASS INTERFERENCE, 4 YARDS, ENFORCED AT WAS 44 - NO PLAY.",0,2023,0,SHOTGUN,PASS,0,1,1,0,SHORT RIGHT,0,0,0,,0,0,1,0,0,,44,OWN,1,PHI,1,DEFENSIVE PASS INTERFERENCE,4,8,189,0,0
2023102908,2023-10-29,1,11,46,WAS,PHI,1,10,48,0,0,"(11:46) 14-S.HOWELL PASS SHORT RIGHT TO 17-T.MCLAURIN TO PHI 47 FOR 5 YARDS (2-D.SLAY, 31-K.BYARD).",0,2023,5,UNDER CENTER,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,48,OWN,0,,0,,0,8,194,0,0
2023102908,2023-10-29,1,11,13,WAS,PHI,2,5,53,0,0,"(11:13) 2-D.BROWN LEFT END TO PHI 47 FOR NO GAIN (21-S.BROWN, 98-J.CARTER).",0,2023,0,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT END,47,OPP,0,,0,,0,8,227,0,0
2023102908,2023-10-29,1,10,26,WAS,PHI,3,5,53,0,0,(10:26) (SHOTGUN) 14-S.HOWELL PASS SHORT RIGHT TO 4-C.SAMUEL TO PHI 48 FOR -1 YARDS (39-E.RICKS).,0,2023,-1,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,47,OPP,0,,0,,0,8,274,0,0
2023102908,2023-10-29,1,9,46,WAS,PHI,4,6,52,0,0,"(9:46) 5-T.WAY PUNTS 40 YARDS TO PHI 8, CENTER-54-C.CHEESEMAN, FAIR CATCH BY 18-B.COVEY.",0,2023,0,PUNT,PUNT,0,0,0,0,,0,0,0,,0,0,0,0,0,,48,OPP,0,,0,,0,8,314,0,0
2023102908,2023-10-29,1,9,39,WAS,PHI,0,0,100,1,0,TIMEOUT AT 09:39.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,8,321,0,0
2023102908,2023-10-29,1,9,39,PHI,WAS,1,10,8,0,0,(9:39) (SHOTGUN) 0-D.SWIFT RIGHT GUARD TO PHI 11 FOR 3 YARDS (90-M.SWEAT).,0,2023,3,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT GUARD,8,OWN,0,,0,,0,8,321,0,0
