GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,SeriesFirstDown,NextScore,Description,TeamWin,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards,Week,Duration,DEN,KC
2023102911,2023-10-29,1,15,0,KC,DEN,1,10,25,0,0,(15:00) (SHOTGUN) 10-I.PACHECO RIGHT TACKLE TO KC 25 FOR NO GAIN (0-J.COOPER).,0,2023,0,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT TACKLE,25,OWN,0,,0,,0,8,0,0,0
2023102911,2023-10-29,1,15,0,KC,DEN,0,0,65,1,0,"16-W.LUTZ KICKS 65 YARDS FROM DEN 35 TO END ZONE, TOUCHBACK.",0,2023,0,UNDER CENTER,KICK OFF,0,0,0,0,,0,0,0,,0,0,0,0,0,,35,OPP,0,,0,,0,8,0,0,0
2023102911,2023-10-29,1,14,28,KC,DEN,2,10,25,0,0,"(14:28) (SHOTGUN) 15-P.MAHOMES PASS SHORT LEFT TO 10-I.PACHECO TO KC 21 FOR -4 YARDS (29-J.MCMILLIAN, 93-D.JONES).",0,2023,-4,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,25,OWN,0,,0,,0,8,32,0,0
2023102911,2023-10-29,1,13,42,KC,DEN,3,14,21,0,0,(13:42) (SHOTGUN) 15-P.MAHOMES PASS INCOMPLETE DEEP RIGHT [42-N.BONITTO].,0,2023,0,SHOTGUN,PASS,0,1,1,0,DEEP RIGHT,0,0,0,,0,0,0,0,0,,21,OWN,0,,0,,0,8,78,0,0
2023102911,2023-10-29,1,13,30,KC,DEN,4,14,21,0,0,"(13:30) 5-T.TOWNSEND PUNTS 49 YARDS TO DEN 30, CENTER-41-J.WINCHESTER. 19-M.MIMS TO KC 39 FOR 31 YARDS (54-L.CHENAL).",0,2023,0,PUNT,PUNT,0,0,0,0,,0,0,0,,0,0,0,0,0,,21,OWN,0,,0,,0,8,90,0,0
2023102911,2023-10-29,1,13,16,DEN,KC,1,10,61,0,0,(13:16) 75-Q.BAILEY REPORTED IN AS ELIGIBLE.  33-J.WILLIAMS LEFT TACKLE TO KC 35 FOR 4 YARDS (22-T.MCDUFFIE).,0,2023,4,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT TACKLE,39,OPP,0,,0,,0,8,104,0,0
2023102911,2023-10-29,1,12,42,DEN,KC,2,6,65,0,0,(12:42) 33-J.WILLIAMS RIGHT TACKLE TO KC 35 FOR NO GAIN (20-J.REID).,0,2023,0,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT TACKLE,35,OPP,0,,0,,0,8,138,0,0
2023102911,2023-10-29,1,12,3,DEN,KC,3,6,65,1,0,(12:03) (SHOTGUN) 38-J.MCLAUGHLIN LEFT END PUSHED OB AT KC 26 FOR 9 YARDS (6-B.COOK).,0,2023,9,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT END,35,OPP,0,,0,,0,8,177,0,0
2023102911,2023-10-29,1,11,23,DEN,KC,1,10,74,0,0,(11:23) (NO HUDDLE) 33-J.WILLIAMS RIGHT TACKLE TO KC 20 FOR 6 YARDS (23-D.TRANQUILL; 50-W.GAY).,0,2023,6,NO HUDDLE,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT TACKLE,26,OPP,0,,0,,0,8,217,0,0
2023102911,2023-10-29,1,10,55,DEN,KC,2,4,80,0,0,(10:55) (NO HUDDLE) 33-J.WILLIAMS LEFT TACKLE TO KC 17 FOR 3 YARDS (20-J.REID; 90-C.OMENIHU).,0,2023,3,NO HUDDLE,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT TACKLE,20,OPP,0,,0,,0,8,245,0,0
