GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,SeriesFirstDown,NextScore,Description,TeamWin,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards,Week,Duration,SF,CIN
2023102912,2023-10-29,1,8,17,CIN,SF,2,6,93,1,0,"(8:17) (SHOTGUN) 9-J.BURROW PASS SHORT RIGHT TO 83-T.BOYD FOR 7 YARDS, TOUCHDOWN [97-N.BOSA].",0,2023,7,SHOTGUN,PASS,0,1,0,1,SHORT RIGHT,0,0,0,,0,0,0,0,0,,7,OPP,0,,0,,0,8,403,0,0
2023102912,2023-10-29,1,8,11,SF,CIN,1,10,25,1,0,(8:11) (SHOTGUN) 13-B.PURDY PASS SHORT LEFT TO 23-C.MCCAFFREY TO SF 38 FOR 13 YARDS (57-G.PRATT).,0,2023,13,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,25,OWN,0,,0,,0,8,409,0,0
2023102912,2023-10-29,1,8,11,SF,CIN,0,0,65,1,0,"2-E.MCPHERSON KICKS 65 YARDS FROM CIN 35 TO END ZONE, TOUCHBACK.",0,2023,0,UNDER CENTER,KICK OFF,0,0,0,0,,0,0,0,,0,0,0,0,0,,35,OPP,0,,0,,0,8,409,0,0
2023102912,2023-10-29,1,8,11,CIN,SF,0,0,85,1,0,"2-E.MCPHERSON EXTRA POINT IS GOOD, CENTER-48-C.ADOMITIS, HOLDER-10-B.ROBBINS.",0,2023,0,UNDER CENTER,EXTRA POINT,0,0,0,0,,0,0,0,,0,0,0,0,0,,15,OPP,0,,0,,0,8,409,0,0
2023102912,2023-10-29,1,8,11,SF,CIN,0,0,100,1,0,TIMEOUT AT 08:11.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,8,409,0,0
2023102912,2023-10-29,1,7,31,SF,CIN,1,10,38,0,0,(7:31) (SHOTGUN) 13-B.PURDY PASS SHORT MIDDLE TO 3-R.MCCLOUD TO SF 40 FOR 2 YARDS (94-S.HUBBARD).,0,2023,2,SHOTGUN,PASS,0,1,0,0,SHORT MIDDLE,0,0,0,,0,0,0,0,0,,38,OWN,0,,0,,0,8,449,0,0
2023102912,2023-10-29,1,6,49,SF,CIN,2,8,40,0,0,(6:49) (SHOTGUN) 23-C.MCCAFFREY LEFT END PUSHED OB AT SF 40 FOR NO GAIN (57-G.PRATT).,0,2023,0,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT END,40,OWN,0,,0,,0,8,491,0,0
2023102912,2023-10-29,1,6,11,SF,CIN,3,8,40,1,0,(6:11) (SHOTGUN) 13-B.PURDY SCRAMBLES LEFT END RAN OB AT CIN 44 FOR 16 YARDS (21-M.HILTON).,0,2023,16,SHOTGUN,SCRAMBLE,1,0,0,0,,0,0,0,,0,0,0,0,0,,40,OWN,0,,0,,0,8,529,0,0
2023102912,2023-10-29,1,5,32,SF,CIN,1,10,56,1,0,(5:32) (SHOTGUN) 13-B.PURDY PASS DEEP RIGHT TO 11-B.AIYUK RAN OB AT CIN 13 FOR 31 YARDS (55-L.WILSON; 29-C.TAYLOR-BRITT).,0,2023,31,SHOTGUN,PASS,0,1,0,0,DEEP RIGHT,0,0,0,,0,0,0,0,0,,44,OPP,0,,0,,0,8,568,0,0
2023102912,2023-10-29,1,4,48,SF,CIN,1,10,87,0,0,(4:48) (SHOTGUN) 13-B.PURDY PASS SHORT LEFT TO 85-G.KITTLE TO CIN 7 FOR 6 YARDS (20-D.TURNER).,0,2023,6,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,13,OPP,0,,0,,0,8,612,0,0
2023102912,2023-10-29,1,4,3,SF,CIN,2,4,93,1,0,"(4:03) (SHOTGUN) 25-E.MITCHELL UP THE MIDDLE TO CIN 2 FOR 5 YARDS (98-D.READER, 92-B.HILL).",0,2023,5,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,CENTER,7,OPP,0,,0,,0,8,657,0,0
2023102912,2023-10-29,1,3,23,SF,CIN,1,2,98,1,0,"(3:23) (SHOTGUN) 23-C.MCCAFFREY UP THE MIDDLE FOR 2 YARDS, TOUCHDOWN.",0,2023,2,SHOTGUN,RUSH,1,0,0,1,,0,0,0,,0,0,0,0,0,CENTER,2,OPP,0,,0,,0,8,697,0,0
2023102912,2023-10-29,1,3,19,SF,CIN,0,0,85,1,0,"4-J.MOODY EXTRA POINT IS GOOD, CENTER-46-T.PEPPER, HOLDER-18-M.WISHNOWSKY.",0,2023,0,UNDER CENTER,EXTRA POINT,0,0,0,0,,0,0,0,,0,0,0,0,0,,15,OPP,0,,0,,0,8,701,0,0
2023102912,2023-10-29,1,3,19,SF,CIN,0,0,100,1,0,TIMEOUT AT 03:19.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,8,701,0,0
2023102912,2023-10-29,1,3,19,CIN,SF,0,0,65,1,0,"4-J.MOODY KICKS 64 YARDS FROM SF 35 TO CIN 1. 32-T.WILLIAMS TO CIN 42 FOR 41 YARDS (26-I.OLIVER, 24-J.MASON).",0,2023,0,UNDER CENTER,KICK OFF,0,0,0,0,,0,0,0,,0,0,0,0,0,,35,OPP,0,,0,,0,8,701,0,0
2023102912,2023-10-29,1,3,11,CIN,SF,1,10,42,1,0,(3:11) 9-J.BURROW PASS SHORT LEFT TO 28-J.MIXON TO SF 46 FOR 12 YARDS (90-K.GIVENS; 26-I.OLIVER).,0,2023,12,UNDER CENTER,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,42,OWN,0,,0,,0,8,709,0,0
2023102912,2023-10-29,1,2,31,CIN,SF,1,10,54,0,0,(2:31) 28-J.MIXON RIGHT END TO SF 41 FOR 5 YARDS (57-D.GREENLAW).,0,2023,5,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT END,46,OPP,0,,0,,0,8,749,0,0
2023102912,2023-10-29,1,1,55,CIN,SF,2,5,59,1,0,"(1:55) 83-T.BOYD RIGHT END PUSHED OB AT SF 35 FOR 6 YARDS (57-D.GREENLAW, 54-F.WARNER).",0,2023,6,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT END,41,OPP,0,,0,,0,8,785,0,0
2023102912,2023-10-29,1,1,19,CIN,SF,1,10,65,1,0,(1:19) (SHOTGUN) 9-J.BURROW PASS SHORT MIDDLE TO 83-T.BOYD TO SF 13 FOR 22 YARDS (31-T.GIPSON).,0,2023,22,SHOTGUN,PASS,0,1,0,0,SHORT MIDDLE,0,0,0,,0,0,0,0,0,,35,OPP,0,,0,,0,8,821,0,0
2023102912,2023-10-29,1,0,37,CIN,SF,1,10,87,1,0,(:37) 28-J.MIXON RIGHT TACKLE TO SF 2 FOR 11 YARDS (29-T.HUFANGA).,0,2023,11,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT TACKLE,13,OPP,0,,0,,0,8,863,0,0
2023102912,2023-10-29,1,0,1,CIN,SF,1,2,98,0,0,"(:01) (SHOTGUN) 9-J.BURROW PASS SHORT RIGHT TO 80-A.IOSIVAS FOR 2 YARDS, TOUCHDOWN. PENALTY ON SF-7-C.WARD, DEFENSIVE HOLDING, DECLINED. PENALTY ON SF-99-J.KINLAW, DEFENSIVE OFFSIDE, DECLINED.",0,2023,2,SHOTGUN,PASS,0,1,0,1,SHORT RIGHT,0,0,0,,0,0,1,0,0,,2,OPP,0,SF,0,DEFENSIVE HOLDING,0,8,899,0,0
2023102912,2023-10-29,1,0,0,CIN,SF,0,0,85,1,0,"2-E.MCPHERSON EXTRA POINT IS GOOD, CENTER-48-C.ADOMITIS, HOLDER-10-B.ROBBINS.",0,2023,0,UNDER CENTER,EXTRA POINT,0,0,0,0,,0,0,0,,0,0,0,0,0,,15,OPP,0,,0,,0,8,900,0,0
2023102912,2023-10-29,1,0,0,SF,CIN,0,0,100,1,0,END QUARTER 1,0,2023,0,,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,8,900,0,0
2023102912,2023-10-29,2,15,0,SF,CIN,0,0,65,1,0,2-E.MCPHERSON KICKS 67 YARDS FROM CIN 35 TO SF -2. 3-R.MCCLOUD TO SF 14 FOR 16 YARDS (80-A.IOSIVAS).,0,2023,0,UNDER CENTER,KICK OFF,0,0,0,0,,0,0,0,,0,0,0,0,0,,35,OPP,0,,0,,0,8,900,0,0
2023102912,2023-10-29,2,14,56,SF,CIN,1,10,14,0,0,(14:56) 13-B.PURDY SCRAMBLES LEFT END TO SF 22 FOR 8 YARDS (55-L.WILSON). CIN-91-T.HENDRICKSON WAS INJURED DURING THE PLAY.,0,2023,8,UNDER CENTER,SCRAMBLE,1,0,0,0,,0,0,0,,0,0,0,0,0,,14,OWN,0,,0,,0,8,904,0,0
2023102912,2023-10-29,2,14,43,SF,CIN,0,0,100,1,0,TIMEOUT AT 14:43.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,8,917,0,0
2023102912,2023-10-29,2,14,23,SF,CIN,2,2,22,0,0,(14:23) 25-E.MITCHELL UP THE MIDDLE TO SF 18 FOR -4 YARDS (21-M.HILTON).,0,2023,-4,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,CENTER,22,OWN,0,,0,,0,8,937,0,0
2023102912,2023-10-29,2,13,44,SF,CIN,3,6,18,0,0,"(13:44) (SHOTGUN) 13-B.PURDY PASS INCOMPLETE SHORT MIDDLE TO 11-B.AIYUK (55-L.WILSON, 92-B.HILL).",0,2023,0,SHOTGUN,PASS,0,1,1,0,SHORT MIDDLE,0,0,0,,0,0,0,0,0,,18,OWN,0,,0,,0,8,976,0,0
2023102912,2023-10-29,2,13,40,SF,CIN,4,6,18,0,0,"(13:40) 18-M.WISHNOWSKY PUNTS 62 YARDS TO CIN 20, CENTER-46-T.PEPPER, DOWNED BY SF-20-A.THOMAS.",0,2023,0,PUNT,PUNT,0,0,0,0,,0,0,0,,0,0,0,0,0,,18,OWN,0,,0,,0,8,980,0,0
